code|text_fr|text_de|text_it|version|inclusions_de|inclusions_fr|inclusions_it|exclusions_de|exclusions_fr|exclusions_it|descriptions_de|descriptions_fr|descriptions_it|most_relevant_drgs
00|Procédures et interventions, non classées ailleurs|Massnahmen und Interventionen nicht anderswo klassifizierbar|Procedure e interventi, non altrimenti classificabili|CHOP 2015||||||||||{}
00.0|Ultrasons thérapeutiques|Therapeutischer Ultraschall|Ultrasuoni terapeutici|CHOP 2015||||{Diagnostischer Ultraschall (nicht-invasiv) (88.71-88.79),Intrakardiale Echokardiographie (IKE) (Herzkammer) (37.28),Intravaskuläre Bildgebung (adjunktiv) (00.21-00.29)}|{Ultrasonographie diagnostique (non-invasive) (88.71-88.79),Échocardiographie intracardiaque (EIC) (cavité(s) cardiaque(s)) (37.28),Imagerie intravasculaire (d'appui) (00.21-00.29)}|{Ultrasonografia diagnostica (non invasiva) (88.71-88-79),Ecocardiografia intracardiaca (EIC) (camere cardiache) (37.28),Diagnostica per immagini endovascolare (aggiuntiva) (00.21-00.29)}||||{}
00.01|Ultrason thérapeutique des vaisseaux de la tête et du cou|Therapeutischer Ultraschall von Blutgefässen an Kopf und Hals|Ultrasuoni terapeutici dei vasi della testa e del collo|CHOP 2015||||{Diagnostischer Ultraschall des Auges (95.13),Diagnostischer Ultraschall des Innenohres (20.79),Diagnostischer Ultraschall von Kopf und Hals (88.71),Ultraschall Angioplastie an Nicht-Herzkranzgefäss (39.50),Ultraschall Embolektomie (38.01, 38.02),Ultraschall Endarteriektomie (38.11, 38.12),Ultraschall Thrombektomie (38.01, 38.02)}|{Ultrason diagnostique de l'oeil (95.13),Ultrason diagnostique de l'oreille interne (20.79),Ultrason diagnostique de la tête et du cou (88.71),Angioplastie ultrasonographique de vaisseau autre que coronaire (39.50),Embolectomie ultrasonographique (38.01, 38.02),Endartériectomie ultrasonographique (38.11, 38.12),Thrombectomie ultrasonographique (38.01, 38.02)}|{Diagnostica ecografica oculare (95.13),Diagnostica ecografica dell'orecchio interno (20.79),Diagnostica ecografica del capo e del collo (88.71),Angioplastica o aterectomia di arteria non coronarica mediante ultrasuoni (39.50),Embolectomia mediante ultrasuoni (38.01, 38.02),Endarteriectomia mediante ultrasuoni (38.11, 38.12),Trombectomia mediante ultrasuoni (38.01, 38.02)}|{Anti-Restenose Ultraschall,Intravaskulärer, nicht verödender (nicht abladierender) Ultraschall}|{Ultrason anti-resténose,Ultrason intravasculaire non-invasif}|{Ultrasuoni anti-ristenosi,Ultrasuoni intravascolari non coagulanti (non asportativi)}|{}
00.02|Ultrason thérapeutique du coeur|Therapeutischer Ultraschall des Herzen|Ultrasuoni terapeutici del cuore|CHOP 2015||||{Diagnostischer Ultraschall des Herzens (88.72),Entfernung von Läsion oder Gewebe des Herzens mit Katheter (37.34),Ultraschall Angioplastie an Herzkranzgefässen (00.66, 36.09)}|{Ultrasonographie (diagnostique) du coeur (88.72),Ablation par ultrason de lésion ou de tissu du coeur (37.34),Angioplastie ultrasonographique d'artère coronaire (00.66, 36.09)}|{Ecografia diagnostica del cuore (88.72),Asportazione mediante ultrasuoni di lesione o tessuto del cuore (37.34),Angioplastica mediante ultrasuoni di arteria coronarica (00.66, 36.09)}|{Anti-Restenose Ultraschall,Intravaskulärer, nicht verödender (nicht abladierender) Ultraschall}|{Ultrason anti-resténose,Ultrason intravasculaire non-invasif}|{Ultrasuoni anti-ristenosi,Ultrasuoni intravascolari non coagulanti (non asportativi)}|{}
00.03|Ultrason thérapeutique de vaisseaux sanguins périphériques|Therapeutischer Ultraschall von peripheren Blutgefässen|Ultrasuoni terapeutici dei vasi periferici|CHOP 2015||||{Diagnostischer Ultraschall des peripheren vaskulären Systems (88.77),Ultraschall Angioplastie an Nicht-Herzkranzgefäss (39.50)}|{Ultrasonographie (diagnostique) du système vasculaire périphérique (88.77),Angioplastie ultrasonographique de vaisseau autre que coronaire (39.50)}|{Ecografia diagnostica dell'apparato vascolare periferico (88.77),Angioplastica o aterectomia mediante ultrasuoni di arteria non coronarica (39.50)}|{Anti-Restenose Ultraschall,Intravaskulärer, nicht verödender (nicht abladierender) Ultraschall}|{Ultrason anti-resténose,Ultrason intravasculaire non-invasif}|{Ultrasuoni anti-ristenosi,Ultrasuoni intravascolari non coagulanti (non asportativi)}|{}
00.09|Autre ultrason thérapeutique|Sonstiger therapeutischer Ultraschall|Altri ultrasuoni terapeutici|CHOP 2015||||{Desintegration von Harnsteinen mit Ultraschall (59.95),Perkutane Nephrostomie mit Desintegration von Steinmaterial durch Ultraschall (55.04),Transurethrale (Ultraschall-) geführte laserinduzierte Prostatektomie (TULIP) (60.21)}|{Fragmentation de calcul(s) urinaire(s) par ultrasons (59.95),Néphrostomie percutanée avec fragmentation de calculs par ultrasons (55.04),Prostatectomie transurétrale guidée (ultrasons), induite au laser (TULIP) (60.21)}|{Litotrissia con ultrasuoni (59.95),Nefrostomia percutanea con litotripsia (55.04),Prostatectomia transuretrale guidata (ecografia) indotta a mezzo tramite laser (TULIP) (60.21)}||||{}
00.1|Produits pharmaceutiques|Pharmakon|Prodotti farmaceutici|CHOP 2015||||||||||{}
00.10|Implantation de substance chimiothérapeutique|Implantation einer chemotherapeutischen Substanz|Impianto di sostanze chemioterapiche|CHOP 2015||||{Injektion oder Infusion eines Zytostatikums zur Krebsbehandlung (99.25)}|{Injection ou perfusion de substance chimiothérapique anticancéreuse (99.25)}|{Iniezione o infusione di sostanza chemioterapica per tumore (99.25)}|{Interstitiell/ intrakavitär}|{Interstitielle/intracavitaire}|{Interstiziale/intracavitario}|{}
00.11|Perfusion de drotrecogin alpha activé|Infusion von Drotrecogin alfa (aktiviert)|Infusione di drotrecogin alfa (attivato)|CHOP 2015|||||||{Infusion von rekombinantem Protein}|{Perfusion de protéine recombinante}|{Infusione di proteine ricombinanti}|{}
00.12|Inhalation de monoxyde d'azote, selon la durée du traitement|Inhalation von Stickstoffmonoxid, nach Dauer der Behandlung|Inalazione di monossido di azoto, secondo la durata del trattamento|CHOP 2015|||||||{NO-Therapie,Stickstoffmonoxid-Therapie}|{Thérapie par NO,Thérapie au monoxyde d'azote}|{Terapia al monossido di azoto}|{}
