canton;name;address1;address2;bfs_typo;RWStatus;Akt;SL;WB;AnzStand;SA;PtageStatT;AustStatT;NeugStatT;Ops;Gebs;CMIb;CMIn;pPatWAU;pPatWAK;pPatLKP;pPatHOK;PersA;PersP;PersMT;PersT;PersAFall;PersPFall;PersMTFall;PersTFall;AnzBelA;AnzBelP;AwBesold;AwInvest;AwSonst;AwT;EtMedL;EtSonst;EtSubv;FiErg;PtageStatA;AustStatA;BettenStatA;DADStatA;pBettenBelStatA;KostAmbA;KostOKPAmbA;KostStatA;KostKVGStatA;AnlKVGStatA;KostZvOKPStatA;AnlZvOKPStatA;KostLangA;AuftragLFA;ErlAmbA;ErlOKPAmbA;ErlStatA;ErlKVGStatA;ErlKVGStatVA;ErlZvOKPStatA;ErlZvOKPStatVA;ErlLangA;PtageStatP;AustStatP;BettenStatP;DADStatP;pBettenBelStatP;KostAmbP;KostOKPAmbP;KostStatP;KostKVGStatP;AnlKVGStatP;KostZvOKPStatP;AnlZvOKPStatP;KostLangP;AuftragLFP;ErlAmbP;ErlOKPAmbP;ErlStatP;ErlKVGStatP;ErlKVGStatVP;ErlZvOKPStatP;ErlZvOKPStatVP;ErlLangP;PtageStatR;AustStatR;BettenStatR;DADStatR;pBettenBelStatR;KostAmbR;KostOKPAmbR;KostStatR;KostKVGStatR;AnlKVGStatR;KostZvOKPStatR;AnlZvOKPStatR;KostLangR;AuftragLFR;ErlAmbR;ErlOKPAmbR;ErlStatR;ErlKVGStatR;ErlKVGStatVR;ErlZvOKPStatR;ErlZvOKPStatVR;ErlLangR;PtageStatB;AustStatB;BettenStatB;DADStatB;pBettenBelStatB;KostAmbB;KostOKPAmbB;KostStatB;KostKVGStatB;AnlKVGStatB;KostZvOKPStatB;AnlZvOKPStatB;KostLangB;AuftragLFB;ErlAmbB;ErlOKPAmbB;ErlStatB;ErlKVGStatB;ErlKVGStatVB;ErlZvOKPStatB;ErlZvOKPStatVB;ErlLangB
AG;Kantonsspital Aarau AG;Tellstrasse 15;5000 Aarau;K112;oeff;A;NF, IPS;MSt, Arzt, BGs;1;MRI, CT, PET, CC, LB, Lito;164239;25464;1143;17;5;1.039;1.078;0.5492;10.4698;15.8113;92.4561;491.49;1143.98;302.59;2824.7;1.93;4.49;1.19;11.09;16;0;311231929;51329987;144059773;508588790;458558887;26923389;21619940;228357;164239;25464;507;6.4;88.8;160885185;151182674;320932507;221534863;13978685;64575824;3947212;0;0;138579515;27424441;313202696;279586961;66;34778341;50;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Kantonsspital Baden AG;Im Ergel;5404 Baden;K112;oeff;A;NF, IPS;MSt, Arzt, BGs;1;MRI, CT, CC, Lito;101675;17070;1375;8;1;0.861;0.883;0.5356;3.9257;20.5142;93.7279;238.1;677.22;163.52;1507.67;1.39;3.97;0.96;8.83;48;0;151165397;29784804;76924180;269740813;249256196;9610476;0;2097801;101675;17070;357;6;78;72201883;68145307;178152321;124417353;13932172;34941081;3908978;0;0;73707901;68739388;177131278;88238360;59.3;24737508;43;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Hirslanden Klinik Aarau;Schänisweg 1;5000 Aarau;K121;priv;A;IPS;MSt, Arzt, BGs;1;MRI, CT, LB, Lito;48049;8579;758;7;2;0.973;0.976;0.7547;17.8858;58.0145;91.9324;10.13;182.05;153.33;479.38;0.12;2.12;1.79;5.59;132;0;51332411;25801229;39118524;116454167;107711049;6904929;3652363;2307794;48049;8579;137.5;5.6;95.8;23467248;0;74820298;0;0;0;0;0;0;20493876;0;84341774;3652363;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Gesundheitszentrum Fricktal;Riburgerstrasse 12;4310 Rheinfelden;K122;oeff;A;NF;MSt, Arzt, BGs;2;MRI, CT;36025;7131;371;6;3;0.776;0.758;4.405;5.5158;22.117;91.0059;62.92;234.07;60.08;475.22;0.88;3.28;0.84;6.66;25;0;52814830;3871041;15703317;72389188;44151113;2805775;25462700;30401;36025;7131;139;5.1;71;14988401;10397050;55903920;34971675;0;8337983;0;0;0;13434861;9187982;57783371;15269671;98.1;3752687;97.7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Kreisspital für das Freiamt;Spitalstrasse 144;5630 Muri AG;K122;oeff;A;NF;MSt, Arzt, BGs;1;MRI, CT;30503;6553;576;4;2;0.775;0.764;0.2781;4.908;16.3098;91.129;54.5;193.66;41.5;386.78;0.83;2.96;0.63;5.9;15;0;43495120;3646454;23680003;70844421;64636059;3764848;1962666;84971;30503;6553;116;4.7;72;13522562;11770158;55153849;39281336;3435123;10435209;1080752;0;0;12188066;10632085;53046246;35492674;46.7;7650201;56.3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Spital Zofingen AG;Mühlethalstrasse 27;4800 Zofingen;K122;oeff;A;NF, IPS;MSt, Arzt, BGs;1;MRI, CT;24978;5160;97;4;2;0.879;0.866;0.5763;12.9922;15.938;89.8847;41.83;147.31;61.69;343.19;0.81;2.85;1.2;6.65;16;0;29544057;1328740;21386109;52258906;48494596;1145606;1934454;-1368500;24978;5160;80;4.8;85.5;14530985;12350027;37727921;26807004;152896;8489404;80094;0;0;11764801;9841392;39125605;31022244;53.5;3551237;49.7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Asana Gruppe AG Spital Menziken;Spitalstrasse 1;5737 Menziken;K123;oeff;A;NF;MSt, BGs;1;;16321;3484;183;3;2;0.754;0.742;0.243;5.3871;12.8004;87.9017;24.13;73.65;26.93;204.93;0.69;2.11;0.77;5.88;13;0;17525462;1805333;10481318;29812113;29639395;409014;0;236296;16321;3484;57;4.7;78.4;4483738;4483738;28204618;20786112;2989670;0;0;0;0;3129958;3111235;26490708;19203986;55.4;1419559;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Asana Gruppe AG Spital Leuggern;Kommendeweg;5316 Leuggern;K123;oeff;A;NF;MSt, Arzt, BGs;1;;12738;3299;517;2;2;0.718;0.696;5.4588;2.942;14.8167;89.6023;13.02;82.05;9.3;148.75;0.39;2.49;0.28;4.51;48;4;13684323;2015132;11522219;27221674;29307201;423330;0;2508856;12738;3299;45;3.9;77.6;4614744;0;24640468;18273508;2611645;0;0;0;0;3797997;0;25627094;16470728;51.4;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Psychiatrische Dienste Aargau AG ­ Psychiatrischer Dienst Königsfelden (PKF);;5200 Brugg AG;K211;oeff;P;NF;MSt, Arzt, BGs;1;;112446;2472;0;0;0;;;0.7684;3.0236;5.3055;98.6096;56.66;232.94;34.9;584.45;2.29;9.42;1.41;23.64;0;0;61268442;12865749;23226320;97360511;67849370;4539141;17075424;355138;;;;;;;;;;;;;;;;;;;;;;;112446;2472;320;45.5;96.3;4632982;4396450;76822243;68181058;0;4697205;0;0;2886500;3968232;2179290;85495703;54327051;46;5197141;46;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Schützen Rheinfelden AG Klinik & Ambulatorium;Bahnhofstrasse 19;4310 Rheinfelden;K212;priv;P;;Arzt, BGs;1;;29917;672;0;0;0;;;2.9255;56.8493;41.0904;99.4681;20.57;50.5;30.31;116.48;3.06;7.51;4.51;17.33;0;0;13597964;4458628;4243547;24293822;25813768;233845;0;1886809;;;;;;;;;;;;;;;;;;;;;;;29917;672;82;44.5;100;4320731;0;19973091;0;0;0;0;0;0;4729162;0;21318451;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
