KT;Inst;Adr;Ort;Typ;RWStatus;Akt;SL;WB;AnzStand;SA;PtageStatT;AustStatT;NeugStatT;Ops;Gebs;CMIb;CMIn;pPatWAU;pPatWAK;pPatLKP;pPatHOK;PersA;PersP;PersMT;PersT;PersAFall;PersPFall;PersMTFall;PersTFall;AnzBelA;AnzBelP;AwBesold;AwInvest;AwSonst;AwT;EtMedL;EtSonst;EtSubv;FiErg;PtageStatA;AustStatA;BettenStatA;DADStatA;pBettenBelStatA;KostAmbA;KostOKPAmbA;KostStatA;KostKVGStatA;AnlKVGStatA;KostZvOKPStatA;AnlZvOKPStatA;KostLangA;AuftragLFA;ErlAmbA;ErlOKPAmbA;ErlStatA;ErlKVGStatA;ErlKVGStatVA;ErlZvOKPStatA;ErlZvOKPStatVA;ErlLangA;PtageStatP;AustStatP;BettenStatP;DADStatP;pBettenBelStatP;KostAmbP;KostOKPAmbP;KostStatP;KostKVGStatP;AnlKVGStatP;KostZvOKPStatP;AnlZvOKPStatP;KostLangP;AuftragLFP;ErlAmbP;ErlOKPAmbP;ErlStatP;ErlKVGStatP;ErlKVGStatVP;ErlZvOKPStatP;ErlZvOKPStatVP;ErlLangP;PtageStatR;AustStatR;BettenStatR;DADStatR;pBettenBelStatR;KostAmbR;KostOKPAmbR;KostStatR;KostKVGStatR;AnlKVGStatR;KostZvOKPStatR;AnlZvOKPStatR;KostLangR;AuftragLFR;ErlAmbR;ErlOKPAmbR;ErlStatR;ErlKVGStatR;ErlKVGStatVR;ErlZvOKPStatR;ErlZvOKPStatVR;ErlLangR;PtageStatB;AustStatB;BettenStatB;DADStatB;pBettenBelStatB;KostAmbB;KostOKPAmbB;KostStatB;KostKVGStatB;AnlKVGStatB;KostZvOKPStatB;AnlZvOKPStatB;KostLangB;AuftragLFB;ErlAmbB;ErlOKPAmbB;ErlStatB;ErlKVGStatB;ErlKVGStatVB;ErlZvOKPStatB;ErlZvOKPStatVB;ErlLangB
AG;Kantonsspital Aarau AG;Tellstrasse 15;5000 Aarau;K112;oeff;A;NF, IPS;MSt, Arzt, BGs;1;MRI, CT, PET, CC, LB, Lito;164990;25653;1222;17;5;1.1863568949;1.1577300995;0.5884;11.3037;15.7207;90.4938;521.1;1281.57;318.07;2949.09;2.03;5;1.24;11.5;13;0;331424964;35469066;169563105;537279131;383685407;21625764;126303111;343357;164990;25653;507;6.4;88.9;179966539;0;323138536;236686053;13962367;66879971;3209984;0;7297220;165816120;0;369788073;228386660;58.4;86958048;76.1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Kantonsspital Baden AG;Im Ergel;5404 Baden;K112;oeff;A;NF, IPS;MSt, Arzt, BGs;1;MRI, CT, CC, Lito;100538;16864;1542;8;6;0.9064929891;0.8914092391;0.7452;4.2724;19.8681;94.848;252.79;697.02;177.29;1579.21;1.5;4.13;1.05;9.36;51;0;167666964;13678018;83340462;274712366;265214963;21250334;3789780;25856320;100538;16864;333.7;6;82.3;83150813;78439388;187369778;130739975;17299862;40014209;5292157;0;0;82392344;76200362;187961933;120631075;54;37108355;55.6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Hirslanden Klinik Aarau;Schänisweg 1;5000 Aarau;K121;priv;A;IPS;MSt, Arzt, BGs;1;MRI, CT, LB, Lito;41040;8624;791;7;2;1.0874032292;1.0628521033;0.5269;17.9343;51.5701;91.549;13.23;191.46;162.85;496.78;0.15;2.22;1.89;5.76;135;0;48889498;25487964;45756815;120134277;119403462;7602573;140801;8636229;41040;8624;144;4.8;77.9;23176967;23176967;99147675;37497808;4502752;54759461;6850382;0;140801;20710999;20644617;99253449;31887240;53;43604400;53;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Gesundheitszentrum Fricktal;Riburgerstrasse 12;4310 Rheinfelden;K122;oeff;A;NF;MSt, Arzt, BGs;2;MRI, CT;35517;7119;411;6;3;0.835014077;0.774273413;6.0152;6.2605;21.9858;93.3018;63.95;233.06;58.2;493.72;0.9;3.27;0.82;6.94;26;0;53569269;5481977;20579031;79630277;75692644;1789549;127440;-127440;35517;7119;139;5;69.8;17739171;14205815;62818994;40631601;4450640;18709521;1650541;0;595182;13455768;11588129;63021754;37525690;51.5;21117890;64;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Kreisspital für das Freiamt;Spitalstrasse 144;5630 Muri AG;K122;oeff;A;NF;MSt, Arzt, BGs;1;MRI, CT;31288;6830;585;4;2;0.8255434431;0.7886862925;0.3351;5.0841;16.5684;91.059;59.54;204.54;48.42;416.23;0.87;2.99;0.71;6.09;15;0;46333940;12250875;24607437;83214824;77196823;4389614;1333503;404151;31288;6830;118;4.6;72.4;17393847;15178083;57954204;41567161;3267107;11091177;1000212;0;0;15080392;13200193;61787358;42119256;55.8;10398951;57.1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Spital Zofingen AG;Mühlethalstrasse 27;4800 Zofingen;K122;oeff;A;NF, IPS;MSt, Arzt, BGs;1;MRI, CT;26547;5113;0;4;0;0.9333523614;0.8782333881;0.3898;11.4774;15.716;90.5622;42.76;165.31;50.02;342.38;0.84;3.23;0.98;6.7;23;0;35137419;3625431;23020932;61783782;58012622;3850909;415250;494999;26547;5113;101;5.2;71.8;12807604;0;42410644;31867602;868094;7470464;218847;0;0;12509282;12509282;49769595;180;100;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Asana Gruppe AG Spital Menziken;Spitalstrasse 1;5737 Menziken;K123;oeff;A;NF;BGs;1;;16286;3883;182;3;2;0.7975790581;0.7536596948;0.2089;5.4945;11.4883;89.5039;24.13;65.3;24.43;182.32;0.62;1.68;0.63;4.7;20;0;18126679;2637774;11279725;33019600;29144131;4579783;2702;707016;16286;3883;55;4.2;80.9;4671746;0;26887979;20450852;1664909;2959902;240750;0;0;2967351;0;28786396;21215640;53;3009362;56.9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Asana Gruppe AG Spital Leuggern;Kommendeweg;5316 Leuggern;K123;oeff;A;NF;BGs;1;;14972;3681;535;2;2;0.7446138614;0.7091190319;6.221;2.7058;13.2879;89.3861;11.42;77.95;9.08;140.71;0.31;2.12;0.25;3.82;50;3;14916665;2413725;12718390;30048780;26527072;4322019;113519;913830;14972;3681;50;4.1;81.8;4996907;0;22884236;16859172;1134670;2668880;190532;0;0;3564022;0;25430339;17786801;53;2813274;57;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Psychiatrische Dienste Aargau AG ­ Psychiatrischer Dienst Königsfelden (PKF);;5200 Brugg AG;K211;oeff;P;NF;MSt, Arzt, BGs;1;;115784;2774;0;0;0;;;0.4625;4.1027;4.9554;99.4714;56.55;276.31;84.02;620.2;2.04;9.96;3.03;22.36;0;0;63549611;7744451;24709653;96003715;82547801;5119753;1322900;2574746;;;;;;;;;;;;;;;;;;;;;;;115784;2774;333;41.7;95;12175599;10551613;79634864;74520577;0;4402349;0;0;1528866;4578760;2856267;80523740;69580458;53;5196190;53;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Schützen Rheinfelden AG Klinik & Ambulatorium;Bahnhofstrasse 19;4310 Rheinfelden;K212;priv;P;;Arzt, BGs;1;;32073;713;0;0;0;;;1.7478;59.0851;39.9501;99.7503;22.56;48.81;31.59;117.27;3.16;6.85;4.43;16.45;0;0;14477399;4913768;4800210;26118692;29740536;181671;4171;3830778;;;;;;;;;;;;;;;;;;;;;;;32073;713;85;45;103.4;5499805;0;20618887;0;0;0;0;0;0;5348544;0;24577835;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;RehaClinic Zurzach;Quellenstrasse 34;5330 Bad Zurzach;K221;priv;R;;MSt, Arzt, BGs;3;;75974;3267;0;0;0;;;0.6751;74.4379;30.995;95.9495;32.37;124.86;93.64;369.37;0.99;3.82;2.87;11.31;10;1;36327152;7260602;13788945;57376699;55206394;2770771;0;600465;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;75974;3267;235;23.3;88.6;4422135;0;49390639;32054414;3705436;16246022;2001473;0;561761;5947004;0;48867840;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;
AG;Rehaklinik Bellikon;Mutschellenstrasse 2;5454 Bellikon;K221;oeff;R;;Arzt, BGs;1;;70038;1591;0;0;0;;;6.1468;80.0364;8.9926;17.9852;47.07;139.12;130.04;504.42;2.96;8.74;8.17;31.7;0;0;47536550;8755603;12977215;70223612;66959192;2539703;61357;152758;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70038;1591;205;44;93.3;10431037;1173574;50931446;10955110;768674;7347171;526728;0;0;8577541;660460;58989572;8694701;52.1;10548486;90.7;0;;;;;;;;;;;;;;;;;;;;;;
AG;Reha Rheinfelden;Salinenstrasse 98;4310 Rheinfelden;K221;priv;R;;MSt, Arzt, BGs;1;;58065;1921;0;0;0;;;2.2827;61.7793;29.626;94.2691;21.82;105.01;121.06;392.54;1.14;5.47;6.3;20.43;0;0;36386275;4272657;9456963;50697949;47679137;2932534;176570;428686;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58065;1921;177;30.2;89.9;5927866;0;44210244;28290360;3115130;12342791;1396490;0;0;4566112;0;43412838;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;
AG;aarReha Schinznach Rehabilitation, Rheumatologie;Badstrasse 55;5116 Schinznach Bad;K221;priv;R;;MSt, Arzt, BGs;1;;31793;1464;0;0;0;;;0.133;40.3462;30.2527;97.0745;13.78;43.29;34.01;152.23;0.94;2.96;2.32;10.4;1;0;13414840;590847;3784727;20502414;18378348;402489;0;1169100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31793;1464;96;21.7;90.7;1935770;1887558;17439362;11626508;1581683;5445617;689543;0;0;1888425;1831771;16504721;9625901;56.1;6408460;73.4;0;;;;;;;;;;;;;;;;;;;;;;
AG;Bad Schinznach AG Privat­Klinik Im Park;Badstrasse 50;5116 Schinznach Bad;K221;priv;R;;;1;;18206;841;0;0;0;;;0.2247;64.3018;85.2809;97.8652;4.6;24.77;29.34;119.76;0.55;2.95;3.49;14.24;0;0;10298076;1455789;3093271;14847136;16516047;19703;0;1688614;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18206;841;57;21.6;87.3;1131772;1131772;13715367;1688054;162527;11411493;990063;0;0;1231717;1231717;15304032;1604100;52;8124925;50.2;0;;;;;;;;;;;;;;;;;;;;;;
AG;Privatklinik SALINA Salina Medizin AG;Roberstenstrasse 31;4310 Rheinfelden;K221;priv;R;;BGs;1;;7583;413;0;0;0;;;0.2445;87.5;46.2103;100;5.66;18;30.05;63.94;1.37;4.36;7.28;15.48;1;1;6861654;1527551;3128694;11517899;11153171;375966;0;11238;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7583;413;25.3;18.4;82;7032359;0;4594480;457066;6538;3074406;47727;0;0;6565959;0;5044037;324500;48;3430537;47.6;0;;;;;;;;;;;;;;;;;;;;;;
AG;Klinik Villa im Park AG;Bernstrasse 84;4852 Rothrist;K232;priv;A;;BGs;1;;8033;2473;794;2;2;0.6816753686;0.6572654791;0.0306;55.3342;1.6856;89.243;0;45.91;10.48;82.31;0;1.86;0.42;3.33;60;10;14328460;1169497;5030952;20528909;20576664;197889;0;245644;8033;2473;32;3.2;68.8;212910;0;18080778;15448428;0;473463;0;0;0;144993;0;18435368;33738256;50;449044;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Geburtshus Storchenäscht AG;Bahnhofstrasse 11;5600 Lenzburg;K232;priv;B;;;1;;572;143;143;0;2;0.3909607143;0.3857871429;0;5.3191;3.1915;100;0;3.15;0;5.05;0;2.2;0;3.53;1;0;477837;94075;292305;882527;845785;60073;0;97546;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;572;143;4;4;39.1;40000;40000;842526;842526;92749;0;0;0;0;55906;55906;905857;845785;55;0;;0
AG;Klinik Barmelweid AG;;5017 Barmelweid;K235;oeff;A, P, R;;MSt, Arzt, BGs;1;;45672;2357;0;0;0;;;0.4031;35.8559;23.5792;98.8311;32.38;93.55;60.05;219.48;1.37;3.97;2.55;9.31;7;0;22751455;3671422;17202858;43738235;43435299;484093;0;181164;1755;451;5;3.9;95.9;1425996;1425996;3857768;2811346;57808;742294;18401;0;1;1549785;1549785;3217467;2268597;52.4;460266;52.6;0;15133;395;41;38.3;100.8;1328401;1299114;11788136;9450147;197930;1824120;48652;0;0;1431097;1003418;11232175;8465998;52.4;1699341;52.7;0;28784;1511;88;19;89.4;118918;118918;24496444;17141579;341201;5715957;167023;0;0;125707;125707;25635913;15335799;51;5978739;51.5;0;;;;;;;;;;;;;;;;;;;;;;
AG;Von Effinger­Stiftung Klinik im Hasel für Suchtkranke;Hasel 837;5728 Gontenschwil;K235;oeff;P;;;2;;16661;146;0;0;0;;;0;35.3846;0;96.4103;2.84;4.99;17.57;40.99;1.95;3.42;12.03;28.08;0;0;4603369;641490;1331103;6575962;6490337;114772;10737;39884;;;;;;;;;;;;;;;;;;;;;;;16661;146;46;114.1;99;483751;483751;5752312;5752312;244167;0;0;0;0;505884;500079;6202458;6191930;50.5;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Klinik für Suchtmedizin KSM Drogenentzug / Übergang / Krisenintervention;Zürcherstrasse 52;5432 Neuenhof;K235;priv;P;;BGs;1;;3937;149;0;0;0;;;0;26.0274;0;100;0.3;3.58;6.13;11.65;0.2;2.4;4.11;7.82;0;0;1294346;74914;527498;1896758;1033485;11;1045445;202948;;;;;;;;;;;;;;;;;;;;;;;3937;149;10;26.4;107.6;0;0;1928492;1928492;106648;0;0;0;0;0;0;2078941;1033485;100;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
