KT;Inst;Adr;Ort;Typ;RForm;Akt;SL;WB;AnzStand;SA;PtageStatT;AustStatT;NeugStatT;Ops;Gebs;CMIb;CMIn;pPatWAU;pPatWAK;pPatLKP;pPatHOK;PersA;PersP;PersMT;PersT;PersAFall;PersPFall;PersMTFall;PersTFall;AnzBelA;AnzBelP;AwBesold;AwInvest;AwSonst;AwT;EtMedL;EtSonst;EtSubv;FiErg;PtageStatA;AustStatA;BettenStatA;DADStatA;pBettenBelStatA;KostAmbA;KostOKPAmbA;KostStatA;KostKVGStatA;AnlKVGStatA;KostZvOKPStatA;AnlZvOKPStatA;KostLangA;AuftragLFA;ErlAmbA;ErlOKPAmbA;ErlStatA;ErlKVGStatA;ErlKVGStatVA;ErlZvOKPStatA;ErlZvOKPStatVA;ErlLangA;PtageStatP;AustStatP;BettenStatP;DADStatP;pBettenBelStatP;KostAmbP;KostOKPAmbP;KostStatP;KostKVGStatP;AnlKVGStatP;KostZvOKPStatP;AnlZvOKPStatP;KostLangP;AuftragLFP;ErlAmbP;ErlOKPAmbP;ErlStatP;ErlKVGStatP;ErlKVGStatVP;ErlZvOKPStatP;ErlZvOKPStatVP;ErlLangP;PtageStatR;AustStatR;BettenStatR;DADStatR;pBettenBelStatR;KostAmbR;KostOKPAmbR;KostStatR;KostKVGStatR;AnlKVGStatR;KostZvOKPStatR;AnlZvOKPStatR;KostLangR;AuftragLFR;ErlAmbR;ErlOKPAmbR;ErlStatR;ErlKVGStatR;ErlKVGStatVR;ErlZvOKPStatR;ErlZvOKPStatVR;ErlLangR;PtageStatB;AustStatB;BettenStatB;DADStatB;pBettenBelStatB;KostAmbB;KostOKPAmbB;KostStatB;KostKVGStatB;AnlKVGStatB;KostZvOKPStatB;AnlZvOKPStatB;KostLangB;AuftragLFB;ErlAmbB;ErlOKPAmbB;ErlStatB;ErlKVGStatB;ErlKVGStatVB;ErlZvOKPStatB;ErlZvOKPStatVB;ErlLangB
AG;Kantonsspital Aarau AG;Tellstrasse 15;5000 Aarau;K112;R1;A;NF, IPS;MSt, Arzt, BGs;1;MRI, CT, PET, CC, LB, Lito;159663;26072;1236;17;5;1.1830499981;1.1566746057;0.6784;11.0638;16.8216;92.7515;556.21;1305.1;318.94;3070.13;2.13;5.01;1.22;11.78;;;350371730;37543249;176069050;564769110;521833842;29130631;8538994;1117703;159663;26072;507;6.1;86.3;200461933;0;353716618;256477849;14981511;71109125;3397235;0;6645994;182719338;0;350904085;227954552;56;85326016;72.8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Kantonsspital Baden AG;Im Ergel;5404 Baden;K112;R1;A;NF, IPS;MSt, Arzt, BGs;4;MRI, CT, CC, Lito;100259;17064;1504;8;6;0.9338309806;0.9190030496;0.6588;4.3215;20.3177;95.5528;265.24;723.34;184.68;1636.79;1.55;4.24;1.08;9.59;;;175537947;13788100;88432107;287193955;274704968;23574791;3914153;24733252;100259;17064;337.4;5.9;81.4;88708789;83827801;196548429;139267827;18314191;42117115;5539733;0;0;88294959;82073264;192237100;123043168;58.4;37402898;60.6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Hirslanden Klinik Aarau;Schänisweg 1;5000 Aarau;K112;R1;A;IPS;MSt, Arzt, BGs;1;MRI, CT, LB, Lito;46313;9824;753;7;2;1.1263581466;1.1057732587;0.4955;17.8049;50.9354;92.5068;11.77;283.16;67.85;512.45;0.12;2.88;0.69;5.22;;;51449087;25316690;49342410;126108187;128068070;8119663;141578;10295314;46313;9824;143.5;4.7;88.4;25850141;23165369;101374584;40744395;4140481;54296126;5769808;0;141578;20348283;18749199;128193943;46908026;51.4;55821879;51.4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Gesundheitszentrum Fricktal;Riburgerstrasse 12;4310 Rheinfelden;K121;R1;A;NF;MSt, Arzt, BGs;3;MRI, CT;37081;7348;408;6;3;0.8048336343;0.7582043848;6.7654;6.6402;21.5982;93.758;73.88;228.32;53.15;502.34;1.01;3.11;0.72;6.84;;;58829045;5064022;23992161;87885228;80560166;444795;660410;-6219857;37081;7348;137;5;74.2;20549788;17328953;66460624;43271422;5176957;19322704;1738373;0;657192;15164933;12994572;66500437;39731198;51.4;22032620;51.4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Kreisspital für das Freiamt;Spitalstrasse 144;5630 Muri AG;K121;R2;A;NF;MSt, Arzt, BGs;1;MRI, CT;31231;7131;585;4;2;0.8139314145;0.7782336964;0.3217;5.7578;16.4072;89.834;61.52;223.31;58.41;451.27;0.86;3.13;0.82;6.33;;;49687836;8664495;28285113;86780697;80171902;4948040;1441483;495818;31231;7131;118;4.4;72.5;20016338;17453110;61068843;44029904;4044701;11600129;1155264;0;601390;16178461;14076560;64105526;42724856;51.7;10879099;57.2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Spital Zofingen AG;Mühlethalstrasse 27;4800 Zofingen;K122;R1;A;NF, IPS;BGs;1;MRI, CT;25123;5191;0;4;0;0.9295105093;0.8766221302;0.5119;10.6097;14.3926;90.0965;48.94;211.31;60.14;442.49;0.94;4.07;1.16;8.52;;;38232665;3646135;23509195;65387995;60713020;3976734;415873;-282768;25123;5191;78.2;4.8;88;19950753;0;47843831;35813306;4640061;8742701;943455;0;0;11531188;0;55781137;40878896;54.1;6561852;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Asana Gruppe AG Spital Menziken;Spitalstrasse 1;5737 Menziken;K122;R1;A;NF;BGs;1;;14835;3414;170;3;2;0.7846014866;0.7483221555;0.1133;5.0468;12.0045;90.8834;21.82;74.09;24.76;199.55;0.64;2.17;0.73;5.85;;;18837788;1488863;11493264;31853497;29357150;2084960;165489;342379;14835;3414;44.2;4.3;91.9;3974239;0;26125668;20553383;938787;2797727;127788;0;179702;3385217;0;26244857;19154532;51.4;2607317;51.4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Asana Gruppe AG Spital Leuggern;Kommendeweg;5316 Leuggern;K122;R1;A;NF;BGs;1;;12017;3050;560;2;2;0.7556465299;0.7242838157;8.7964;2.6646;12.1195;89.9469;13.21;89.43;9.88;164.11;0.43;2.93;0.32;5.38;;;15422907;1641466;12486168;29550541;27317149;2465397;107322;339327;12017;3050;37.7;3.9;87.3;2532693;0;24831169;18702820;1244670;2340318;155748;0;106764;2294684;0;25423692;18052154;51.4;2258899;51.4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Klinik Villa im Park AG;Bernstrasse 84;4852 Rothrist;K122;R1;A;;BGs;1;;7846;2514;766;2;2;0.6915135878;0.6664183206;0;54.9008;15.2366;90.5344;0;49.38;8.85;86.88;0;1.96;0.35;3.46;;;7697866;1191789;9216652;18106307;19900335;94086;0;1888114;7846;2514;32;3.1;67.2;112380;0;16906372;8837072;0;2189148;0;0;0;74189;0;17440063;14557273;51.4;2625112;100;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Klinik für Schlafmedizin;Badstrasse 33;5330 Bad Zurzach;K123;R1;A;;BGs;1;;1101;66;0;0;0;0.6308787879;0.9375121212;6.0606;85.4839;40.9091;100;3.07;7.78;3.43;19.88;4.65;11.79;5.2;30.12;;;2830672;374774;805634;4061569;4237904;70340;0;285385;1101;66;4;16.7;75.4;3131879;0;878513;522565;82052;355948;53270;0;0;3282523;0;968396;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Psychiatrische Dienste Aargau AG;Zürcherstrasse 241;5210 Windisch;K211;R1;P;NF;MSt, Arzt, BGs;15;;120190;3019;0;0;0;;;0.5119;4.9255;4.6974;99.2472;95.36;311.07;148.94;809.17;3.16;10.3;4.93;26.8;;;85264137;8381886;30761265;124407288;111123945;10411689;7500000;4641149;;;;;;;;;;;;;;;;;;;;;;;120190;3019;331;39.8;99.5;32807366;29605760;85475455;80801259;0;4105959;0;0;1413315;30357944;23040964;112634038;103887464;51.4;5905195;51.4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Schützen Rheinfelden AG Klinik & Ambulatorium;Bahnhofstrasse 19;4310 Rheinfelden;K212;R1;P;;Arzt, BGs;3;;32627;729;0;0;0;;;3.2092;69.6286;31.7073;11.2965;22.09;60.12;35.02;137.1;3.03;8.25;4.8;18.81;;;15323051;1704169;5040167;27023640;29707282;0;60188;2743830;;;;;;;;;;;;;;;;;;;;;;;32627;729;99;44.8;90.3;5316284;5564378;21605136;11492601;724478;9984210;624083;0;102219;4936127;4886957;24831343;13177560;53.7;11494352;67.7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Von Effinger-Stiftung Klinik Im Hasel;Hasel 837;5728 Gontenschwil;K212;R2;P;;Arzt;3;;17148;189;0;0;0;;;0;39.8268;0;99.1342;2.5;6.36;18.04;44.17;1.32;3.37;9.54;23.37;;;4997846;696937;1404464;7099247;6863232;78448;3457;-154110;;;;;;;;;;;;;;;;;;;;;;;17148;189;48;90.7;97.9;698013;698013;6824204;6824204;1047675;0;0;0;0;642690;636724;6171586;6158195;51;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;Klinik für Suchtmedizin KSM Drogenentzug / Übergang / Krisenintervention;Zürcherstrasse 52;5432 Neuenhof;K212;R2;P;;BGs;1;;3767;139;0;0;0;;;0;34.2466;0;97.9452;0.5;3.78;6.9;12.14;0.36;2.72;4.96;8.73;;;1229136;44444;503530;1827987;2029111;6;0;217884;;;;;;;;;;;;;;;;;;;;;;;3767;139;10;27.1;103.2;0;0;1889941;1889941;106648;0;0;0;0;0;0;2029117;2029111;49;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AG;RehaClinic Zurzach;Quellenstrasse 34;5330 Bad Zurzach;K221;R1;R;;MSt, Arzt, BGs;3;;83203;3345;0;0;0;;;1.1229;69.569;29.5422;96.1705;30.65;126.4;94.51;379.01;0.92;3.78;2.83;11.33;;;37349945;5372339;17757565;61752308;59477148;3388308;0;3006376;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;83203;3345;236;24.9;96.6;5709590;0;51396302;33507449;3182370;16644288;1651574;0;543792;6355361;0;53039764;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;
AG;Rehaklinik Bellikon;Mutschellenstrasse 2;5454 Bellikon;K221;R4;R;;Arzt, BGs;1;;70830;1594;0;0;0;;;5.9853;80.4805;10.3896;21.965;48.66;148.17;138.06;538.51;3.05;9.3;8.66;33.78;;;51860634;8989400;13266221;74952321;71727869;2498361;178696;294390;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70830;1594;205;44.4;94.7;11390319;1059853;56351593;15330165;778795;8356920;451919;0;0;8596896;624514;63744373;12009742;50.3;12362410;92.1;0;;;;;;;;;;;;;;;;;;;;;;
AG;Reha Rheinfelden;Salinenstrasse 98;4310 Rheinfelden;K221;R2;R;;MSt, Arzt, BGs;1;;58921;1946;0;0;0;;;0;60.6829;29.6882;95.012;22.76;109.42;123.29;407.89;1.17;5.62;6.34;20.96;;;37305570;4049135;10644110;52633880;50049793;3146562;203074;1883054;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58921;1946;178;30.3;90.7;6407548;0;45802956;30084479;3336736;10574267;1602912;0;0;4500963;0;45205271;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;
AG;aarReha Schinznach Rehabilitation, Rheumatologie;Badstrasse 55;5116 Schinznach Bad;K221;R2;R;;MSt, Arzt, BGs;1;;33012;1397;0;0;0;;;0;40.5654;30.53;96.8905;14.41;48.57;34.38;162.09;1.03;3.48;2.46;11.6;;;15182224;664308;3945095;21983856;21470890;1147356;0;924150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33012;1397;96;23.6;94.2;1917328;1761979;19161656;12372785;1641860;5450513;723279;0;0;2002243;1871322;19534807;12195257;51.4;5372306;51.4;0;;;;;;;;;;;;;;;;;;;;;;
