
	A.1.1.M HD Herzinfarkt (Alter >19), Mortalität // DP infarctus du myocarde (âge >19), mortalité // DP infarto miocardico (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	5	1	0	1	0	
	1998	5	2	0	1	0	
	1998	6	1	0	6	0	
	1998	6	2	0	3	0	
	1998	7	1	0	41	0	
	1998	7	2	0	5	0	
	1998	8	1	1	89	0.01123596	
	1998	8	2	0	5	0	
	1998	9	1	5	166	0.03012048	
	1998	9	2	3	22	0.1363636	
	1998	10	1	8	311	0.02572347	
	1998	10	2	0	45	0	
	1998	11	1	5	453	0.01103753	
	1998	11	2	4	74	0.05405405	
	1998	12	1	10	374	0.02673797	
	1998	12	2	6	84	0.07142857	
	1998	13	1	15	446	0.03363229	
	1998	13	2	8	126	0.06349206	
	1998	14	1	24	436	0.05504587	
	1998	14	2	10	163	0.06134969	
	1998	15	1	44	458	0.09606987	
	1998	15	2	26	259	0.1003861	
	1998	16	1	49	383	0.1279373	
	1998	16	2	45	306	0.1470588	
	1998	17	1	70	277	0.2527076	
	1998	17	2	53	264	0.2007576	
	1998	18	1	42	161	0.2608696	
	1998	18	2	57	209	0.2727273	
	1998	19	1	19	39	0.4871795	
	1998	19	2	23	65	0.3538462	
	1998	20	1	2	4	0.5	
	1998	20	2	1	8	0.125	
	1999	5	1	1	2	0.5	
	1999	5	2	0	2	0	
	1999	6	1	0	8	0	
	1999	6	2	0	1	0	
	1999	7	1	0	33	0	
	1999	7	2	0	10	0	
	1999	8	1	1	88	0.01136364	
	1999	8	2	1	11	0.09090909	
	1999	9	1	2	187	0.01069519	
	1999	9	2	0	43	0	
	1999	10	1	7	351	0.01994302	
	1999	10	2	5	64	0.078125	
	1999	11	1	8	522	0.01532567	
	1999	11	2	2	79	0.02531646	
	1999	12	1	11	525	0.02095238	
	1999	12	2	7	95	0.07368421	
	1999	13	1	26	575	0.04521739	
	1999	13	2	7	161	0.04347826	
	1999	14	1	29	564	0.05141844	
	1999	14	2	13	199	0.06532663	
	1999	15	1	31	566	0.05477032	
	1999	15	2	30	272	0.1102941	
	1999	16	1	56	504	0.1111111	
	1999	16	2	44	373	0.1179625	
	1999	17	1	71	352	0.2017045	
	1999	17	2	58	343	0.1690962	
	1999	18	1	51	193	0.2642487	
	1999	18	2	55	264	0.2083333	
	1999	19	1	21	48	0.4375	
	1999	19	2	29	94	0.3085106	
	1999	20	1	2	6	0.3333333	
	1999	20	2	8	17	0.4705882	
	2000	5	1	0	1	0	
	2000	6	1	0	8	0	
	2000	6	2	0	1	0	
	2000	7	1	0	46	0	
	2000	7	2	0	3	0	
	2000	8	1	0	99	0	
	2000	8	2	0	14	0	
	2000	9	1	5	189	0.02645503	
	2000	9	2	0	30	0	
	2000	10	1	9	318	0.02830189	
	2000	10	2	1	44	0.02272727	
	2000	11	1	6	500	0.012	
	2000	11	2	3	93	0.03225806	
	2000	12	1	21	531	0.03954802	
	2000	12	2	4	101	0.03960396	
	2000	13	1	19	570	0.03333333	
	2000	13	2	12	160	0.075	
	2000	14	1	38	611	0.06219313	
	2000	14	2	15	230	0.06521739	
	2000	15	1	43	605	0.07107438	
	2000	15	2	33	328	0.1006098	
	2000	16	1	70	574	0.1219512	
	2000	16	2	74	404	0.1831683	
	2000	17	1	86	389	0.2210797	
	2000	17	2	68	352	0.1931818	
	2000	18	1	78	218	0.3577982	
	2000	18	2	89	296	0.3006757	
	2000	19	1	18	58	0.3103448	
	2000	19	2	36	97	0.371134	
	2000	20	1	5	13	0.3846154	
	2000	20	2	4	15	0.2666667	
	2001	5	1	0	4	0	
	2001	6	1	0	10	0	
	2001	6	2	0	1	0	
	2001	7	1	0	24	0	
	2001	7	2	0	6	0	
	2001	8	1	1	126	0.007936508	
	2001	8	2	0	21	0	
	2001	9	1	4	268	0.01492537	
	2001	9	2	0	46	0	
	2001	10	1	3	372	0.008064516	
	2001	10	2	2	73	0.02739726	
	2001	11	1	12	515	0.02330097	
	2001	11	2	3	103	0.02912621	
	2001	12	1	13	673	0.01931649	
	2001	12	2	4	101	0.03960396	
	2001	13	1	24	605	0.03966942	
	2001	13	2	3	148	0.02027027	
	2001	14	1	37	662	0.05589124	
	2001	14	2	15	277	0.05415162	
	2001	15	1	58	605	0.09586777	
	2001	15	2	23	361	0.06371191	
	2001	16	1	71	585	0.1213675	
	2001	16	2	83	454	0.1828194	
	2001	17	1	84	419	0.2004773	
	2001	17	2	88	403	0.2183623	
	2001	18	1	84	252	0.3333333	
	2001	18	2	100	343	0.2915452	
	2001	19	1	28	72	0.3888889	
	2001	19	2	29	109	0.266055	
	2001	20	1	6	15	0.4	
	2001	20	2	6	21	0.2857143	
	2002	5	1	0	5	0	
	2002	5	2	0	1	0	
	2002	6	1	0	7	0	
	2002	6	2	0	4	0	
	2002	7	1	0	33	0	
	2002	7	2	0	5	0	
	2002	8	1	1	117	0.008547009	
	2002	8	2	0	27	0	
	2002	9	1	6	301	0.01993355	
	2002	9	2	1	36	0.02777778	
	2002	10	1	5	515	0.009708738	
	2002	10	2	2	57	0.03508772	
	2002	11	1	10	621	0.01610306	
	2002	11	2	5	91	0.05494505	
	2002	12	1	19	704	0.02698864	
	2002	12	2	1	172	0.005813953	
	2002	13	1	33	683	0.04831625	
	2002	13	2	12	189	0.06349206	
	2002	14	1	32	699	0.04577969	
	2002	14	2	16	266	0.06015038	
	2002	15	1	59	713	0.08274895	
	2002	15	2	33	402	0.08208955	
	2002	16	1	81	658	0.1231003	
	2002	16	2	53	475	0.1115789	
	2002	17	1	80	503	0.1590457	
	2002	17	2	78	435	0.1793103	
	2002	18	1	92	297	0.3097643	
	2002	18	2	90	361	0.2493075	
	2002	19	1	25	97	0.257732	
	2002	19	2	49	127	0.3858268	
	2002	20	1	3	9	0.3333333	
	2002	20	2	8	23	0.3478261	
	2003	5	1	0	2	0	
	2003	5	2	0	2	0	
	2003	6	1	0	4	0	
	2003	6	2	0	3	0	
	2003	7	1	0	48	0	
	2003	7	2	0	11	0	
	2003	8	1	0	129	0	
	2003	8	2	0	17	0	
	2003	9	1	4	298	0.01342282	
	2003	9	2	0	41	0	
	2003	10	1	15	446	0.03363229	
	2003	10	2	3	62	0.0483871	
