
	A.1.1.M HD Herzinfarkt (Alter >19), Mortalität // DP infarctus du myocarde (âge >19), mortalité // DP infarto miocardico (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	DeathCH	CasesCH	pCH	
	1998	530	5284	10.03028	
	1999	576	6552	8.791209	
	2000	737	6898	10.68426	
	2001	781	7674	10.17722	
	2002	794	8633	9.197266	
	2003	796	8523	9.339434	
	2004	722	8656	8.341035	
	2005	811	9078	8.933686	
	2006	779	10821	7.198965	
	2007	900	11613	7.749935	
	2008	955	12801	7.460355	
	2009	904	13545	6.674049	
	2010	896	15388	5.822719	
	2011	927	16188	5.726464	
	2012	946	15999	5.91287	
	2013	937	16065	5.832555	

