
	A.1.3.M HD Herzinfarkt, Alter 45-64, Mortalität // DP infarctus du myocarde, âge 45-64, mortalité // DP infarto miocardico, età 45-64, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	10	1	8	311	0.02572347	
	1998	10	2	0	45	0	
	1998	11	1	5	453	0.01103753	
	1998	11	2	4	74	0.05405405	
	1998	12	1	10	374	0.02673797	
	1998	12	2	6	84	0.07142857	
	1998	13	1	15	446	0.03363229	
	1998	13	2	8	126	0.06349206	
	1999	10	1	7	351	0.01994302	
	1999	10	2	5	64	0.078125	
	1999	11	1	8	522	0.01532567	
	1999	11	2	2	79	0.02531646	
	1999	12	1	11	525	0.02095238	
	1999	12	2	7	95	0.07368421	
	1999	13	1	26	575	0.04521739	
	1999	13	2	7	161	0.04347826	
	2000	10	1	9	318	0.02830189	
	2000	10	2	1	44	0.02272727	
	2000	11	1	6	500	0.012	
	2000	11	2	3	93	0.03225806	
	2000	12	1	21	531	0.03954802	
	2000	12	2	4	101	0.03960396	
	2000	13	1	19	570	0.03333333	
	2000	13	2	12	160	0.075	
	2001	10	1	3	372	0.008064516	
	2001	10	2	2	73	0.02739726	
	2001	11	1	12	515	0.02330097	
	2001	11	2	3	103	0.02912621	
	2001	12	1	13	673	0.01931649	
	2001	12	2	4	101	0.03960396	
	2001	13	1	24	605	0.03966942	
	2001	13	2	3	148	0.02027027	
	2002	10	1	5	515	0.009708738	
	2002	10	2	2	57	0.03508772	
	2002	11	1	10	621	0.01610306	
	2002	11	2	5	91	0.05494505	
	2002	12	1	19	704	0.02698864	
	2002	12	2	1	172	0.005813953	
	2002	13	1	33	683	0.04831625	
	2002	13	2	12	189	0.06349206	
	2003	10	1	15	446	0.03363229	
	2003	10	2	3	62	0.0483871	
	2003	11	1	7	593	0.01180438	
	2003	11	2	2	122	0.01639344	
	2003	12	1	32	712	0.04494382	
	2003	12	2	6	166	0.03614458	
	2003	13	1	17	703	0.02418208	
	2003	13	2	4	165	0.02424242	
	2004	10	1	7	493	0.01419878	
	2004	10	2	2	71	0.02816901	
	2004	11	1	11	614	0.01791531	
	2004	11	2	0	93	0	
	2004	12	1	11	767	0.01434159	
	2004	12	2	6	171	0.03508772	
	2004	13	1	13	697	0.01865136	
	2004	13	2	13	220	0.05909091	
	2005	10	1	5	454	0.01101322	
	2005	10	2	2	75	0.02666667	
	2005	11	1	13	632	0.02056962	
	2005	11	2	0	98	0	
	2005	12	1	20	792	0.02525253	
	2005	12	2	4	165	0.02424242	
	2005	13	1	27	784	0.03443878	
	2005	13	2	8	210	0.03809524	
	2006	10	1	7	563	0.01243339	
	2006	10	2	1	117	0.008547009	
	2006	11	1	18	849	0.02120141	
	2006	11	2	2	143	0.01398601	
	2006	12	1	21	918	0.02287582	
	2006	12	2	8	204	0.03921569	
	2006	13	1	25	986	0.02535497	
	2006	13	2	10	212	0.04716981	
	2007	10	1	10	601	0.01663894	
	2007	10	2	3	101	0.02970297	
	2007	11	1	13	866	0.01501155	
	2007	11	2	0	156	0	
	2007	12	1	38	1035	0.03671498	
	2007	12	2	6	216	0.02777778	
	2007	13	1	36	1032	0.03488372	
	2007	13	2	11	296	0.03716216	
	2008	10	1	8	690	0.0115942	
	2008	10	2	2	108	0.01851852	
	2008	11	1	14	894	0.01565996	
	2008	11	2	6	184	0.0326087	
	2008	12	1	28	994	0.02816901	
	2008	12	2	14	240	0.05833333	
	2008	13	1	37	1188	0.03114478	
	2008	13	2	8	315	0.02539683	
	2009	10	1	15	721	0.02080444	
	2009	10	2	3	135	0.02222222	
	2009	11	1	18	1030	0.01747573	
	2009	11	2	1	188	0.005319149	
	2009	12	1	20	1180	0.01694915	
	2009	12	2	4	233	0.01716738	
	2009	13	1	38	1212	0.03135314	
	2009	13	2	10	312	0.03205128	
	2010	10	1	12	788	0.01522843	
	2010	10	2	2	123	0.01626016	
	2010	11	1	13	1174	0.01107325	
	2010	11	2	2	235	0.008510638	
	2010	12	1	24	1323	0.01814059	
	2010	12	2	7	253	0.02766798	
	2010	13	1	28	1497	0.01870407	
	2010	13	2	4	381	0.01049869	
	2011	10	1	10	862	0.01160093	
	2011	10	2	4	147	0.02721088	
	2011	11	1	13	1132	0.0114841	
	2011	11	2	2	205	0.009756098	
	2011	12	1	21	1314	0.01598174	
	2011	12	2	6	286	0.02097902	
	2011	13	1	37	1438	0.02573018	
	2011	13	2	8	381	0.02099738	
	2012	10	1	17	842	0.02019002	
	2012	10	2	4	148	0.02702703	
	2012	11	1	21	1172	0.01791809	
	2012	11	2	3	232	0.01293103	
	2012	12	1	27	1298	0.02080123	
	2012	12	2	6	281	0.02135231	
	2012	13	1	35	1458	0.02400549	
	2012	13	2	14	421	0.03325416	
	2013	10	1	17	824	0.02063107	
	2013	10	2	3	126	0.02380952	
	2013	11	1	13	1135	0.01145374	
	2013	11	2	3	229	0.01310044	
	2013	12	1	34	1366	0.02489019	
	2013	12	2	10	267	0.03745318	
	2013	13	1	28	1355	0.02066421	
	2013	13	2	17	415	0.04096386	

