
	A.1.3.M HD Herzinfarkt, Alter 45-64, Mortalität // DP infarctus du myocarde, âge 45-64, mortalité // DP infarto miocardico, età 45-64, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	DeathCH	CasesCH	pCH	
	1998	56	1913	2.927339	
	1999	73	2372	3.077572	
	2000	75	2317	3.236944	
	2001	64	2590	2.471042	
	2002	87	3032	2.869393	
	2003	86	2969	2.896598	
	2004	63	3126	2.015355	
	2005	79	3210	2.461059	
	2006	92	3992	2.304609	
	2007	117	4303	2.719033	
	2008	117	4613	2.53631	
	2009	109	5011	2.175215	
	2010	92	5774	1.593349	
	2011	101	5765	1.751951	
	2012	127	5852	2.170198	
	2013	125	5717	2.186461	

