
	A.1.5.M HD Herzinfarkt, Alter >84, Mortalität // DP infarctus du myocarde, âge >84, mortalité // DP infarto miocardico, età >84, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	18	1	42	161	0.2608696	
	1998	18	2	57	209	0.2727273	
	1998	19	1	19	39	0.4871795	
	1998	19	2	23	65	0.3538462	
	1998	20	1	2	4	0.5	
	1998	20	2	1	8	0.125	
	1999	18	1	51	193	0.2642487	
	1999	18	2	55	264	0.2083333	
	1999	19	1	21	48	0.4375	
	1999	19	2	29	94	0.3085106	
	1999	20	1	2	6	0.3333333	
	1999	20	2	8	17	0.4705882	
	2000	18	1	78	218	0.3577982	
	2000	18	2	89	296	0.3006757	
	2000	19	1	18	58	0.3103448	
	2000	19	2	36	97	0.371134	
	2000	20	1	5	13	0.3846154	
	2000	20	2	4	15	0.2666667	
	2001	18	1	84	252	0.3333333	
	2001	18	2	100	343	0.2915452	
	2001	19	1	28	72	0.3888889	
	2001	19	2	29	109	0.266055	
	2001	20	1	6	15	0.4	
	2001	20	2	6	21	0.2857143	
	2002	18	1	92	297	0.3097643	
	2002	18	2	90	361	0.2493075	
	2002	19	1	25	97	0.257732	
	2002	19	2	49	127	0.3858268	
	2002	20	1	3	9	0.3333333	
	2002	20	2	8	23	0.3478261	
	2003	18	1	93	312	0.2980769	
	2003	18	2	73	352	0.2073864	
	2003	19	1	40	107	0.3738318	
	2003	19	2	49	168	0.2916667	
	2003	20	1	7	25	0.28	
	2003	20	2	12	25	0.48	
	2004	18	1	61	248	0.2459677	
	2004	18	2	105	353	0.2974504	
	2004	19	1	22	91	0.2417582	
	2004	19	2	50	156	0.3205128	
	2004	20	1	1	8	0.125	
	2004	20	2	12	33	0.3636364	
	2005	18	1	68	282	0.2411348	
	2005	18	2	88	356	0.247191	
	2005	19	1	44	111	0.3963964	
	2005	19	2	54	171	0.3157895	
	2005	20	1	6	19	0.3157895	
	2005	20	2	14	39	0.3589744	
	2006	18	1	75	339	0.2212389	
	2006	18	2	74	407	0.1818182	
	2006	19	1	41	125	0.328	
	2006	19	2	57	207	0.2753623	
	2006	20	1	5	13	0.3846154	
	2006	20	2	13	34	0.3823529	
	2007	18	1	77	385	0.2	
	2007	18	2	107	473	0.2262156	
	2007	19	1	48	146	0.3287671	
	2007	19	2	65	224	0.2901786	
	2007	20	1	7	18	0.3888889	
	2007	20	2	14	47	0.2978723	
	2008	18	1	101	493	0.2048682	
	2008	18	2	103	561	0.1836007	
	2008	19	1	47	160	0.29375	
	2008	19	2	61	227	0.2687225	
	2008	20	1	11	27	0.4074074	
	2008	20	2	23	53	0.4339623	
	2009	18	1	109	511	0.2133072	
	2009	18	2	108	593	0.1821248	
	2009	19	1	41	142	0.2887324	
	2009	19	2	60	237	0.2531646	
	2009	20	1	8	26	0.3076923	
	2009	20	2	14	53	0.2641509	
	2010	18	1	119	584	0.2037671	
	2010	18	2	102	683	0.1493411	
	2010	19	1	39	153	0.254902	
	2010	19	2	51	265	0.1924528	
	2010	20	1	10	35	0.2857143	
	2010	20	2	20	68	0.2941176	
	2011	18	1	116	626	0.1853035	
	2011	18	2	107	715	0.1496503	
	2011	19	1	47	188	0.25	
	2011	19	2	53	299	0.1772575	
	2011	20	1	6	36	0.1666667	
	2011	20	2	17	70	0.2428571	
	2012	18	1	88	621	0.1417069	
	2012	18	2	103	653	0.1577335	
	2012	19	1	49	182	0.2692308	
	2012	19	2	74	296	0.25	
	2012	20	1	16	39	0.4102564	
	2012	20	2	15	63	0.2380952	
	2013	18	1	98	655	0.1496183	
	2013	18	2	96	703	0.1365576	
	2013	19	1	40	202	0.1980198	
	2013	19	2	79	337	0.2344214	
	2013	20	1	11	33	0.3333333	
	2013	20	2	14	74	0.1891892	

