
	A.1.5.M HD Herzinfarkt, Alter >84, Mortalität // DP infarctus du myocarde, âge >84, mortalité // DP infarto miocardico, età >84, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	DeathCH	CasesCH	pCH	
	1998	144	486	29.62963	
	1999	166	622	26.6881	
	2000	230	697	32.99857	
	2001	253	812	31.15764	
	2002	267	914	29.21225	
	2003	274	989	27.70475	
	2004	251	889	28.23397	
	2005	274	978	28.01636	
	2006	265	1125	23.55556	
	2007	318	1293	24.59397	
	2008	346	1521	22.74819	
	2009	340	1562	21.76697	
	2010	341	1788	19.07159	
	2011	346	1934	17.89038	
	2012	345	1854	18.60841	
	2013	338	2004	16.86627	

