
	A.1.7.M HD Herzinfarkt (Alter >19), Direktaufnahmen nicht weiter verlegt, Mortalität // DP infarctus du myocarde (âge >19), admissions directes pas transféré, mortalité // DP infarto miocardico (età >19), ammissioni dirette non trasferito, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	5	2	0	1	0	
	1998	6	1	0	5	0	
	1998	6	2	0	3	0	
	1998	7	1	0	33	0	
	1998	7	2	0	1	0	
	1998	8	1	1	54	0.01851852	
	1998	8	2	0	3	0	
	1998	9	1	5	120	0.04166667	
	1998	9	2	3	15	0.2	
	1998	10	1	5	219	0.02283105	
	1998	10	2	0	30	0	
	1998	11	1	4	318	0.01257862	
	1998	11	2	4	48	0.08333333	
	1998	12	1	7	265	0.02641509	
	1998	12	2	5	60	0.08333333	
	1998	13	1	11	337	0.03264095	
	1998	13	2	7	92	0.07608696	
	1998	14	1	21	338	0.06213018	
	1998	14	2	9	113	0.07964602	
	1998	15	1	39	338	0.1153846	
	1998	15	2	22	203	0.1083744	
	1998	16	1	47	315	0.1492063	
	1998	16	2	41	241	0.1701245	
	1998	17	1	69	257	0.2684825	
	1998	17	2	51	224	0.2276786	
	1998	18	1	41	145	0.2827586	
	1998	18	2	56	185	0.3027027	
	1998	19	1	19	36	0.5277778	
	1998	19	2	21	59	0.3559322	
	1998	20	1	2	4	0.5	
	1998	20	2	1	8	0.125	
	1999	5	1	1	2	0.5	
	1999	5	2	0	2	0	
	1999	6	1	0	4	0	
	1999	6	2	0	1	0	
	1999	7	1	0	21	0	
	1999	7	2	0	7	0	
	1999	8	1	1	48	0.02083333	
	1999	8	2	1	8	0.125	
	1999	9	1	2	117	0.01709402	
	1999	9	2	0	18	0	
	1999	10	1	7	231	0.03030303	
	1999	10	2	4	44	0.09090909	
	1999	11	1	7	349	0.02005731	
	1999	11	2	2	44	0.04545455	
	1999	12	1	9	365	0.02465753	
	1999	12	2	7	72	0.09722222	
	1999	13	1	23	388	0.05927835	
	1999	13	2	6	112	0.05357143	
	1999	14	1	29	424	0.06839623	
	1999	14	2	12	138	0.08695652	
	1999	15	1	29	421	0.06888361	
	1999	15	2	28	186	0.1505376	
	1999	16	1	52	400	0.13	
	1999	16	2	42	286	0.1468531	
	1999	17	1	70	297	0.2356902	
	1999	17	2	54	289	0.1868512	
	1999	18	1	47	172	0.2732558	
	1999	18	2	52	223	0.2331839	
	1999	19	1	21	46	0.4565217	
	1999	19	2	27	81	0.3333333	
	1999	20	1	2	6	0.3333333	
	1999	20	2	8	16	0.5	
	2000	5	1	0	1	0	
	2000	6	1	0	5	0	
	2000	7	1	0	23	0	
	2000	7	2	0	3	0	
	2000	8	1	0	61	0	
	2000	8	2	0	10	0	
	2000	9	1	4	127	0.03149606	
	2000	9	2	0	16	0	
	2000	10	1	9	215	0.04186047	
	2000	10	2	1	26	0.03846154	
	2000	11	1	6	339	0.01769912	
	2000	11	2	2	63	0.03174603	
	2000	12	1	18	346	0.05202312	
	2000	12	2	4	62	0.06451613	
	2000	13	1	19	384	0.04947917	
	2000	13	2	8	110	0.07272727	
	2000	14	1	35	420	0.08333333	
	2000	14	2	13	149	0.08724832	
	2000	15	1	38	421	0.09026128	
	2000	15	2	31	217	0.1428571	
	2000	16	1	65	435	0.1494253	
	2000	16	2	62	317	0.1955836	
	2000	17	1	79	319	0.2476489	
	2000	17	2	67	297	0.2255892	
	2000	18	1	74	189	0.3915344	
	2000	18	2	87	270	0.3222222	
	2000	19	1	17	51	0.3333333	
	2000	19	2	36	91	0.3956044	
	2000	20	1	4	10	0.4	
	2000	20	2	4	14	0.2857143	
	2001	5	1	0	2	0	
	2001	6	1	0	5	0	
	2001	6	2	0	1	0	
	2001	7	1	0	10	0	
	2001	7	2	0	3	0	
	2001	8	1	1	75	0.01333333	
	2001	8	2	0	9	0	
	2001	9	1	3	162	0.01851852	
	2001	9	2	0	30	0	
	2001	10	1	3	225	0.01333333	
	2001	10	2	2	48	0.04166667	
	2001	11	1	10	306	0.03267974	
	2001	11	2	3	63	0.04761905	
	2001	12	1	12	425	0.02823529	
	2001	12	2	4	71	0.05633803	
	2001	13	1	20	373	0.0536193	
	2001	13	2	3	89	0.03370787	
	2001	14	1	36	415	0.08674699	
	2001	14	2	15	195	0.07692308	
	2001	15	1	50	436	0.1146789	
	2001	15	2	19	247	0.07692308	
	2001	16	1	65	438	0.1484018	
	2001	16	2	78	332	0.2349398	
	2001	17	1	78	353	0.2209632	
	2001	17	2	85	351	0.2421652	
	2001	18	1	76	211	0.3601896	
	2001	18	2	98	308	0.3181818	
	2001	19	1	26	68	0.3823529	
	2001	19	2	29	98	0.2959184	
	2001	20	1	6	14	0.4285714	
	2001	20	2	6	17	0.3529412	
	2002	5	1	0	3	0	
	2002	5	2	0	1	0	
	2002	6	1	0	3	0	
	2002	7	1	0	24	0	
	2002	7	2	0	2	0	
	2002	8	1	1	67	0.01492537	
	2002	8	2	0	18	0	
	2002	9	1	5	172	0.02906977	
	2002	9	2	1	16	0.0625	
	2002	10	1	4	300	0.01333333	
	2002	10	2	1	36	0.02777778	
	2002	11	1	8	384	0.02083333	
	2002	11	2	4	63	0.06349206	
	2002	12	1	19	442	0.04298643	
	2002	12	2	1	103	0.009708738	
	2002	13	1	29	420	0.06904762	
	2002	13	2	11	112	0.09821429	
	2002	14	1	28	413	0.06779661	
	2002	14	2	16	180	0.08888889	
	2002	15	1	55	474	0.1160338	
	2002	15	2	33	282	0.1170213	
	2002	16	1	70	482	0.1452282	
	2002	16	2	49	349	0.1404011	
	2002	17	1	79	421	0.1876485	
	2002	17	2	75	368	0.2038043	
	2002	18	1	89	262	0.3396947	
	2002	18	2	85	316	0.2689873	
	2002	19	1	25	87	0.2873563	
	2002	19	2	47	112	0.4196429	
	2002	20	1	2	7	0.2857143	
	2002	20	2	7	22	0.3181818	
	2003	5	1	0	2	0	
	2003	5	2	0	1	0	
	2003	6	1	0	3	0	
	2003	7	1	0	22	0	
	2003	7	2	0	5	0	
	2003	8	1	0	66	0	
	2003	8	2	0	7	0	
	2003	9	1	4	177	0.02259887	
	2003	9	2	0	23	0	
	2003	10	1	11	263	0.0418251	
	2003	10	2	2	41	0.04878049	
	2003	11	1	7	349	0.02005731	
	2003	11	2	2	70	0.02857143	
	2003	12	1	28	414	0.06763285	
	2003	12	2	5	87	0.05747126	
	2003	13	1	13	429	0.03030303	
	2003	13	2	3	98	0.03061224	
	2003	14	1	25	422	0.05924171	
	2003	14	2	11	145	0.07586207	
	2003	15	1	40	415	0.09638554	
	2003	15	2	24	223	0.1076233	
	2003	16	1	75	472	0.1588983	
	2003	16	2	42	322	0.1304348	
	2003	17	1	81	372	0.2177419	
	2003	17	2	97	394	0.2461929	
	2003	18	1	90	278	0.323741	
	2003	18	2	70	300	0.2333333	
	2003	19	1	39	98	0.3979592	
	2003	19	2	47	148	0.3175676	
	2003	20	1	7	21	0.3333333	
	2003	20	2	12	21	0.5714286	
	2004	6	1	0	6	0	
	2004	6	2	0	2	0	
	2004	7	1	1	19	0.05263158	
	2004	7	2	0	3	0	
	2004	8	1	2	65	0.03076923	
	2004	8	2	0	15	0	
	2004	9	1	4	160	0.025	
	2004	9	2	0	19	0	
	2004	10	1	5	246	0.0203252	
	2004	10	2	1	37	0.02702703	
	2004	11	1	8	323	0.0247678	
	2004	11	2	0	55	0	
	2004	12	1	11	386	0.02849741	
	2004	12	2	4	86	0.04651163	
	2004	13	1	7	377	0.01856764	
	2004	13	2	12	130	0.09230769	
	2004	14	1	25	371	0.06738544	
	2004	14	2	13	119	0.1092437	
	2004	15	1	50	414	0.1207729	
	2004	15	2	18	198	0.09090909	
	2004	16	1	52	421	0.1235154	
	2004	16	2	40	282	0.141844	
	2004	17	1	90	416	0.2163462	
	2004	17	2	65	349	0.1862464	
	2004	18	1	59	210	0.2809524	
	2004	18	2	95	295	0.3220339	
	2004	19	1	22	78	0.2820513	
	2004	19	2	49	133	0.3684211	
	2004	20	1	1	6	0.1666667	
	2004	20	2	11	29	0.3793103	
	2005	5	1	0	3	0	
	2005	6	1	1	3	0.3333333	
	2005	7	1	1	13	0.07692308	
	2005	7	2	0	2	0	
	2005	8	1	0	54	0	
	2005	8	2	0	10	0	
	2005	9	1	6	155	0.03870968	
	2005	9	2	0	19	0	
	2005	10	1	5	217	0.02304147	
	2005	10	2	1	37	0.02702703	
	2005	11	1	7	296	0.02364865	
	2005	11	2	0	47	0	
	2005	12	1	19	393	0.04834606	
	2005	12	2	2	79	0.02531646	
	2005	13	1	20	395	0.05063291	
	2005	13	2	6	107	0.05607477	
	2005	14	1	25	352	0.07102273	
	2005	14	2	9	118	0.07627119	
	2005	15	1	45	365	0.1232877	
	2005	15	2	32	208	0.1538462	
	2005	16	1	63	420	0.15	
	2005	16	2	46	259	0.1776062	
	2005	17	1	104	391	0.2659847	
	2005	17	2	76	360	0.2111111	
	2005	18	1	64	231	0.2770563	
	2005	18	2	82	296	0.277027	
	2005	19	1	44	97	0.4536082	
	2005	19	2	53	141	0.3758865	
	2005	20	1	6	14	0.4285714	
	2005	20	2	14	23	0.6086957	
	2006	6	1	0	6	0	
	2006	7	1	0	16	0	
	2006	7	2	0	1	0	
	2006	8	1	4	70	0.05714286	
	2006	8	2	0	10	0	
	2006	9	1	4	178	0.02247191	
	2006	9	2	0	17	0	
	2006	10	1	7	248	0.02822581	
	2006	10	2	1	48	0.02083333	
	2006	11	1	16	386	0.04145078	
	2006	11	2	2	67	0.02985075	
	2006	12	1	16	430	0.0372093	
	2006	12	2	6	92	0.06521739	
	2006	13	1	22	504	0.04365079	
	2006	13	2	7	99	0.07070707	
	2006	14	1	23	421	0.05463183	
	2006	14	2	7	135	0.05185185	
	2006	15	1	33	434	0.07603687	
	2006	15	2	15	210	0.07142857	
	2006	16	1	75	445	0.1685393	
	2006	16	2	45	296	0.152027	
	2006	17	1	87	417	0.2086331	
	2006	17	2	64	374	0.171123	
	2006	18	1	73	283	0.2579505	
	2006	18	2	72	326	0.2208589	
	2006	19	1	40	105	0.3809524	
	2006	19	2	57	174	0.3275862	
	2006	20	1	4	10	0.4	
	2006	20	2	13	28	0.4642857	
	2007	5	1	0	1	0	
	2007	5	2	0	1	0	
	2007	6	1	0	7	0	
	2007	6	2	0	1	0	
	2007	7	1	1	20	0.05	
	2007	7	2	0	4	0	
	2007	8	1	2	60	0.03333333	
	2007	8	2	1	15	0.06666667	
	2007	9	1	1	165	0.006060606	
	2007	9	2	0	20	0	
	2007	10	1	9	289	0.03114187	
	2007	10	2	3	45	0.06666667	
	2007	11	1	8	413	0.01937046	
	2007	11	2	0	75	0	
	2007	12	1	34	546	0.06227106	
	2007	12	2	5	95	0.05263158	
	2007	13	1	31	543	0.05709024	
	2007	13	2	7	151	0.04635762	
	2007	14	1	29	501	0.05788423	
	2007	14	2	14	149	0.09395973	
	2007	15	1	41	499	0.08216433	
	2007	15	2	26	217	0.1198157	
	2007	16	1	69	508	0.1358268	
	2007	16	2	33	299	0.1103679	
	2007	17	1	101	477	0.21174	
	2007	17	2	85	459	0.1851852	
	2007	18	1	72	315	0.2285714	
	2007	18	2	104	376	0.2765957	
	2007	19	1	46	129	0.3565891	
	2007	19	2	64	195	0.3282051	
	2007	20	1	7	15	0.4666667	
	2007	20	2	14	38	0.3684211	
	2008	5	1	0	5	0	
	2008	6	1	0	4	0	
	2008	6	2	0	2	0	
	2008	7	1	1	16	0.0625	
	2008	7	2	0	2	0	
	2008	8	1	0	47	0	
	2008	8	2	0	10	0	
	2008	9	1	2	196	0.01020408	
	2008	9	2	0	23	0	
	2008	10	1	6	336	0.01785714	
	2008	10	2	1	44	0.02272727	
	2008	11	1	9	411	0.02189781	
	2008	11	2	2	98	0.02040816	
	2008	12	1	24	521	0.04606526	
	2008	12	2	11	122	0.09016393	
	2008	13	1	31	587	0.0528109	
	2008	13	2	8	152	0.05263158	
	2008	14	1	38	550	0.06909091	
	2008	14	2	13	194	0.06701031	
	2008	15	1	50	527	0.09487666	
	2008	15	2	17	251	0.06772908	
	2008	16	1	65	537	0.1210428	
	2008	16	2	34	365	0.09315068	
	2008	17	1	103	526	0.1958175	
	2008	17	2	97	484	0.2004132	
	2008	18	1	91	378	0.2407407	
	2008	18	2	96	434	0.2211982	
	2008	19	1	44	137	0.3211679	
	2008	19	2	57	195	0.2923077	
	2008	20	1	11	25	0.44	
	2008	20	2	22	47	0.4680851	
	2009	5	1	0	2	0	
	2009	6	1	1	7	0.1428571	
	2009	6	2	0	2	0	
	2009	7	1	0	13	0	
	2009	7	2	0	4	0	
	2009	8	1	0	64	0	
	2009	8	2	0	14	0	
	2009	9	1	2	170	0.01176471	
	2009	9	2	1	31	0.03225806	
	2009	10	1	14	333	0.04204204	
	2009	10	2	3	57	0.05263158	
	2009	11	1	14	484	0.02892562	
	2009	11	2	1	93	0.01075269	
	2009	12	1	14	559	0.02504472	
	2009	12	2	3	105	0.02857143	
	2009	13	1	30	562	0.05338078	
	2009	13	2	6	154	0.03896104	
	2009	14	1	32	536	0.05970149	
	2009	14	2	15	216	0.06944444	
	2009	15	1	41	548	0.07481752	
	2009	15	2	17	250	0.068	
	2009	16	1	69	578	0.1193772	
	2009	16	2	39	337	0.115727	
	2009	17	1	95	495	0.1919192	
	2009	17	2	78	462	0.1688312	
	2009	18	1	101	378	0.2671958	
	2009	18	2	100	437	0.228833	
	2009	19	1	41	120	0.3416667	
	2009	19	2	59	208	0.2836538	
	2009	20	1	8	23	0.3478261	
	2009	20	2	14	48	0.2916667	
	2010	5	1	0	3	0	
	2010	5	2	0	1	0	
	2010	6	1	0	4	0	
	2010	6	2	0	2	0	
	2010	7	1	0	21	0	
	2010	7	2	0	9	0	
	2010	8	1	1	75	0.01333333	
	2010	8	2	0	7	0	
	2010	9	1	2	178	0.01123596	
	2010	9	2	1	28	0.03571429	
	2010	10	1	10	361	0.02770083	
	2010	10	2	1	63	0.01587302	
	2010	11	1	10	519	0.01926782	
	2010	11	2	2	111	0.01801802	
	2010	12	1	15	604	0.02483444	
	2010	12	2	6	121	0.04958678	
	2010	13	1	26	697	0.03730273	
	2010	13	2	2	169	0.01183432	
	2010	14	1	37	632	0.0585443	
	2010	14	2	11	209	0.05263158	
	2010	15	1	43	591	0.07275804	
	2010	15	2	25	278	0.08992806	
	2010	16	1	48	560	0.08571429	
	2010	16	2	44	372	0.1182796	
	2010	17	1	93	565	0.1646018	
	2010	17	2	75	460	0.1630435	
	2010	18	1	106	375	0.2826667	
	2010	18	2	90	462	0.1948052	
	2010	19	1	37	114	0.3245614	
	2010	19	2	46	193	0.238342	
	2010	20	1	9	30	0.3	
	2010	20	2	19	52	0.3653846	
	2011	5	1	0	2	0	
	2011	5	2	0	1	0	
	2011	6	1	1	2	0.5	
	2011	6	2	0	2	0	
	2011	7	1	0	14	0	
	2011	7	2	0	3	0	
	2011	8	1	1	60	0.01666667	
	2011	8	2	0	11	0	
	2011	9	1	5	188	0.02659574	
	2011	9	2	1	39	0.02564103	
	2011	10	1	7	400	0.0175	
	2011	10	2	3	58	0.05172414	
	2011	11	1	11	533	0.0206379	
	2011	11	2	2	105	0.01904762	
	2011	12	1	19	628	0.03025478	
	2011	12	2	5	117	0.04273504	
	2011	13	1	29	726	0.0399449	
	2011	13	2	8	196	0.04081633	
	2011	14	1	42	734	0.05722071	
	2011	14	2	10	217	0.04608295	
	2011	15	1	43	630	0.06825397	
	2011	15	2	23	280	0.08214286	
	2011	16	1	63	681	0.09251101	
	2011	16	2	34	387	0.0878553	
	2011	17	1	91	578	0.1574394	
	2011	17	2	76	516	0.1472868	
	2011	18	1	105	410	0.2560976	
	2011	18	2	99	495	0.2	
	2011	19	1	44	147	0.2993197	
	2011	19	2	49	220	0.2227273	
	2011	20	1	6	32	0.1875	
	2011	20	2	17	52	0.3269231	
	2012	5	1	0	1	0	
	2012	6	1	1	10	0.1	
	2012	6	2	0	1	0	
	2012	7	1	0	30	0	
	2012	7	2	0	1	0	
