
	A.1.8.M HD Herzinfarkt (Alter >19), Zuverlegungen, Mortalität // DP infarctus du myocarde (âge >19), transféré d’un autre hôpital, mortalité // DP infarto miocardico (età >19), trasferito da un altro ospedale, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	5	1	0	1	0	
	1998	6	1	0	1	0	
	1998	7	1	0	6	0	
	1998	7	2	0	2	0	
	1998	8	1	0	17	0	
	1998	8	2	0	1	0	
	1998	9	1	0	18	0	
	1998	9	2	0	5	0	
	1998	10	1	3	42	0.07142857	
	1998	10	2	0	9	0	
	1998	11	1	1	52	0.01923077	
	1998	11	2	0	10	0	
	1998	12	1	3	41	0.07317073	
	1998	12	2	1	7	0.1428571	
	1998	13	1	4	41	0.09756098	
	1998	13	2	1	15	0.06666667	
	1998	14	1	3	40	0.075	
	1998	14	2	1	23	0.04347826	
	1998	15	1	5	48	0.1041667	
	1998	15	2	4	23	0.173913	
	1998	16	1	2	27	0.07407407	
	1998	16	2	4	22	0.1818182	
	1998	17	1	1	6	0.1666667	
	1998	17	2	2	18	0.1111111	
	1998	18	1	1	9	0.1111111	
	1998	18	2	1	9	0.1111111	
	1998	19	1	0	1	0	
	1998	19	2	2	4	0.5	
	1999	6	1	0	3	0	
	1999	7	1	0	2	0	
	1999	7	2	0	2	0	
	1999	8	1	0	19	0	
	1999	8	2	0	2	0	
	1999	9	1	0	27	0	
	1999	9	2	0	15	0	
	1999	10	1	0	55	0	
	1999	10	2	1	11	0.09090909	
	1999	11	1	1	82	0.01219512	
	1999	11	2	0	13	0	
	1999	12	1	2	75	0.02666667	
	1999	12	2	0	12	0	
	1999	13	1	3	80	0.0375	
	1999	13	2	1	24	0.04166667	
	1999	14	1	0	61	0	
	1999	14	2	1	18	0.05555556	
	1999	15	1	2	77	0.02597403	
	1999	15	2	2	36	0.05555556	
	1999	16	1	4	56	0.07142857	
	1999	16	2	2	41	0.04878049	
	1999	17	1	1	26	0.03846154	
	1999	17	2	4	26	0.1538462	
	1999	18	1	4	13	0.3076923	
	1999	18	2	3	19	0.1578947	
	1999	19	1	0	1	0	
	1999	19	2	2	5	0.4	
	2000	6	1	0	1	0	
	2000	7	1	0	10	0	
	2000	8	1	0	20	0	
	2000	8	2	0	3	0	
	2000	9	1	1	32	0.03125	
	2000	9	2	0	6	0	
	2000	10	1	0	51	0	
	2000	10	2	0	6	0	
	2000	11	1	0	69	0	
	2000	11	2	1	12	0.08333333	
	2000	12	1	3	86	0.03488372	
	2000	12	2	0	19	0	
	2000	13	1	0	84	0	
	2000	13	2	4	23	0.173913	
	2000	14	1	3	87	0.03448276	
	2000	14	2	2	28	0.07142857	
	2000	15	1	5	80	0.0625	
	2000	15	2	2	56	0.03571429	
	2000	16	1	5	61	0.08196721	
	2000	16	2	12	48	0.25	
	2000	17	1	7	35	0.2	
	2000	17	2	1	15	0.06666667	
	2000	18	1	4	14	0.2857143	
	2000	18	2	2	15	0.1333333	
	2000	19	1	1	3	0.3333333	
	2000	19	2	0	3	0	
	2000	20	1	1	1	1	
	2001	5	1	0	1	0	
	2001	6	1	0	4	0	
	2001	7	1	0	7	0	
	2001	7	2	0	2	0	
	2001	8	1	0	27	0	
	2001	8	2	0	8	0	
	2001	9	1	1	55	0.01818182	
	2001	9	2	0	7	0	
	2001	10	1	0	74	0	
	2001	10	2	0	15	0	
	2001	11	1	2	112	0.01785714	
	2001	11	2	0	16	0	
	2001	12	1	1	130	0.007692308	
	2001	12	2	0	14	0	
	2001	13	1	4	118	0.03389831	
	2001	13	2	0	32	0	
	2001	14	1	1	132	0.007575758	
	2001	14	2	0	41	0	
	2001	15	1	8	85	0.09411765	
	2001	15	2	4	52	0.07692308	
	2001	16	1	6	73	0.08219178	
	2001	16	2	5	64	0.078125	
	2001	17	1	6	31	0.1935484	
	2001	17	2	3	31	0.09677419	
	2001	18	1	8	22	0.3636364	
	2001	18	2	2	15	0.1333333	
	2001	19	1	2	3	0.6666667	
	2001	19	2	0	6	0	
	2001	20	1	0	1	0	
	2001	20	2	0	1	0	
	2002	5	1	0	2	0	
	2002	6	1	0	1	0	
	2002	6	2	0	3	0	
	2002	7	1	0	6	0	
	2002	7	2	0	2	0	
	2002	8	1	0	28	0	
	2002	8	2	0	6	0	
	2002	9	1	1	73	0.01369863	
	2002	9	2	0	10	0	
	2002	10	1	1	125	0.008	
	2002	10	2	1	15	0.06666667	
	2002	11	1	2	140	0.01428571	
	2002	11	2	1	13	0.07692308	
	2002	12	1	0	138	0	
	2002	12	2	0	37	0	
	2002	13	1	4	137	0.02919708	
	2002	13	2	1	45	0.02222222	
	2002	14	1	4	150	0.02666667	
	2002	14	2	0	48	0	
	2002	15	1	4	122	0.03278689	
	2002	15	2	0	52	0	
	2002	16	1	11	96	0.1145833	
	2002	16	2	4	59	0.06779661	
	2002	17	1	1	33	0.03030303	
	2002	17	2	3	35	0.08571429	
	2002	18	1	3	14	0.2142857	
	2002	18	2	5	26	0.1923077	
	2002	19	1	0	6	0	
	2002	19	2	2	5	0.4	
	2002	20	1	1	1	1	
	2002	20	2	1	1	1	
	2003	5	2	0	1	0	
	2003	6	1	0	1	0	
	2003	6	2	0	2	0	
	2003	7	1	0	22	0	
	2003	7	2	0	3	0	
	2003	8	1	0	36	0	
	2003	8	2	0	6	0	
	2003	9	1	0	70	0	
	2003	9	2	0	8	0	
	2003	10	1	4	103	0.03883495	
	2003	10	2	1	12	0.08333333	
	2003	11	1	0	137	0	
	2003	11	2	0	30	0	
	2003	12	1	4	171	0.02339181	
	2003	12	2	1	41	0.02439024	
	2003	13	1	4	149	0.02684564	
	2003	13	2	1	39	0.02564103	
	2003	14	1	3	138	0.02173913	
	2003	14	2	1	43	0.02325581	
	2003	15	1	2	152	0.01315789	
	2003	15	2	2	63	0.03174603	
	2003	16	1	10	99	0.1010101	
	2003	16	2	9	79	0.1139241	
	2003	17	1	5	52	0.09615385	
	2003	17	2	5	57	0.0877193	
	2003	18	1	3	15	0.2	
	2003	18	2	3	21	0.1428571	
	2003	19	1	1	3	0.3333333	
	2003	19	2	2	6	0.3333333	
	2003	20	1	0	3	0	
	2003	20	2	0	2	0	
	2004	6	1	0	1	0	
	2004	6	2	0	2	0	
	2004	7	1	0	16	0	
	2004	7	2	0	2	0	
	2004	8	1	0	23	0	
	2004	8	2	0	9	0	
	2004	9	1	0	85	0	
	2004	9	2	0	11	0	
	2004	10	1	2	140	0.01428571	
	2004	10	2	1	19	0.05263158	
	2004	11	1	3	158	0.01898734	
	2004	11	2	0	21	0	
	2004	12	1	0	214	0	
	2004	12	2	2	53	0.03773585	
	2004	13	1	6	163	0.03680982	
	2004	13	2	1	59	0.01694915	
	2004	14	1	3	171	0.01754386	
	2004	14	2	3	43	0.06976744	
	2004	15	1	7	160	0.04375	
	2004	15	2	6	77	0.07792208	
	2004	16	1	9	135	0.06666667	
	2004	16	2	10	86	0.1162791	
	2004	17	1	7	74	0.09459459	
	2004	17	2	3	70	0.04285714	
	2004	18	1	2	16	0.125	
	2004	18	2	10	23	0.4347826	
	2004	19	1	0	3	0	
	2004	19	2	1	8	0.125	
	2004	20	2	1	1	1	
	2005	6	1	0	3	0	
