
	A.1.10.M Transmuraler Herzinfarkt (Alter >19), Mortalität // Infarctus du myocarde transmural (âge >19), mortalité // Infarto transmurale (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	5	1	0	1	0	
	1998	5	2	0	1	0	
	1998	6	1	0	2	0	
	1998	7	1	0	27	0	
	1998	7	2	0	5	0	
	1998	8	1	0	64	0	
	1998	8	2	0	4	0	
	1998	9	1	3	97	0.03092784	
	1998	9	2	3	11	0.2727273	
	1998	10	1	6	203	0.02955665	
	1998	10	2	0	33	0	
	1998	11	1	2	293	0.006825939	
	1998	11	2	2	47	0.04255319	
	1998	12	1	5	225	0.02222222	
	1998	12	2	4	51	0.07843137	
	1998	13	1	8	282	0.02836879	
	1998	13	2	5	84	0.05952381	
	1998	14	1	11	253	0.04347826	
	1998	14	2	7	88	0.07954545	
	1998	15	1	34	274	0.1240876	
	1998	15	2	21	154	0.1363636	
	1998	16	1	25	211	0.1184834	
	1998	16	2	30	175	0.1714286	
	1998	17	1	42	146	0.2876712	
	1998	17	2	19	127	0.1496063	
	1998	18	1	16	80	0.2	
	1998	18	2	26	94	0.2765957	
	1998	19	1	7	18	0.3888889	
	1998	19	2	12	38	0.3157895	
	1998	20	1	2	2	1	
	1998	20	2	0	5	0	
	1999	5	2	0	1	0	
	1999	6	1	0	5	0	
	1999	7	1	0	21	0	
	1999	7	2	0	5	0	
	1999	8	1	1	48	0.02083333	
	1999	8	2	0	3	0	
	1999	9	1	0	125	0	
	1999	9	2	0	34	0	
	1999	10	1	6	231	0.02597403	
	1999	10	2	3	41	0.07317073	
	1999	11	1	5	347	0.01440922	
	1999	11	2	2	45	0.04444444	
	1999	12	1	6	362	0.01657459	
	1999	12	2	5	61	0.08196721	
	1999	13	1	20	362	0.05524862	
	1999	13	2	3	91	0.03296703	
	1999	14	1	17	333	0.05105105	
	1999	14	2	8	113	0.07079646	
	1999	15	1	22	328	0.06707317	
	1999	15	2	19	156	0.1217949	
	1999	16	1	38	281	0.1352313	
	1999	16	2	24	207	0.115942	
	1999	17	1	44	201	0.2189055	
	1999	17	2	25	164	0.152439	
	1999	18	1	29	98	0.2959184	
	1999	18	2	35	126	0.2777778	
	1999	19	1	8	17	0.4705882	
	1999	19	2	17	46	0.3695652	
	1999	20	1	1	3	0.3333333	
	1999	20	2	6	12	0.5	
	2000	6	1	0	5	0	
	2000	7	1	0	33	0	
	2000	7	2	0	1	0	
	2000	8	1	0	75	0	
	2000	8	2	0	10	0	
	2000	9	1	5	130	0.03846154	
	2000	9	2	0	20	0	
	2000	10	1	7	224	0.03125	
	2000	10	2	1	31	0.03225806	
	2000	11	1	1	335	0.002985075	
	2000	11	2	3	66	0.04545455	
	2000	12	1	9	354	0.02542373	
	2000	12	2	3	72	0.04166667	
	2000	13	1	15	371	0.04043127	
	2000	13	2	10	113	0.08849558	
	2000	14	1	26	398	0.06532663	
	2000	14	2	11	150	0.07333333	
	2000	15	1	20	353	0.05665722	
	2000	15	2	21	194	0.1082474	
	2000	16	1	43	307	0.1400651	
	2000	16	2	40	226	0.1769912	
	2000	17	1	61	224	0.2723214	
	2000	17	2	43	185	0.2324324	
	2000	18	1	45	116	0.387931	
	2000	18	2	47	155	0.3032258	
	2000	19	1	8	34	0.2352941	
	2000	19	2	19	47	0.4042553	
	2000	20	1	4	7	0.5714286	
	2000	20	2	2	11	0.1818182	
	2001	5	1	0	2	0	
	2001	6	1	0	6	0	
	2001	6	2	0	1	0	
	2001	7	1	0	18	0	
	2001	7	2	0	2	0	
	2001	8	1	0	94	0	
	2001	8	2	0	16	0	
	2001	9	1	3	194	0.01546392	
	2001	9	2	0	26	0	
	2001	10	1	3	240	0.0125	
	2001	10	2	1	38	0.02631579	
	2001	11	1	10	365	0.02739726	
	2001	11	2	1	65	0.01538462	
	2001	12	1	7	454	0.0154185	
	2001	12	2	3	64	0.046875	
	2001	13	1	15	380	0.03947368	
	2001	13	2	2	104	0.01923077	
	2001	14	1	17	405	0.04197531	
	2001	14	2	10	173	0.05780347	
	2001	15	1	34	350	0.09714286	
	2001	15	2	17	225	0.07555556	
	2001	16	1	40	339	0.1179941	
	2001	16	2	50	264	0.1893939	
	2001	17	1	49	223	0.2197309	
	2001	17	2	47	212	0.2216981	
	2001	18	1	40	124	0.3225806	
	2001	18	2	61	191	0.3193717	
	2001	19	1	15	37	0.4054054	
	2001	19	2	13	59	0.220339	
	2001	20	1	5	7	0.7142857	
	2001	20	2	5	13	0.3846154	
	2002	5	1	0	2	0	
	2002	5	2	0	1	0	
	2002	6	1	0	3	0	
	2002	6	2	0	4	0	
	2002	7	1	0	22	0	
	2002	7	2	0	4	0	
	2002	8	1	1	89	0.01123596	
	2002	8	2	0	19	0	
	2002	9	1	4	209	0.01913876	
	2002	9	2	1	20	0.05	
	2002	10	1	5	359	0.01392758	
	2002	10	2	0	33	0	
	2002	11	1	4	414	0.009661836	
	2002	11	2	5	63	0.07936508	
	2002	12	1	13	474	0.02742616	
	2002	12	2	0	112	0	
	2002	13	1	23	464	0.04956897	
	2002	13	2	9	124	0.07258065	
	2002	14	1	21	444	0.0472973	
	2002	14	2	9	159	0.05660377	
	2002	15	1	34	437	0.0778032	
	2002	15	2	22	242	0.09090909	
	2002	16	1	42	370	0.1135135	
	2002	16	2	30	266	0.112782	
	2002	17	1	43	267	0.1610487	
	2002	17	2	46	232	0.1982759	
	2002	18	1	42	137	0.3065693	
	2002	18	2	47	191	0.2460733	
	2002	19	1	9	47	0.1914894	
	2002	19	2	29	78	0.3717949	
	2002	20	1	2	3	0.6666667	
	2002	20	2	7	15	0.4666667	
	2003	5	1	0	1	0	
	2003	5	2	0	2	0	
	2003	6	1	0	3	0	
	2003	6	2	0	3	0	
	2003	7	1	0	38	0	
	2003	7	2	0	8	0	
	2003	8	1	0	103	0	
	2003	8	2	0	12	0	
	2003	9	1	2	194	0.01030928	
	2003	9	2	0	26	0	
	2003	10	1	10	314	0.03184713	
	2003	10	2	2	41	0.04878049	
	2003	11	1	4	410	0.009756098	
	2003	11	2	1	88	0.01136364	
	2003	12	1	20	491	0.0407332	
	2003	12	2	5	113	0.04424779	
	2003	13	1	10	479	0.02087683	
