
	A.1.10.M Transmuraler Herzinfarkt (Alter >19), Mortalität // Infarctus du myocarde transmural (âge >19), mortalité // Infarto transmurale (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	DeathCH	CasesCH	pCH	
	1998	290	3095	9.369952	
	1999	344	3867	8.895785	
	2000	444	4247	10.45444	
	2001	448	4691	9.550203	
	2002	448	5304	8.446456	
	2003	452	5309	8.513844	
	2004	425	5584	7.611032	
	2005	470	5784	8.125864	
	2006	478	6526	7.324548	
	2007	526	6760	7.781065	
	2008	519	6965	7.451543	
	2009	436	6791	6.420262	
	2010	469	7378	6.356736	
	2011	462	7159	6.453415	
	2012	476	7160	6.648045	
	2013	483	7125	6.778947	

