
	A.1.11.M Nichttransmuraler Infarkt/NSTEMI (Alter >19), Mortalität // Infarctus non transmural/NSTEMI (âge >19), mortalité // Infarto non transmurale/NSTEMI (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	6	1	0	2	0	
	1998	6	2	0	2	0	
	1998	7	1	0	2	0	
	1998	8	1	0	8	0	
	1998	9	1	0	17	0	
	1998	9	2	0	6	0	
	1998	10	1	0	30	0	
	1998	10	2	0	6	0	
	1998	11	1	0	55	0	
	1998	11	2	0	12	0	
	1998	12	1	1	44	0.02272727	
	1998	12	2	1	9	0.1111111	
	1998	13	1	0	47	0	
	1998	13	2	1	17	0.05882353	
	1998	14	1	2	60	0.03333333	
	1998	14	2	0	28	0	
	1998	15	1	1	57	0.01754386	
	1998	15	2	1	29	0.03448276	
	1998	16	1	1	52	0.01923077	
	1998	16	2	1	33	0.03030303	
	1998	17	1	3	30	0.1	
	1998	17	2	2	36	0.05555556	
	1998	18	1	2	16	0.125	
	1998	18	2	4	29	0.137931	
	1998	19	1	0	1	0	
	1998	19	2	0	7	0	
	1998	20	2	0	2	0	
	1999	7	1	0	3	0	
	1999	8	1	0	11	0	
	1999	8	2	0	1	0	
	1999	9	1	0	23	0	
	1999	9	2	0	3	0	
	1999	10	1	0	29	0	
	1999	10	2	0	5	0	
	1999	11	1	0	43	0	
	1999	11	2	0	4	0	
	1999	12	1	1	47	0.0212766	
	1999	12	2	0	8	0	
	1999	13	1	0	60	0	
	1999	13	2	1	20	0.05	
	1999	14	1	3	68	0.04411765	
	1999	14	2	0	29	0	
	1999	15	1	1	57	0.01754386	
	1999	15	2	2	34	0.05882353	
	1999	16	1	2	55	0.03636364	
	1999	16	2	2	44	0.04545455	
	1999	17	1	3	31	0.09677419	
	1999	17	2	2	44	0.04545455	
	1999	18	1	2	26	0.07692308	
	1999	18	2	2	35	0.05714286	
	1999	19	1	1	4	0.25	
	1999	19	2	0	12	0	
	1999	20	2	0	1	0	
	2000	8	1	0	9	0	
	2000	8	2	0	1	0	
	2000	9	1	0	13	0	
	2000	9	2	0	3	0	
	2000	10	1	0	25	0	
	2000	10	2	0	2	0	
	2000	11	1	1	48	0.02083333	
	2000	11	2	0	13	0	
	2000	12	1	0	41	0	
	2000	12	2	0	5	0	
	2000	13	1	0	61	0	
	2000	13	2	0	14	0	
	2000	14	1	2	70	0.02857143	
	2000	14	2	0	24	0	
	2000	15	1	3	72	0.04166667	
	2000	15	2	2	40	0.05	
	2000	16	1	4	63	0.06349206	
	2000	16	2	3	50	0.06	
	2000	17	1	5	53	0.09433962	
	2000	17	2	2	54	0.03703704	
	2000	18	1	4	26	0.1538462	
	2000	18	2	6	39	0.1538462	
	2000	19	1	1	2	0.5	
	2000	19	2	1	11	0.09090909	
	2000	20	1	1	2	0.5	
	2001	7	1	0	3	0	
	2001	7	2	0	3	0	
	2001	8	1	0	8	0	
	2001	9	1	0	24	0	
	2001	9	2	0	4	0	
