
	A.1.11.M Nichttransmuraler Infarkt/NSTEMI (Alter >19), Mortalität // Infarctus non transmural/NSTEMI (âge >19), mortalité // Infarto non transmurale/NSTEMI (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	DeathCH	CasesCH	pCH	
	1998	20	637	3.139717	
	1999	22	697	3.156385	
	2000	35	741	4.723347	
	2001	35	844	4.146919	
	2002	36	918	3.921569	
	2003	32	847	3.77804	
	2004	21	727	2.888583	
	2005	68	1347	5.048255	
	2006	106	2702	3.92302	
	2007	185	3740	4.946524	
	2008	245	4867	5.033902	
	2009	291	5820	5	
	2010	313	7331	4.26954	
	2011	324	8413	3.851183	
	2012	354	8398	4.215289	
	2013	365	8527	4.280521	

