
	A.2.1.M HD Herzinsuffizienz (Alter >19), Mortalität // DP insuffisance cardiaque (âge >19), mortalité // DP insufficienza cardiaca (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	5	1	0	2	0	
	1998	6	1	0	3	0	
	1998	6	2	0	3	0	
	1998	7	1	0	2	0	
	1998	7	2	1	6	0.1666667	
	1998	8	1	0	10	0	
	1998	8	2	1	9	0.1111111	
	1998	9	1	0	7	0	
	1998	9	2	0	8	0	
	1998	10	1	1	25	0.04	
	1998	10	2	1	5	0.2	
	1998	11	1	1	52	0.01923077	
	1998	11	2	0	30	0	
	1998	12	1	7	113	0.0619469	
	1998	12	2	0	44	0	
	1998	13	1	10	138	0.07246377	
	1998	13	2	2	74	0.02702703	
	1998	14	1	8	270	0.02962963	
	1998	14	2	8	130	0.06153846	
	1998	15	1	33	423	0.07801418	
	1998	15	2	16	278	0.05755396	
	1998	16	1	55	518	0.1061776	
	1998	16	2	35	455	0.07692308	
	1998	17	1	53	449	0.1180401	
	1998	17	2	41	575	0.07130435	
	1998	18	1	58	359	0.1615599	
	1998	18	2	80	577	0.1386482	
	1998	19	1	21	129	0.1627907	
	1998	19	2	53	271	0.195572	
	1998	20	1	5	24	0.2083333	
	1998	20	2	13	53	0.245283	
	1999	5	1	0	3	0	
	1999	5	2	0	1	0	
	1999	6	1	0	7	0	
	1999	6	2	0	5	0	
	1999	7	1	0	6	0	
	1999	7	2	0	5	0	
	1999	8	1	0	7	0	
	1999	8	2	0	6	0	
	1999	9	1	0	25	0	
	1999	9	2	1	7	0.1428571	
	1999	10	1	0	25	0	
	1999	10	2	0	9	0	
	1999	11	1	3	67	0.04477612	
	1999	11	2	0	23	0	
	1999	12	1	6	136	0.04411765	
	1999	12	2	5	55	0.09090909	
	1999	13	1	4	169	0.02366864	
	1999	13	2	4	70	0.05714286	
	1999	14	1	16	311	0.05144695	
	1999	14	2	12	182	0.06593407	
	1999	15	1	30	440	0.06818182	
	1999	15	2	21	322	0.06521739	
	1999	16	1	60	615	0.09756098	
	1999	16	2	53	539	0.09833024	
	1999	17	1	70	561	0.1247772	
	1999	17	2	71	681	0.1042584	
	1999	18	1	64	438	0.1461187	
	1999	18	2	96	760	0.1263158	
	1999	19	1	29	171	0.1695906	
	1999	19	2	47	353	0.1331445	
	1999	20	1	1	17	0.05882353	
	1999	20	2	11	55	0.2	
	2000	5	1	0	1	0	
	2000	5	2	0	1	0	
	2000	6	1	0	4	0	
