
	A.2.1.M HD Herzinsuffizienz (Alter >19), Mortalität // DP insuffisance cardiaque (âge >19), mortalité // DP insufficienza cardiaca (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	DeathCH	CasesCH	pCH	
	1998	503	5042	9.9762	
	1999	604	6071	9.948938	
	2000	709	6829	10.38219	
	2001	847	7772	10.8981	
	2002	873	8343	10.46386	
	2003	910	8857	10.27436	
	2004	928	9383	9.890227	
	2005	1016	10553	9.627594	
	2006	1090	11809	9.230248	
	2007	1226	12634	9.703973	
	2008	1195	13094	9.126317	
	2009	1154	13545	8.519749	
	2010	1321	14792	8.930503	
	2011	1309	15056	8.694208	
	2012	1351	15346	8.803597	
	2013	1424	16373	8.697245	

