
	A.2.4.M HD Herzinsuffizienz, Alter 65-84, Mortalität // DP insuffisance cardiaque, âge 65-84, mortalité // DP insufficienza cardiaca, età 65-84, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	14	1	8	270	0.02962963	
	1998	14	2	8	130	0.06153846	
	1998	15	1	33	423	0.07801418	
	1998	15	2	16	278	0.05755396	
	1998	16	1	55	518	0.1061776	
	1998	16	2	35	455	0.07692308	
	1998	17	1	53	449	0.1180401	
	1998	17	2	41	575	0.07130435	
	1999	14	1	16	311	0.05144695	
	1999	14	2	12	182	0.06593407	
	1999	15	1	30	440	0.06818182	
	1999	15	2	21	322	0.06521739	
	1999	16	1	60	615	0.09756098	
	1999	16	2	53	539	0.09833024	
	1999	17	1	70	561	0.1247772	
	1999	17	2	71	681	0.1042584	
	2000	14	1	26	356	0.07303371	
	2000	14	2	5	183	0.0273224	
	2000	15	1	35	493	0.07099391	
	2000	15	2	31	390	0.07948718	
	2000	16	1	63	653	0.09647779	
	2000	16	2	49	577	0.08492201	
	2000	17	1	91	623	0.1460674	
	2000	17	2	90	851	0.1057579	
	2001	14	1	34	393	0.08651399	
	2001	14	2	20	236	0.08474576	
	2001	15	1	51	599	0.0851419	
	2001	15	2	19	359	0.05292479	
	2001	16	1	77	744	0.1034946	
	2001	16	2	67	695	0.09640288	
	2001	17	1	122	769	0.1586476	
	2001	17	2	88	838	0.1050119	
	2002	14	1	27	403	0.06699752	
	2002	14	2	18	232	0.07758621	
	2002	15	1	45	592	0.07601351	
	2002	15	2	23	438	0.05251142	
	2002	16	1	78	813	0.09594096	
	2002	16	2	63	715	0.08811189	
	2002	17	1	113	843	0.1340451	
	2002	17	2	98	1002	0.09780439	
	2003	14	1	20	402	0.04975124	
	2003	14	2	12	210	0.05714286	
	2003	15	1	57	594	0.0959596	
	2003	15	2	21	426	0.04929577	
	2003	16	1	82	824	0.09951456	
	2003	16	2	62	739	0.08389716	
	2003	17	1	108	976	0.1106557	
	2003	17	2	116	1079	0.107507	
	2004	14	1	31	432	0.07175926	
	2004	14	2	12	216	0.05555556	
	2004	15	1	33	630	0.05238095	
	2004	15	2	21	441	0.04761905	
	2004	16	1	79	868	0.09101382	
	2004	16	2	62	793	0.07818411	
	2004	17	1	129	1069	0.1206735	
	2004	17	2	109	1233	0.08840227	
	2005	14	1	25	470	0.05319149	
	2005	14	2	12	273	0.04395604	
	2005	15	1	57	720	0.07916667	
	2005	15	2	24	479	0.05010438	
	2005	16	1	93	1029	0.09037901	
	2005	16	2	60	793	0.07566204	
	2005	17	1	137	1143	0.11986	
	2005	17	2	99	1289	0.07680372	
	2006	14	1	32	512	0.0625	
	2006	14	2	14	249	0.0562249	
	2006	15	1	53	757	0.07001321	
	2006	15	2	27	480	0.05625	
	2006	16	1	94	1125	0.08355556	
	2006	16	2	68	947	0.0718057	
	2006	17	1	143	1284	0.1113707	
	2006	17	2	102	1451	0.07029635	
	2007	14	1	39	594	0.06565657	
	2007	14	2	13	287	0.04529617	
	2007	15	1	72	817	0.08812729	
	2007	15	2	28	540	0.05185185	
	2007	16	1	109	1119	0.0974084	
	2007	16	2	52	956	0.05439331	
	2007	17	1	139	1314	0.1057839	
	2007	17	2	158	1572	0.1005089	
	2008	14	1	26	556	0.04676259	
	2008	14	2	15	250	0.06	
	2008	15	1	61	864	0.07060185	
	2008	15	2	35	575	0.06086957	
	2008	16	1	90	1141	0.07887818	
	2008	16	2	79	1086	0.07274401	
	2008	17	1	162	1397	0.1159628	
	2008	17	2	130	1600	0.08125	
	2009	14	1	28	640	0.04375	
	2009	14	2	9	283	0.03180212	
	2009	15	1	60	855	0.07017544	
	2009	15	2	33	600	0.055	
	2009	16	1	103	1216	0.08470395	
	2009	16	2	61	947	0.06441394	
	2009	17	1	135	1541	0.08760545	
	2009	17	2	129	1661	0.07766406	
	2010	14	1	40	680	0.05882353	
	2010	14	2	15	317	0.04731861	
	2010	15	1	55	965	0.05699482	
	2010	15	2	34	596	0.05704698	
	2010	16	1	134	1365	0.0981685	
	2010	16	2	76	1054	0.07210626	
	2010	17	1	140	1557	0.08991651	
	2010	17	2	145	1730	0.08381503	
	2011	14	1	31	678	0.04572271	
	2011	14	2	13	316	0.04113924	
	2011	15	1	51	883	0.05775764	
	2011	15	2	25	558	0.04480287	
	2011	16	1	93	1245	0.0746988	
	2011	16	2	74	1083	0.06832872	
	2011	17	1	178	1618	0.1100124	
	2011	17	2	145	1773	0.08178229	
	2012	14	1	31	691	0.04486252	
	2012	14	2	13	328	0.03963415	
	2012	15	1	52	915	0.0568306	
	2012	15	2	19	564	0.03368794	
	2012	16	1	111	1375	0.08072727	
	2012	16	2	58	1034	0.05609284	
	2012	17	1	163	1657	0.09837055	
	2012	17	2	147	1719	0.08551483	
	2013	14	1	40	703	0.056899	
	2013	14	2	19	381	0.04986877	
	2013	15	1	49	933	0.05251876	
	2013	15	2	21	573	0.03664921	
	2013	16	1	93	1392	0.06681034	
	2013	16	2	51	1082	0.04713494	
	2013	17	1	181	1708	0.1059719	
	2013	17	2	131	1823	0.07185957	

