
	A.2.4.M HD Herzinsuffizienz, Alter 65-84, Mortalität // DP insuffisance cardiaque, âge 65-84, mortalité // DP insufficienza cardiaca, età 65-84, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	DeathCH	CasesCH	pCH	
	1998	249	3098	8.037444	
	1999	333	3651	9.120789	
	2000	390	4126	9.452254	
	2001	478	4633	10.31729	
	2002	465	5038	9.229853	
	2003	478	5250	9.104762	
	2004	476	5682	8.377332	
	2005	507	6196	8.182699	
	2006	533	6805	7.832476	
	2007	610	7199	8.473399	
	2008	598	7469	8.006427	
	2009	558	7743	7.206509	
	2010	639	8264	7.732333	
	2011	610	8154	7.480991	
	2012	594	8283	7.171315	
	2013	585	8595	6.806283	

