
	A.2.5.M HD Herzinsuffizienz, Alter >84, Mortalität // DP insuffisance cardiaque, âge >84, mortalité // DP insufficienza cardiaca, età >84, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	18	1	58	359	0.1615599	
	1998	18	2	80	577	0.1386482	
	1998	19	1	21	129	0.1627907	
	1998	19	2	53	271	0.195572	
	1998	20	1	5	24	0.2083333	
	1998	20	2	13	53	0.245283	
	1999	18	1	64	438	0.1461187	
	1999	18	2	96	760	0.1263158	
	1999	19	1	29	171	0.1695906	
	1999	19	2	47	353	0.1331445	
	1999	20	1	1	17	0.05882353	
	1999	20	2	11	55	0.2	
	2000	18	1	82	467	0.1755889	
	2000	18	2	101	841	0.1200951	
	2000	19	1	34	171	0.1988304	
	2000	19	2	52	420	0.1238095	
	2000	20	1	11	21	0.5238095	
	2000	20	2	16	83	0.1927711	
	2001	18	1	71	510	0.1392157	
	2001	18	2	105	890	0.1179775	
	2001	19	1	50	236	0.2118644	
	2001	19	2	79	474	0.1666667	
	2001	20	1	7	46	0.1521739	
	2001	20	2	19	96	0.1979167	
	2002	18	1	84	600	0.14	
	2002	18	2	100	941	0.1062699	
	2002	19	1	62	278	0.2230216	
	2002	19	2	91	523	0.1739962	
	2002	20	1	11	43	0.255814	
	2002	20	2	22	118	0.1864407	
	2003	18	1	106	655	0.1618321	
	2003	18	2	117	1033	0.1132623	
	2003	19	1	45	297	0.1515152	
	2003	19	2	81	546	0.1483516	
	2003	20	1	13	40	0.325	
	2003	20	2	30	122	0.2459016	
	2004	18	1	107	693	0.1544012	
	2004	18	2	121	978	0.1237219	
	2004	19	1	48	316	0.1518987	
	2004	19	2	96	619	0.1550889	
	2004	20	1	10	50	0.2	
	2004	20	2	29	142	0.2042254	
	2005	18	1	120	800	0.15	
	2005	18	2	138	1231	0.112104	
	2005	19	1	72	341	0.2111437	
	2005	19	2	93	673	0.1381872	
	2005	20	1	14	67	0.2089552	
	2005	20	2	19	132	0.1439394	
	2006	18	1	140	963	0.145379	
	2006	18	2	158	1354	0.1166913	
	2006	19	1	65	377	0.1724138	
	2006	19	2	94	746	0.1260054	
	2006	20	1	16	78	0.2051282	
	2006	20	2	30	202	0.1485149	
	2007	18	1	143	1060	0.1349057	
	2007	18	2	163	1518	0.1073781	
	2007	19	1	81	457	0.1772429	
	2007	19	2	118	770	0.1532468	
	2007	20	1	14	73	0.1917808	
	2007	20	2	50	231	0.2164502	
	2008	18	1	137	1035	0.1323671	
	2008	18	2	173	1665	0.1039039	
	2008	19	1	91	469	0.1940299	
	2008	19	2	103	816	0.1262255	
	2008	20	1	24	92	0.2608696	
	2008	20	2	20	227	0.08810573	
	2009	18	1	143	1210	0.1181818	
	2009	18	2	191	1684	0.1134204	
	2009	19	1	65	453	0.1434879	
	2009	19	2	101	763	0.1323722	
	2009	20	1	27	104	0.2596154	
	2009	20	2	29	206	0.1407767	
	2010	18	1	174	1260	0.1380952	
	2010	18	2	190	1851	0.1026472	
	2010	19	1	93	535	0.1738318	
	2010	19	2	114	907	0.1256891	
	2010	20	1	19	116	0.1637931	
	2010	20	2	42	293	0.1433447	
	2011	18	1	184	1414	0.1301273	
	2011	18	2	199	1971	0.100964	
	2011	19	1	82	578	0.1418685	
	2011	19	2	124	1030	0.1203883	
	2011	20	1	24	119	0.2016807	
	2011	20	2	42	248	0.1693548	
	2012	18	1	188	1362	0.1380323	
	2012	18	2	190	1945	0.09768638	
	2012	19	1	108	696	0.1551724	
	2012	19	2	143	1138	0.1256591	
	2012	20	1	24	131	0.1832061	
	2012	20	2	53	308	0.1720779	
	2013	18	1	214	1610	0.1329193	
	2013	18	2	208	2204	0.09437387	
	2013	19	1	126	762	0.1653543	
	2013	19	2	160	1272	0.1257862	
	2013	20	1	30	146	0.2054795	
	2013	20	2	49	334	0.1467066	

