
	A.2.5.M HD Herzinsuffizienz, Alter >84, Mortalität // DP insuffisance cardiaque, âge >84, mortalité // DP insufficienza cardiaca, età >84, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	DeathCH	CasesCH	pCH	
	1998	230	1413	16.27742	
	1999	248	1794	13.82386	
	2000	296	2003	14.77783	
	2001	331	2252	14.69805	
	2002	370	2503	14.78226	
	2003	392	2693	14.55626	
	2004	411	2798	14.68906	
	2005	456	3244	14.05672	
	2006	503	3720	13.52151	
	2007	569	4109	13.84765	
	2008	548	4304	12.73234	
	2009	556	4420	12.57919	
	2010	632	4962	12.7368	
	2011	655	5360	12.22015	
	2012	706	5580	12.65233	
	2013	787	6328	12.43679	

