
	A.3.2.M Katheter der Koronargefässe bei HD Herzinfarkt ohne OP am Herzen (Alter >19), Mortalität // Cathétérisme des vaisseaux coronaires en cas de DP infarctus du myocarde sans OP du cœur (âge >19), mortalité // Catetere dei vasi coronarici in caso di DP infarto miocardico senza OP al cuore (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	6	1	0	1	0	
	1998	6	2	0	2	0	
	1998	7	1	0	6	0	
	1998	7	2	0	1	0	
	1998	8	1	0	5	0	
	1998	9	1	0	22	0	
	1998	9	2	0	7	0	
	1998	10	1	0	42	0	
	1998	10	2	0	3	0	
	1998	11	1	0	53	0	
	1998	11	2	1	9	0.1111111	
	1998	12	1	0	56	0	
	1998	12	2	1	7	0.1428571	
	1998	13	1	0	55	0	
	1998	13	2	0	13	0	
	1998	14	1	1	45	0.02222222	
	1998	14	2	0	18	0	
	1998	15	1	1	32	0.03125	
	1998	15	2	0	22	0	
	1998	16	1	0	16	0	
	1998	16	2	0	19	0	
	1998	17	1	1	10	0.1	
	1998	17	2	1	6	0.1666667	
	1998	18	1	0	1	0	
	1998	18	2	0	3	0	
	1999	6	1	0	1	0	
	1999	7	1	0	8	0	
	1999	7	2	0	3	0	
	1999	8	1	1	22	0.04545455	
	1999	8	2	0	1	0	
	1999	9	1	0	37	0	
	1999	9	2	0	8	0	
	1999	10	1	0	82	0	
	1999	10	2	0	17	0	
	1999	11	1	1	115	0.008695652	
	1999	11	2	0	12	0	
	1999	12	1	1	106	0.009433962	
	1999	12	2	0	14	0	
	1999	13	1	3	110	0.02727273	
	1999	13	2	1	27	0.03703704	
	1999	14	1	2	113	0.01769912	
	1999	14	2	1	23	0.04347826	
	1999	15	1	0	94	0	
	1999	15	2	2	33	0.06060606	
	1999	16	1	1	39	0.02564103	
	1999	16	2	0	40	0	
	1999	17	1	0	18	0	
	1999	17	2	0	11	0	
	1999	18	1	0	6	0	
	1999	18	2	0	2	0	
	2000	5	1	0	1	0	
	2000	6	1	0	4	0	
	2000	7	1	0	10	0	
	2000	7	2	0	1	0	
	2000	8	1	0	26	0	
	2000	8	2	0	5	0	
	2000	9	1	1	53	0.01886792	
	2000	9	2	0	13	0	
	2000	10	1	2	81	0.02469136	
	2000	10	2	0	12	0	
	2000	11	1	1	116	0.00862069	
	2000	11	2	0	25	0	
	2000	12	1	2	134	0.01492537	
	2000	12	2	0	20	0	
	2000	13	1	0	109	0	
	2000	13	2	3	29	0.1034483	
	2000	14	1	5	133	0.03759398	
	2000	14	2	3	34	0.08823529	
	2000	15	1	3	113	0.02654867	
	2000	15	2	4	57	0.07017544	
	2000	16	1	4	57	0.07017544	
	2000	16	2	6	45	0.1333333	
	2000	17	1	2	20	0.1	
	2000	17	2	0	19	0	
	2000	18	1	1	8	0.125	
	2000	18	2	3	9	0.3333333	
	2000	19	1	1	2	0.5	
	2000	19	2	0	1	0	
	2001	5	1	0	2	0	
	2001	6	1	0	3	0	
	2001	7	1	0	9	0	
	2001	7	2	0	2	0	
	2001	8	1	0	48	0	
	2001	8	2	0	10	0	
	2001	9	1	0	95	0	
	2001	9	2	0	18	0	
	2001	10	1	1	142	0.007042254	
	2001	10	2	0	21	0	
	2001	11	1	5	210	0.02380952	
	2001	11	2	0	36	0	
	2001	12	1	5	230	0.02173913	
	2001	12	2	1	38	0.02631579	
	2001	13	1	3	199	0.01507538	
	2001	13	2	0	48	0	
	2001	14	1	7	189	0.03703704	
	2001	14	2	5	71	0.07042254	
	2001	15	1	7	151	0.04635762	
	2001	15	2	2	87	0.02298851	
	2001	16	1	10	128	0.078125	
	2001	16	2	11	75	0.1466667	
	2001	17	1	5	55	0.09090909	
