
	A.3.4.M Diagnostische Katheter der Koronargefässe ohne HD Herzinfarkt ohne OP am Herzen (Alter >19), Mortalität // Cathétérisme diagnostique des vaisseaux coronaires sans DP infarctus du myocarde sans OP du cœur (âge >19), mortalité // Catetere diagnostico dei vasi coronarici senza DP infarto miocardico senza OP al cuore (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	6	1	0	2	0	
	1998	6	2	0	1	0	
	1998	7	1	0	8	0	
	1998	7	2	0	2	0	
	1998	8	1	0	16	0	
	1998	8	2	0	3	0	
	1998	9	1	0	41	0	
	1998	9	2	0	7	0	
	1998	10	1	0	71	0	
	1998	10	2	0	12	0	
	1998	11	1	0	137	0	
	1998	11	2	0	52	0	
	1998	12	1	0	192	0	
	1998	12	2	0	74	0	
	1998	13	1	0	193	0	
	1998	13	2	0	81	0	
	1998	14	1	0	180	0	
	1998	14	2	0	80	0	
	1998	15	1	0	164	0	
	1998	15	2	0	101	0	
	1998	16	1	2	111	0.01801802	
	1998	16	2	0	68	0	
	1998	17	1	0	21	0	
	1998	17	2	0	21	0	
	1998	18	1	0	6	0	
	1998	18	2	0	3	0	
	1999	5	1	0	6	0	
	1999	5	2	0	5	0	
	1999	6	1	0	8	0	
	1999	6	2	0	14	0	
	1999	7	1	0	19	0	
	1999	7	2	0	11	0	
	1999	8	1	0	49	0	
	1999	8	2	0	13	0	
	1999	9	1	0	83	0	
	1999	9	2	0	25	0	
	1999	10	1	0	169	0	
	1999	10	2	0	63	0	
	1999	11	1	2	281	0.007117438	
	1999	11	2	0	101	0	
	1999	12	1	0	385	0	
	1999	12	2	0	128	0	
	1999	13	1	4	391	0.01023018	
	1999	13	2	2	195	0.01025641	
	1999	14	1	3	455	0.006593407	
	1999	14	2	2	223	0.00896861	
	1999	15	1	5	384	0.01302083	
	1999	15	2	0	229	0	
	1999	16	1	2	251	0.007968127	
	1999	16	2	2	180	0.01111111	
	1999	17	1	0	67	0	
	1999	17	2	1	48	0.02083333	
	1999	18	1	2	33	0.06060606	
	1999	18	2	0	18	0	
	1999	19	1	0	2	0	
	1999	20	2	0	1	0	
	2000	5	1	0	6	0	
	2000	5	2	0	1	0	
	2000	6	1	0	9	0	
	2000	6	2	0	3	0	
	2000	7	1	0	19	0	
	2000	7	2	0	10	0	
	2000	8	1	0	52	0	
	2000	8	2	0	18	0	
	2000	9	1	0	115	0	
	2000	9	2	0	32	0	
	2000	10	1	0	199	0	
	2000	10	2	0	65	0	
	2000	11	1	0	335	0	
	2000	11	2	0	117	0	
	2000	12	1	1	458	0.002183406	
	2000	12	2	1	195	0.005128205	
	2000	13	1	2	508	0.003937008	
	2000	13	2	5	223	0.02242152	
	2000	14	1	1	534	0.001872659	
	2000	14	2	1	257	0.003891051	
	2000	15	1	8	472	0.01694915	
	2000	15	2	2	261	0.007662835	
	2000	16	1	2	300	0.006666667	
	2000	16	2	1	208	0.004807692	
	2000	17	1	3	86	0.03488372	
	2000	17	2	1	69	0.01449275	
	2000	18	1	1	21	0.04761905	
	2000	18	2	2	15	0.1333333	
	2000	19	1	0	4	0	
	2000	19	2	0	2	0	
	2001	5	1	0	8	0	
	2001	5	2	0	5	0	
	2001	6	1	0	12	0	
	2001	6	2	0	5	0	
	2001	7	1	0	37	0	
	2001	7	2	0	2	0	
	2001	8	1	0	58	0	
	2001	8	2	0	18	0	
	2001	9	1	1	142	0.007042254	
	2001	9	2	0	38	0	
	2001	10	1	3	214	0.01401869	
	2001	10	2	0	63	0	
	2001	11	1	0	373	0	
	2001	11	2	1	134	0.007462687	
	2001	12	1	1	577	0.001733102	
	2001	12	2	2	188	0.0106383	
	2001	13	1	5	591	0.008460237	
	2001	13	2	1	230	0.004347826	
	2001	14	1	1	604	0.001655629	
	2001	14	2	0	288	0	
	2001	15	1	10	540	0.01851852	
	2001	15	2	1	324	0.00308642	
	2001	16	1	5	395	0.01265823	
	2001	16	2	6	257	0.0233463	
	2001	17	1	4	113	0.03539823	
	2001	17	2	1	107	0.009345794	
	2001	18	1	2	29	0.06896552	
	2001	18	2	0	21	0	
	2001	19	1	0	1	0	
	2001	19	2	0	2	0	
	2001	20	2	0	1	0	
	2002	5	1	0	15	0	
	2002	5	2	0	4	0	
	2002	6	1	0	20	0	
	2002	6	2	0	7	0	
	2002	7	1	0	41	0	
	2002	7	2	0	9	0	
	2002	8	1	0	76	0	
	2002	8	2	0	34	0	
	2002	9	1	1	132	0.007575758	
	2002	9	2	0	57	0	
	2002	10	1	0	266	0	
	2002	10	2	0	89	0	
	2002	11	1	1	450	0.002222222	
	2002	11	2	2	128	0.015625	
	2002	12	1	2	608	0.003289474	
	2002	12	2	1	215	0.004651163	
	2002	13	1	2	639	0.00312989	
	2002	13	2	2	240	0.008333333	
	2002	14	1	4	672	0.005952381	
	2002	14	2	2	370	0.005405405	
	2002	15	1	8	581	0.01376936	
	2002	15	2	2	366	0.005464481	
	2002	16	1	4	400	0.01	
	2002	16	2	2	287	0.006968641	
	2002	17	1	2	180	0.01111111	
	2002	17	2	0	118	0	
	2002	18	1	1	22	0.04545455	
	2002	18	2	0	32	0	
	2002	19	1	0	4	0	
	2002	19	2	1	3	0.3333333	
	2003	5	1	0	18	0	
	2003	5	2	0	4	0	
	2003	6	1	0	19	0	
	2003	6	2	0	7	0	
	2003	7	1	0	40	0	
	2003	7	2	0	13	0	
	2003	8	1	0	89	0	
	2003	8	2	0	26	0	
	2003	9	1	0	171	0	
	2003	9	2	0	72	0	
	2003	10	1	1	288	0.003472222	
	2003	10	2	1	94	0.0106383	
	2003	11	1	0	479	0	
	2003	11	2	0	164	0	
	2003	12	1	0	670	0	
	2003	12	2	2	227	0.008810573	
	2003	13	1	4	646	0.00619195	
	2003	13	2	2	282	0.007092199	
	2003	14	1	3	692	0.00433526	
	2003	14	2	0	338	0	
	2003	15	1	5	656	0.007621951	
	2003	15	2	0	371	0	
	2003	16	1	8	433	0.01847575	
	2003	16	2	3	334	0.008982036	
	2003	17	1	4	189	0.02116402	
	2003	17	2	5	135	0.03703704	
	2003	18	1	0	39	0	
	2003	18	2	2	34	0.05882353	
	2003	19	1	0	3	0	
	2003	19	2	0	3	0	
	2004	5	1	1	9	0.1111111	
	2004	5	2	0	5	0	
	2004	6	1	0	19	0	
	2004	6	2	0	8	0	
	2004	7	1	0	29	0	
	2004	7	2	1	16	0.0625	
	2004	8	1	1	87	0.01149425	
	2004	8	2	0	26	0	
	2004	9	1	0	172	0	
	2004	9	2	3	63	0.04761905	
	2004	10	1	0	273	0	
	2004	10	2	1	94	0.0106383	
	2004	11	1	3	430	0.006976744	
	2004	11	2	0	159	0	
	2004	12	1	4	684	0.005847953	
	2004	12	2	0	214	0	
	2004	13	1	4	718	0.005571031	
	2004	13	2	0	322	0	
	2004	14	1	5	677	0.007385524	
	2004	14	2	2	365	0.005479452	
	2004	15	1	6	664	0.009036145	
	2004	15	2	3	388	0.007731959	
	2004	16	1	6	484	0.01239669	
	2004	16	2	5	321	0.01557632	
	2004	17	1	11	206	0.05339806	
	2004	17	2	6	183	0.03278689	
	2004	18	1	1	39	0.02564103	
	2004	18	2	1	30	0.03333333	
	2004	19	1	0	2	0	
	2005	5	1	0	17	0	
	2005	5	2	0	4	0	
	2005	6	1	1	20	0.05	
	2005	6	2	1	7	0.1428571	
	2005	7	1	0	37	0	
	2005	7	2	0	9	0	
	2005	8	1	2	75	0.02666667	
	2005	8	2	0	28	0	
	2005	9	1	2	178	0.01123596	
	2005	9	2	1	54	0.01851852	
	2005	10	1	3	279	0.01075269	
	2005	10	2	0	97	0	
	2005	11	1	1	448	0.002232143	
	2005	11	2	1	159	0.006289308	
	2005	12	1	3	639	0.004694836	
	2005	12	2	2	289	0.006920415	
	2005	13	1	3	780	0.003846154	
	2005	13	2	0	316	0	
	2005	14	1	3	741	0.004048583	
	2005	14	2	0	409	0	
	2005	15	1	5	749	0.006675567	
	2005	15	2	5	494	0.01012146	
	2005	16	1	7	521	0.0134357	
	2005	16	2	4	417	0.009592326	
	2005	17	1	9	247	0.03643725	
	2005	17	2	2	188	0.0106383	
	2005	18	1	0	51	0	
	2005	18	2	0	46	0	
	2005	19	1	0	5	0	
	2005	19	2	2	6	0.3333333	
	2005	20	2	0	1	0	
	2006	5	1	0	17	0	
	2006	5	2	0	6	0	
	2006	6	1	0	19	0	
	2006	6	2	0	10	0	
	2006	7	1	0	49	0	
	2006	7	2	0	18	0	
	2006	8	1	1	106	0.009433962	
	2006	8	2	1	22	0.04545455	
	2006	9	1	1	194	0.005154639	
	2006	9	2	0	55	0	
	2006	10	1	0	309	0	
	2006	10	2	0	111	0	
