
	A.3.5.M Therapeutische Katheter der Koronargefässe ohne HD Herzinfarkt ohne OP am Herzen (Alter >19), Mortalität // Cathétérisme thérapeutique des vaisseaux coronaires sans DP infarctus du myocarde sans OP du cœur (âge >19), mortalité // Catetere terapeutico dei vasi coronarici senza DP infarto miocardico senza OP al cuore (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	7	1	0	3	0	
	1998	7	2	0	1	0	
	1998	8	1	0	8	0	
	1998	8	2	0	6	0	
	1998	9	1	0	42	0	
	1998	9	2	0	3	0	
	1998	10	1	0	70	0	
	1998	10	2	0	12	0	
	1998	11	1	0	137	0	
	1998	11	2	0	15	0	
	1998	12	1	0	183	0	
	1998	12	2	0	40	0	
	1998	13	1	0	194	0	
	1998	13	2	0	37	0	
	1998	14	1	0	164	0	
	1998	14	2	1	64	0.015625	
	1998	15	1	0	134	0	
	1998	15	2	0	75	0	
	1998	16	1	0	96	0	
	1998	16	2	0	61	0	
	1998	17	1	0	34	0	
	1998	17	2	0	27	0	
	1998	18	1	0	6	0	
	1998	18	2	0	5	0	
	1998	19	1	0	1	0	
	1998	19	2	0	1	0	
	1999	5	1	0	4	0	
	1999	5	2	0	11	0	
	1999	6	1	0	7	0	
	1999	6	2	0	29	0	
	1999	7	1	0	7	0	
	1999	7	2	0	26	0	
	1999	8	1	0	30	0	
	1999	8	2	0	24	0	
	1999	9	1	0	85	0	
	1999	9	2	0	22	0	
	1999	10	1	0	176	0	
	1999	10	2	0	26	0	
	1999	11	1	0	288	0	
	1999	11	2	0	44	0	
	1999	12	1	1	344	0.002906977	
	1999	12	2	0	66	0	
	1999	13	1	1	353	0.002832861	
	1999	13	2	2	93	0.02150538	
	1999	14	1	2	380	0.005263158	
	1999	14	2	0	131	0	
	1999	15	1	1	271	0.003690037	
	1999	15	2	0	148	0	
	1999	16	1	4	181	0.02209945	
	1999	16	2	2	106	0.01886792	
	1999	17	1	0	62	0	
	1999	17	2	1	44	0.02272727	
	1999	18	1	0	18	0	
	1999	18	2	0	18	0	
	1999	19	1	0	4	0	
	1999	19	2	1	4	0.25	
	1999	20	2	0	1	0	
	2000	7	1	0	8	0	
	2000	8	1	0	36	0	
	2000	8	2	0	5	0	
	2000	9	1	0	97	0	
	2000	9	2	0	11	0	
	2000	10	1	0	191	0	
	2000	10	2	1	29	0.03448276	
	2000	11	1	0	303	0	
	2000	11	2	0	59	0	
	2000	12	1	1	380	0.002631579	
	2000	12	2	0	69	0	
	2000	13	1	2	426	0.004694836	
	2000	13	2	0	102	0	
	2000	14	1	2	427	0.004683841	
	2000	14	2	1	136	0.007352941	
	2000	15	1	3	362	0.008287293	
	2000	15	2	1	178	0.005617978	
	2000	16	1	5	256	0.01953125	
	2000	16	2	1	139	0.007194245	
	2000	17	1	3	84	0.03571429	
	2000	17	2	0	50	0	
	2000	18	1	1	22	0.04545455	
	2000	18	2	0	16	0	
	2000	19	1	1	2	0.5	
	2000	19	2	0	2	0	
	2000	20	1	0	1	0	
	2001	6	1	0	3	0	
	2001	7	1	0	9	0	
	2001	7	2	0	2	0	
	2001	8	1	0	48	0	
	2001	8	2	0	1	0	
	2001	9	1	0	106	0	
	2001	9	2	0	27	0	
	2001	10	1	0	255	0	
	2001	10	2	0	46	0	
	2001	11	1	1	402	0.002487562	
	2001	11	2	1	69	0.01449275	
	2001	12	1	1	606	0.001650165	
	2001	12	2	0	113	0	
	2001	13	1	1	583	0.001715266	
	2001	13	2	1	125	0.008	
	2001	14	1	7	591	0.01184433	
	2001	14	2	1	225	0.004444444	
	2001	15	1	12	510	0.02352941	
	2001	15	2	3	238	0.01260504	
	2001	16	1	3	360	0.008333333	
	2001	16	2	3	186	0.01612903	
	2001	17	1	2	125	0.016	
	2001	17	2	1	95	0.01052632	
	2001	18	1	2	46	0.04347826	
	2001	18	2	0	23	0	
	2001	19	1	0	4	0	
	2001	19	2	0	3	0	
	2002	6	1	0	3	0	
	2002	6	2	0	1	0	
	2002	7	1	0	9	0	
	2002	7	2	0	2	0	
	2002	8	1	0	63	0	
	2002	8	2	0	5	0	
	2002	9	1	0	151	0	
	2002	9	2	0	25	0	
	2002	10	1	2	343	0.005830904	
	2002	10	2	0	42	0	
	2002	11	1	2	504	0.003968254	
	2002	11	2	0	78	0	
	2002	12	1	2	730	0.002739726	
	2002	12	2	1	138	0.007246377	
	2002	13	1	5	696	0.007183908	
	2002	13	2	0	181	0	
	2002	14	1	5	820	0.006097561	
	2002	14	2	3	250	0.012	
	2002	15	1	5	624	0.008012821	
	2002	15	2	5	285	0.01754386	
	2002	16	1	3	478	0.006276151	
	2002	16	2	2	268	0.007462687	
	2002	17	1	3	196	0.01530612	
	2002	17	2	3	142	0.02112676	
	2002	18	1	0	45	0	
	2002	18	2	1	41	0.02439024	
	2002	19	1	1	6	0.1666667	
	2002	19	2	0	1	0	
	2002	20	1	0	1	0	
	2002	20	2	0	1	0	
	2003	6	1	1	5	0.2	
	2003	7	1	0	14	0	
	2003	7	2	0	3	0	
	2003	8	1	0	56	0	
	2003	8	2	0	5	0	
	2003	9	1	2	164	0.01219512	
	2003	9	2	0	22	0	
	2003	10	1	1	313	0.003194888	
	2003	10	2	0	46	0	
	2003	11	1	0	521	0	
	2003	11	2	0	82	0	
	2003	12	1	5	731	0.006839945	
	2003	12	2	1	151	0.006622517	
	2003	13	1	3	795	0.003773585	
	2003	13	2	0	197	0	
	2003	14	1	7	795	0.008805031	
	2003	14	2	3	220	0.01363636	
	2003	15	1	7	730	0.009589041	
	2003	15	2	2	298	0.006711409	
	2003	16	1	17	566	0.03003534	
	2003	16	2	3	304	0.009868421	
	2003	17	1	8	234	0.03418803	
	2003	17	2	4	145	0.02758621	
	2003	18	1	3	46	0.06521739	
	2003	18	2	0	32	0	
	2003	19	1	0	4	0	
	2003	19	2	0	3	0	
	2004	5	1	0	2	0	
	2004	5	2	0	2	0	
	2004	6	1	0	5	0	
	2004	7	1	0	13	0	
	2004	7	2	0	4	0	
	2004	8	1	0	55	0	
	2004	8	2	0	6	0	
	2004	9	1	1	154	0.006493506	
	2004	9	2	1	21	0.04761905	
	2004	10	1	1	343	0.002915452	
	2004	10	2	0	55	0	
	2004	11	1	3	554	0.005415162	
	2004	11	2	0	83	0	
	2004	12	1	3	853	0.003516999	
	2004	12	2	0	139	0	
	2004	13	1	7	911	0.007683864	
	2004	13	2	0	251	0	
	2004	14	1	4	850	0.004705882	
	2004	14	2	2	267	0.007490637	
	2004	15	1	14	863	0.01622248	
	2004	15	2	7	405	0.01728395	
	2004	16	1	8	612	0.0130719	
	2004	16	2	6	347	0.01729107	
	2004	17	1	8	290	0.02758621	
	2004	17	2	4	205	0.0195122	
	2004	18	1	2	57	0.03508772	
	2004	18	2	4	52	0.07692308	
	2004	19	1	1	6	0.1666667	
	2004	19	2	0	7	0	
	2004	20	1	0	5	0	
	2005	6	1	0	5	0	
	2005	6	2	0	1	0	
	2005	7	1	0	18	0	
	2005	7	2	0	5	0	
	2005	8	1	0	59	0	
	2005	8	2	0	4	0	
	2005	9	1	0	178	0	
	2005	9	2	0	30	0	
	2005	10	1	4	327	0.01223242	
	2005	10	2	1	56	0.01785714	
	2005	11	1	2	623	0.003210273	
	2005	11	2	1	92	0.01086957	
	2005	12	1	5	918	0.005446623	
	2005	12	2	1	172	0.005813953	
	2005	13	1	5	1060	0.004716981	
	2005	13	2	0	290	0	
	2005	14	1	6	1028	0.005836576	
