
	A.7.7.M Isolierter offener Aortenklappenersatz ohne weitere OP am Herzen, Mortalität // Remplacement isolé de valve aortique à cœur ouvert sans autre OP du cœur, mortalité // Sostituzione isolata della valvola aortica a cuore aperto senza altre OP al cuore, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	1	1	1	1	1	
	1998	2	2	0	1	0	
	1998	3	1	0	2	0	
	1998	4	1	0	2	0	
	1998	4	2	0	2	0	
	1998	5	1	0	2	0	
	1998	6	1	0	2	0	
	1998	7	1	0	5	0	
	1998	7	2	0	2	0	
	1998	8	1	0	9	0	
	1998	8	2	0	2	0	
	1998	9	1	0	6	0	
	1998	9	2	0	2	0	
	1998	10	1	0	20	0	
	1998	10	2	0	2	0	
	1998	11	1	0	21	0	
	1998	11	2	0	6	0	
	1998	12	1	0	29	0	
	1998	12	2	0	10	0	
	1998	13	1	1	36	0.02777778	
	1998	13	2	0	16	0	
	1998	14	1	0	42	0	
	1998	14	2	0	21	0	
	1998	15	1	0	36	0	
	1998	15	2	0	34	0	
	1998	16	1	1	23	0.04347826	
	1998	16	2	2	26	0.07692308	
	1998	17	1	0	5	0	
	1998	17	2	0	23	0	
	1998	18	1	0	3	0	
	1999	1	1	0	1	0	
	1999	3	1	0	1	0	
	1999	3	2	0	1	0	
	1999	4	1	0	4	0	
	1999	4	2	0	1	0	
	1999	5	1	0	2	0	
	1999	5	2	0	1	0	
	1999	6	1	0	4	0	
	1999	6	2	0	1	0	
	1999	7	1	0	8	0	
	1999	7	2	0	2	0	
	1999	8	1	0	13	0	
	1999	8	2	0	1	0	
	1999	9	1	2	15	0.1333333	
	1999	9	2	1	4	0.25	
	1999	10	1	0	16	0	
	1999	10	2	0	3	0	
	1999	11	1	1	18	0.05555556	
	1999	11	2	1	8	0.125	
	1999	12	1	0	25	0	
	1999	12	2	0	8	0	
	1999	13	1	0	32	0	
	1999	13	2	0	16	0	
	1999	14	1	2	34	0.05882353	
	1999	14	2	0	36	0	
	1999	15	1	1	43	0.02325581	
	1999	15	2	0	33	0	
	1999	16	1	0	33	0	
	1999	16	2	2	29	0.06896552	
	1999	17	1	0	15	0	
	1999	17	2	0	11	0	
	1999	18	1	0	1	0	
	1999	18	2	0	4	0	
	2000	3	1	0	2	0	
	2000	3	2	0	1	0	
	2000	4	1	0	2	0	
	2000	4	2	0	3	0	
	2000	5	1	0	3	0	
	2000	6	1	0	3	0	
	2000	6	2	0	1	0	
	2000	7	1	0	10	0	
	2000	7	2	0	3	0	
	2000	8	1	0	10	0	
	2000	8	2	0	4	0	
	2000	9	1	1	12	0.08333333	
	2000	9	2	0	2	0	
	2000	10	1	0	21	0	
	2000	10	2	0	6	0	
	2000	11	1	1	36	0.02777778	
	2000	11	2	0	6	0	
	2000	12	1	0	39	0	
	2000	12	2	0	17	0	
	2000	13	1	1	51	0.01960784	
	2000	13	2	0	23	0	
	2000	14	1	2	54	0.03703704	
	2000	14	2	1	30	0.03333333	
	2000	15	1	1	80	0.0125	
	2000	15	2	0	45	0	
	2000	16	1	1	49	0.02040816	
	2000	16	2	1	45	0.02222222	
	2000	17	1	0	19	0	
	2000	17	2	1	29	0.03448276	
	2000	18	1	1	5	0.2	
	2000	18	2	0	3	0	
	2000	19	1	0	2	0	
	2001	1	1	0	3	0	
	2001	2	1	0	1	0	
	2001	3	1	0	5	0	
	2001	4	1	0	1	0	
	2001	4	2	0	1	0	
	2001	5	1	0	2	0	
	2001	6	1	0	4	0	
	2001	7	1	0	15	0	
	2001	7	2	0	3	0	
	2001	8	1	0	16	0	
	2001	8	2	0	6	0	
	2001	9	1	0	17	0	
	2001	9	2	0	3	0	
	2001	10	1	2	31	0.06451613	
	2001	10	2	0	6	0	
	2001	11	1	1	34	0.02941176	
	2001	11	2	0	10	0	
	2001	12	1	1	57	0.01754386	
	2001	12	2	0	20	0	
	2001	13	1	0	48	0	
	2001	13	2	0	29	0	
	2001	14	1	2	60	0.03333333	
	2001	14	2	0	32	0	
	2001	15	1	5	91	0.05494505	
	2001	15	2	0	49	0	
	2001	16	1	3	54	0.05555556	
	2001	16	2	2	61	0.03278689	
	2001	17	1	0	20	0	
	2001	17	2	1	41	0.02439024	
	2001	18	1	0	4	0	
	2001	18	2	0	6	0	
	2002	1	2	1	2	0.5	
	2002	2	1	0	1	0	
	2002	2	2	0	1	0	
	2002	3	2	0	1	0	
	2002	4	1	0	5	0	
	2002	4	2	0	1	0	
	2002	5	1	0	5	0	
	2002	6	1	0	4	0	
	2002	6	2	0	1	0	
	2002	7	1	0	8	0	
	2002	7	2	0	2	0	
	2002	8	1	1	15	0.06666667	
	2002	8	2	0	2	0	
	2002	9	1	1	14	0.07142857	
	2002	9	2	0	7	0	
	2002	10	1	0	26	0	
	2002	10	2	0	6	0	
	2002	11	1	1	50	0.02	
	2002	11	2	1	13	0.07692308	
	2002	12	1	0	63	0	
	2002	12	2	1	16	0.0625	
	2002	13	1	1	68	0.01470588	
	2002	13	2	0	22	0	
	2002	14	1	2	70	0.02857143	
	2002	14	2	0	49	0	
	2002	15	1	4	68	0.05882353	
	2002	15	2	5	68	0.07352941	
	2002	16	1	3	64	0.046875	
	2002	16	2	2	60	0.03333333	
	2002	17	1	6	38	0.1578947	
	2002	17	2	2	50	0.04	
	2002	18	1	1	9	0.1111111	
	2002	18	2	2	18	0.1111111	
	2002	19	1	0	1	0	
	2002	19	2	0	1	0	
	2003	1	1	0	1	0	
	2003	2	1	0	1	0	
	2003	2	2	0	2	0	
	2003	3	2	0	1	0	
	2003	4	1	0	4	0	
	2003	4	2	0	1	0	
	2003	5	1	0	7	0	
	2003	6	1	0	8	0	
	2003	6	2	0	2	0	
	2003	7	1	0	12	0	
	2003	7	2	0	3	0	
	2003	8	1	0	22	0	
	2003	8	2	0	4	0	
	2003	9	1	1	21	0.04761905	
	2003	9	2	0	3	0	
	2003	10	1	0	19	0	
	2003	10	2	0	10	0	
	2003	11	1	2	35	0.05714286	
	2003	11	2	1	5	0.2	
	2003	12	1	2	56	0.03571429	
	2003	12	2	0	10	0	
