
	A.7.8.M Minimalinvasive Implantation einer Aortenklappe, Mortalität // Implantation mini­invasive de valve aortique, mortalité // Applicazione minimamente invasiva di valvola aortica, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2011	3	2	0	1	0	
	2011	7	2	0	1	0	
	2011	11	1	0	1	0	
	2011	12	2	0	1	0	
	2011	13	1	0	10	0	
	2011	13	2	0	2	0	
	2011	14	1	0	7	0	
	2011	14	2	0	5	0	
	2011	15	1	0	14	0	
	2011	15	2	1	10	0.1	
	2011	16	1	3	42	0.07142857	
	2011	16	2	2	25	0.08	
	2011	17	1	4	70	0.05714286	
	2011	17	2	9	96	0.09375	
	2011	18	1	2	64	0.03125	
	2011	18	2	4	76	0.05263158	
	2011	19	1	2	8	0.25	
	2011	19	2	1	19	0.05263158	
	2011	20	2	0	2	0	
	2012	10	1	1	1	1	
	2012	11	1	0	1	0	
	2012	11	2	0	1	0	
	2012	13	1	0	2	0	
	2012	13	2	0	1	0	
	2012	14	1	0	17	0	
	2012	14	2	0	5	0	
	2012	15	1	2	23	0.08695652	
	2012	15	2	2	11	0.1818182	
	2012	16	1	2	69	0.02898551	
	2012	16	2	2	49	0.04081633	
	2012	17	1	5	109	0.04587156	
	2012	17	2	2	117	0.01709402	
	2012	18	1	6	82	0.07317073	
	2012	18	2	7	102	0.06862745	
	2012	19	1	1	15	0.06666667	
	2012	19	2	1	15	0.06666667	
	2012	20	1	0	1	0	
	2012	20	2	0	2	0	
	2013	8	2	0	1	0	
	2013	10	1	0	1	0	
	2013	11	1	1	3	0.3333333	
	2013	12	1	0	1	0	
	2013	12	2	0	1	0	
	2013	13	1	0	2	0	
	2013	14	1	1	9	0.1111111	
	2013	14	2	0	11	0	
	2013	15	1	3	35	0.08571429	
	2013	15	2	0	13	0	
	2013	16	1	8	94	0.08510638	
	2013	16	2	2	57	0.03508772	
	2013	17	1	9	135	0.06666667	
	2013	17	2	4	138	0.02898551	
	2013	18	1	4	80	0.05	
	2013	18	2	7	123	0.05691057	
	2013	19	1	4	26	0.1538462	
	2013	19	2	0	31	0	
	2013	20	1	0	1	0	
	2013	20	2	0	2	0	

