
	A.7.9.M Minimalinvasive Implantation einer Aortenklappe endovaskulär, Mortalität // Implantation mini­invasive de valve aortique par voie endovasculaire, mortalité // Applicazione minimamente invasiva di valvola aortica endovascolare, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2011	7	2	0	1	0	
	2011	11	1	0	1	0	
	2011	12	2	0	1	0	
	2011	13	1	0	8	0	
	2011	13	2	0	2	0	
	2011	14	1	0	3	0	
	2011	14	2	0	3	0	
	2011	15	1	0	9	0	
	2011	15	2	0	4	0	
	2011	16	1	2	33	0.06060606	
	2011	16	2	2	21	0.0952381	
	2011	17	1	2	53	0.03773585	
	2011	17	2	8	81	0.09876543	
	2011	18	1	0	52	0	
	2011	18	2	3	66	0.04545455	
	2011	19	1	2	7	0.2857143	
	2011	19	2	0	16	0	
	2011	20	2	0	2	0	
	2012	10	1	1	1	1	
	2012	11	1	0	1	0	
	2012	11	2	0	1	0	
	2012	13	1	0	1	0	
	2012	13	2	0	1	0	
	2012	14	1	0	14	0	
	2012	14	2	0	5	0	
	2012	15	1	1	16	0.0625	
	2012	15	2	0	6	0	
	2012	16	1	1	57	0.01754386	
	2012	16	2	1	41	0.02439024	
	2012	17	1	3	91	0.03296703	
	2012	17	2	2	102	0.01960784	
	2012	18	1	5	68	0.07352941	
	2012	18	2	6	89	0.06741573	
	2012	19	1	1	15	0.06666667	
	2012	19	2	0	12	0	
	2012	20	1	0	1	0	
	2012	20	2	0	1	0	
	2013	8	2	0	1	0	
	2013	10	1	0	1	0	
	2013	11	1	1	3	0.3333333	
	2013	12	1	0	1	0	
	2013	12	2	0	1	0	
	2013	13	1	0	2	0	
	2013	14	1	1	8	0.125	
	2013	14	2	0	8	0	
	2013	15	1	3	29	0.1034483	
	2013	15	2	0	11	0	
	2013	16	1	4	74	0.05405405	
	2013	16	2	1	51	0.01960784	
	2013	17	1	6	118	0.05084746	
	2013	17	2	2	121	0.01652893	
	2013	18	1	2	67	0.02985075	
	2013	18	2	3	104	0.02884615	
	2013	19	1	4	25	0.16	
	2013	19	2	0	29	0	
	2013	20	1	0	1	0	
	2013	20	2	0	2	0	

