
	A.7.10.M Minimalinvasive Implantation einer Aortenklappe transapikal, Mortalität // Implantation mini­invasive de valve aortique par voie transapicale, mortalité // Applicazione minimamente invasiva di valvola aortica transapicale, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2011	3	2	0	1	0	
	2011	13	1	0	2	0	
	2011	14	1	0	4	0	
	2011	14	2	0	2	0	
	2011	15	1	0	6	0	
	2011	15	2	1	6	0.1666667	
	2011	16	1	1	9	0.1111111	
	2011	16	2	0	4	0	
	2011	17	1	2	18	0.1111111	
	2011	17	2	1	15	0.06666667	
	2011	18	1	2	12	0.1666667	
	2011	18	2	1	10	0.1	
	2011	19	1	0	1	0	
	2011	19	2	1	3	0.3333333	
	2012	13	1	0	1	0	
	2012	14	1	0	3	0	
	2012	15	1	1	7	0.1428571	
	2012	15	2	2	5	0.4	
	2012	16	1	1	12	0.08333333	
	2012	16	2	1	8	0.125	
	2012	17	1	2	18	0.1111111	
	2012	17	2	0	15	0	
	2012	18	1	1	14	0.07142857	
	2012	18	2	1	13	0.07692308	
	2012	19	2	1	3	0.3333333	
	2012	20	2	0	1	0	
	2013	14	1	0	1	0	
	2013	14	2	0	3	0	
	2013	15	1	0	6	0	
	2013	15	2	0	2	0	
	2013	16	1	4	20	0.2	
	2013	16	2	1	6	0.1666667	
	2013	17	1	3	17	0.1764706	
	2013	17	2	2	17	0.1176471	
	2013	18	1	2	13	0.1538462	
	2013	18	2	4	19	0.2105263	
	2013	19	1	0	1	0	
	2013	19	2	0	2	0	

