
	A.7.11.M OP nur an Koronargefässen bei HD Herzinfarkt (Alter >19), Mortalität // OP des vaisseaux coronaires uniquement, en cas de DP infarctus du myocarde (âge >19), mortalité // OP solo ai vasi coronarici in caso di DP infarto miocardico (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	9	1	0	2	0	
	1998	10	1	0	3	0	
	1998	11	1	0	7	0	
	1998	11	2	0	1	0	
	1998	12	1	0	5	0	
	1998	13	1	0	7	0	
	1998	13	2	0	1	0	
	1998	14	1	0	11	0	
	1998	15	1	0	8	0	
	1998	15	2	0	2	0	
	1998	16	1	0	1	0	
	1998	16	2	0	3	0	
	1998	17	1	1	3	0.3333333	
	1998	17	2	0	1	0	
	1998	18	1	0	1	0	
	1999	9	1	0	2	0	
	1999	10	1	0	7	0	
	1999	10	2	0	1	0	
	1999	11	1	0	9	0	
	1999	12	1	1	11	0.09090909	
	1999	12	2	0	1	0	
	1999	13	1	1	14	0.07142857	
	1999	13	2	0	1	0	
	1999	14	1	0	11	0	
	1999	14	2	0	2	0	
	1999	15	1	0	13	0	
	1999	15	2	0	6	0	
	1999	16	1	0	6	0	
	1999	16	2	0	3	0	
	2000	7	1	0	1	0	
	2000	8	1	0	1	0	
	2000	10	1	0	4	0	
	2000	11	1	0	12	0	
	2000	12	1	1	6	0.1666667	
	2000	12	2	0	1	0	
	2000	13	1	1	17	0.05882353	
	2000	13	2	0	1	0	
	2000	14	1	0	10	0	
	2000	14	2	0	3	0	
	2000	15	1	0	10	0	
	2000	15	2	0	5	0	
	2000	16	1	1	7	0.1428571	
	2000	16	2	1	2	0.5	
	2000	17	1	1	3	0.3333333	
	2000	18	2	1	1	1	
	2001	8	1	0	1	0	
	2001	9	1	0	2	0	
	2001	9	2	0	1	0	
	2001	10	1	0	5	0	
	2001	10	2	0	1	0	
	2001	11	1	1	9	0.1111111	
	2001	11	2	0	2	0	
	2001	12	1	1	21	0.04761905	
	2001	12	2	0	2	0	
	2001	13	1	1	16	0.0625	
	2001	13	2	1	3	0.3333333	
	2001	14	1	0	11	0	
	2001	14	2	0	7	0	
	2001	15	1	2	20	0.1	
	2001	15	2	0	7	0	
	2001	16	1	0	11	0	
	2001	16	2	0	3	0	
	2001	17	1	0	2	0	
	2001	17	2	0	2	0	
	2002	6	2	0	1	0	
	2002	9	1	1	7	0.1428571	
	2002	10	1	1	12	0.08333333	
	2002	10	2	0	1	0	
	2002	11	1	0	10	0	
	2002	11	2	0	4	0	
	2002	12	1	0	28	0	
	2002	13	1	1	23	0.04347826	
	2002	13	2	0	6	0	
