
	A.7.12.M OP nur an Koronargefässen ohne HD Herzinfarkt (Alter >19), Mortalität // OP des vaisseaux coronaires uniquement, sans DP infarctus du myocarde (âge >19), mortalité // OP solo ai vasi coronarici senza DP infarto miocardico (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	5	1	0	1	0	
	1998	6	2	0	1	0	
	1998	7	1	0	4	0	
	1998	7	2	0	1	0	
	1998	8	1	0	11	0	
	1998	8	2	0	2	0	
	1998	9	1	0	34	0	
	1998	9	2	0	5	0	
	1998	10	1	0	89	0	
	1998	10	2	0	8	0	
	1998	11	1	1	178	0.005617978	
	1998	11	2	0	23	0	
	1998	12	1	2	240	0.008333333	
	1998	12	2	1	40	0.025	
	1998	13	1	6	327	0.01834862	
	1998	13	2	0	63	0	
	1998	14	1	4	335	0.0119403	
	1998	14	2	1	83	0.01204819	
	1998	15	1	3	263	0.01140684	
	1998	15	2	3	120	0.025	
	1998	16	1	7	164	0.04268293	
	1998	16	2	5	58	0.0862069	
	1998	17	1	0	29	0	
	1998	17	2	1	16	0.0625	
	1998	18	1	0	1	0	
	1999	6	1	0	1	0	
	1999	6	2	0	2	0	
	1999	7	1	0	5	0	
	1999	7	2	0	1	0	
	1999	8	1	0	15	0	
	1999	8	2	0	2	0	
	1999	9	1	1	48	0.02083333	
	1999	9	2	0	2	0	
	1999	10	1	0	112	0	
	1999	10	2	1	14	0.07142857	
	1999	11	1	1	242	0.004132231	
	1999	11	2	0	33	0	
	1999	12	1	2	305	0.006557377	
	1999	12	2	0	36	0	
	1999	13	1	2	331	0.006042296	
	1999	13	2	2	75	0.02666667	
	1999	14	1	6	452	0.01327434	
	1999	14	2	3	128	0.0234375	
	1999	15	1	11	353	0.03116147	
	1999	15	2	3	136	0.02205882	
	1999	16	1	7	193	0.03626943	
	1999	16	2	5	81	0.0617284	
	1999	17	1	2	32	0.0625	
	1999	17	2	0	17	0	
	1999	18	1	0	9	0	
	1999	18	2	0	4	0	
	2000	5	1	0	2	0	
	2000	6	2	0	1	0	
	2000	7	1	0	4	0	
	2000	7	2	1	1	1	
	2000	8	1	0	14	0	
	2000	8	2	0	1	0	
	2000	9	1	0	41	0	
	2000	9	2	0	6	0	
	2000	10	1	0	89	0	
	2000	10	2	0	17	0	
	2000	11	1	2	204	0.009803922	
	2000	11	2	1	18	0.05555556	
	2000	12	1	1	301	0.003322259	
	2000	12	2	0	45	0	
	2000	13	1	6	365	0.01643836	
	2000	13	2	1	56	0.01785714	
	2000	14	1	7	399	0.01754386	
	2000	14	2	4	95	0.04210526	
	2000	15	1	13	341	0.03812317	
	2000	15	2	3	129	0.02325581	
	2000	16	1	9	202	0.04455446	
	2000	16	2	7	81	0.08641975	
	2000	17	1	1	40	0.025	
	2000	17	2	0	16	0	
	2000	18	1	2	7	0.2857143	
	2000	18	2	0	1	0	
	2001	5	2	0	1	0	
	2001	6	1	1	1	1	
	2001	6	2	0	1	0	
	2001	7	1	0	6	0	
	2001	7	2	0	1	0	
	2001	8	1	0	15	0	
	2001	8	2	0	2	0	
	2001	9	1	0	42	0	
	2001	9	2	0	13	0	
	2001	10	1	1	125	0.008	
	2001	10	2	0	10	0	
