
	A.7.16.M OP nur an Koronargefässen ohne HD Herzinfarkt, Alter 70-79, Mortalität // OP des vaisseaux coronaires uniquement, sans DP infarctus du myocarde, âge 70-79, mortalité // OP solo ai vasi coronarici senza DP infarto miocardico, età 70-79, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	15	1	3	263	0.01140684	
	1998	15	2	3	120	0.025	
	1998	16	1	7	164	0.04268293	
	1998	16	2	5	58	0.0862069	
	1999	15	1	11	353	0.03116147	
	1999	15	2	3	136	0.02205882	
	1999	16	1	7	193	0.03626943	
	1999	16	2	5	81	0.0617284	
	2000	15	1	13	341	0.03812317	
	2000	15	2	3	129	0.02325581	
	2000	16	1	9	202	0.04455446	
	2000	16	2	7	81	0.08641975	
	2001	15	1	12	414	0.02898551	
	2001	15	2	5	142	0.03521127	
	2001	16	1	9	281	0.03202847	
	2001	16	2	7	127	0.05511811	
	2002	15	1	7	449	0.0155902	
	2002	15	2	4	158	0.02531646	
	2002	16	1	17	272	0.0625	
	2002	16	2	5	131	0.03816794	
	2003	15	1	5	404	0.01237624	
	2003	15	2	3	134	0.02238806	
	2003	16	1	7	266	0.02631579	
	2003	16	2	6	101	0.05940594	
	2004	15	1	11	344	0.03197674	
	2004	15	2	1	120	0.008333333	
	2004	16	1	2	233	0.008583691	
	2004	16	2	6	114	0.05263158	
	2005	15	1	8	343	0.02332362	
	2005	15	2	6	117	0.05128205	
	2005	16	1	8	257	0.0311284	
	2005	16	2	4	108	0.03703704	
	2006	15	1	9	334	0.02694611	
	2006	15	2	3	79	0.03797468	
	2006	16	1	6	195	0.03076923	
	2006	16	2	3	97	0.03092784	
	2007	15	1	5	339	0.01474926	
	2007	15	2	0	84	0	
	2007	16	1	11	221	0.04977376	
	2007	16	2	5	88	0.05681818	
	2008	15	1	7	303	0.02310231	
	2008	15	2	2	78	0.02564103	
	2008	16	1	3	218	0.01376147	
	2008	16	2	3	89	0.03370787	
	2009	15	1	9	305	0.0295082	
	2009	15	2	1	83	0.01204819	
	2009	16	1	6	207	0.02898551	
	2009	16	2	3	83	0.03614458	
	2010	15	1	1	247	0.004048583	
	2010	15	2	0	86	0	
	2010	16	1	3	211	0.01421801	
	2010	16	2	1	86	0.01162791	
	2011	15	1	6	261	0.02298851	
	2011	15	2	2	74	0.02702703	
	2011	16	1	5	232	0.02155172	
	2011	16	2	2	79	0.02531646	
	2012	15	1	5	293	0.01706485	
	2012	15	2	1	72	0.01388889	
	2012	16	1	1	231	0.004329004	
	2012	16	2	2	77	0.02597403	
	2013	15	1	2	288	0.006944444	
	2013	15	2	4	62	0.06451613	
	2013	16	1	4	213	0.01877934	
	2013	16	2	1	60	0.01666667	

