
	A.7.17.M OP nur an Koronargefässen ohne HD Herzinfarkt, Alter >79, Mortalität // OP des vaisseaux coronaires uniquement, sans DP infarctus du myocarde, âge >79, mortalité // OP solo ai vasi coronarici senza DP infarto miocardico, età >79, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	17	1	0	29	0	
	1998	17	2	1	16	0.0625	
	1998	18	1	0	1	0	
	1999	17	1	2	32	0.0625	
	1999	17	2	0	17	0	
	1999	18	1	0	9	0	
	1999	18	2	0	4	0	
	2000	17	1	1	40	0.025	
	2000	17	2	0	16	0	
	2000	18	1	2	7	0.2857143	
	2000	18	2	0	1	0	
	2001	17	1	2	54	0.03703704	
	2001	17	2	4	26	0.1538462	
	2001	18	1	0	4	0	
	2001	18	2	0	5	0	
	2001	19	1	0	3	0	
	2002	17	1	2	73	0.02739726	
	2002	17	2	5	38	0.1315789	
	2002	18	1	0	3	0	
	2002	18	2	0	5	0	
	2002	20	1	0	2	0	
	2002	20	2	0	1	0	
	2003	17	1	8	73	0.109589	
	2003	17	2	0	21	0	
	2003	18	1	0	6	0	
	2003	18	2	1	5	0.2	
	2003	19	1	0	1	0	
	2004	17	1	5	70	0.07142857	
	2004	17	2	1	30	0.03333333	
	2004	18	1	1	7	0.1428571	
	2004	18	2	0	1	0	
	2004	19	1	0	1	0	
	2005	17	1	3	74	0.04054054	
	2005	17	2	1	27	0.03703704	
	2005	18	1	0	2	0	
	2006	17	1	5	78	0.06410256	
	2006	17	2	5	30	0.1666667	
	2006	18	1	0	4	0	
	2006	18	2	1	3	0.3333333	
	2006	19	2	0	1	0	
	2007	17	1	4	76	0.05263158	
	2007	17	2	4	47	0.08510638	
	2007	18	1	0	6	0	
	2007	18	2	0	3	0	
	2008	17	1	1	63	0.01587302	
	2008	17	2	4	45	0.08888889	
	2008	18	1	0	7	0	
	2008	18	2	0	2	0	
	2008	19	1	0	1	0	
	2009	17	1	3	81	0.03703704	
	2009	17	2	1	36	0.02777778	
	2009	18	1	0	16	0	
	2009	18	2	1	6	0.1666667	
	2010	17	1	5	77	0.06493506	
	2010	17	2	3	41	0.07317073	
	2010	18	1	2	20	0.1	
	2010	18	2	1	3	0.3333333	
	2011	17	1	2	92	0.02173913	
	2011	17	2	1	23	0.04347826	
	2011	18	1	0	16	0	
	2011	18	2	0	3	0	
	2012	17	1	2	76	0.02631579	
	2012	17	2	3	36	0.08333333	
	2012	18	1	2	10	0.2	
	2012	18	2	0	4	0	
	2012	19	1	0	1	0	
	2012	19	2	0	1	0	
	2013	17	1	1	90	0.01111111	
	2013	17	2	1	30	0.03333333	
	2013	18	1	0	5	0	
	2013	18	2	0	5	0	
	2013	19	1	0	1	0	
	2013	19	2	0	1	0	

