
	A.7.19.M Isolierter offener Aortenklappenersatz ohne weitere OP am Herzen mit HD Endokarditis, Mortalität // Remplacement isolé de valve aortique à cœur ouvert sans autre OP du cœur avec DP endocardite, mortalité // Sostituzione isolata della valvola aortica a cuore aperto senza altre OP al cuore con DP endocardite, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	5	1	0	1	0	
	1998	8	1	0	3	0	
	1998	10	1	0	2	0	
	1998	12	1	0	1	0	
	1998	13	1	1	2	0.5	
	1999	4	1	0	1	0	
	1999	9	1	0	1	0	
	1999	13	1	0	1	0	
	1999	13	2	0	1	0	
	1999	14	1	1	2	0.5	
	1999	14	2	0	1	0	
	1999	15	1	0	3	0	
	1999	17	1	0	1	0	
	2000	6	1	0	1	0	
	2000	11	1	1	3	0.3333333	
	2000	11	2	0	1	0	
	2000	12	1	0	1	0	
	2000	13	1	0	1	0	
	2001	7	2	0	1	0	
	2001	8	1	0	1	0	
	2001	11	1	0	1	0	
	2001	12	1	0	3	0	
	2001	15	1	0	1	0	
	2001	15	2	0	1	0	
	2001	16	2	0	1	0	
	2002	9	1	0	1	0	
	2002	9	2	0	1	0	
	2002	10	1	0	2	0	
	2002	12	1	0	1	0	
	2002	13	1	0	1	0	
	2002	15	1	0	2	0	
	2002	16	1	0	2	0	
	2003	5	1	0	1	0	
	2003	6	1	0	1	0	
	2003	8	1	0	4	0	
	2003	8	2	0	1	0	
	2003	9	1	0	2	0	
	2003	10	2	0	1	0	
	2003	11	1	0	1	0	
	2003	11	2	1	1	1	
	2003	12	1	1	2	0.5	
	2003	14	1	0	1	0	
	2003	15	1	0	1	0	
	2003	15	2	0	1	0	
	2003	16	1	0	1	0	
	2003	17	1	0	1	0	
	2004	8	1	0	2	0	
	2004	9	1	0	2	0	
	2004	10	1	0	3	0	
	2004	11	1	0	2	0	
	2004	12	2	0	1	0	
	2004	13	1	0	1	0	
	2004	13	2	0	1	0	
	2004	14	1	0	3	0	
	2004	14	2	0	1	0	
	2004	15	1	0	3	0	
	2004	17	1	1	2	0.5	
	2005	5	1	0	1	0	
	2005	7	1	0	1	0	
	2005	8	1	0	5	0	
	2005	9	1	0	2	0	
	2005	10	1	0	2	0	
	2005	11	1	0	1	0	
	2005	11	2	0	1	0	
	2005	13	1	0	2	0	
	2005	14	1	0	1	0	
	2005	14	2	0	1	0	
	2005	15	1	0	4	0	
	2005	16	1	0	1	0	
	2005	17	1	0	1	0	
	2006	6	2	0	1	0	
	2006	7	1	0	1	0	
	2006	7	2	0	1	0	
	2006	9	1	0	1	0	
	2006	9	2	0	1	0	
	2006	12	1	0	3	0	
	2006	13	1	0	2	0	
	2006	14	2	0	1	0	
	2006	15	2	0	1	0	
	2006	16	1	0	1	0	
	2007	6	2	0	1	0	
	2007	10	1	0	1	0	
	2007	11	1	0	3	0	
	2007	12	1	1	3	0.3333333	
	2007	12	2	0	1	0	
	2007	13	1	0	2	0	
	2007	13	2	0	1	0	
	2007	14	1	0	1	0	
	2007	15	1	0	1	0	
	2007	15	2	0	1	0	
	2007	16	1	0	1	0	
	2007	16	2	0	1	0	
	2007	17	1	0	1	0	
	2008	6	1	0	2	0	
	2008	6	2	0	1	0	
	2008	8	1	0	1	0	
	2008	10	1	0	1	0	
	2008	11	1	0	1	0	
	2008	11	2	0	1	0	
	2008	12	1	0	1	0	
	2008	13	1	0	1	0	
	2008	13	2	0	1	0	
	2008	14	1	0	1	0	
	2008	16	1	0	1	0	
	2009	6	1	0	4	0	
	2009	7	1	0	1	0	
	2009	7	2	0	1	0	
	2009	9	1	0	2	0	
	2009	9	2	0	1	0	
	2009	11	1	0	2	0	
	2009	11	2	0	1	0	
	2009	12	1	0	1	0	
	2009	13	1	0	2	0	
	2009	14	1	0	2	0	
	2009	15	1	1	3	0.3333333	
	2010	7	1	0	1	0	
	2010	9	1	0	3	0	
	2010	10	1	0	2	0	
	2010	11	1	0	3	0	
	2010	12	1	0	2	0	
	2010	13	1	0	2	0	
	2010	14	1	0	2	0	
	2010	14	2	0	2	0	
	2010	15	1	0	2	0	
	2010	15	2	0	2	0	
	2010	16	1	1	2	0.5	
	2011	2	2	0	1	0	
	2011	7	1	0	2	0	
	2011	8	1	0	1	0	
	2011	9	1	0	2	0	
	2011	10	1	0	2	0	
	2011	11	1	0	2	0	
	2011	12	1	0	2	0	
	2011	13	1	1	2	0.5	
	2011	13	2	0	2	0	
	2011	14	1	0	2	0	
	2011	15	1	0	4	0	
	2011	16	1	0	2	0	
	2012	5	1	0	2	0	
	2012	6	1	0	1	0	
	2012	8	1	0	1	0	
	2012	10	1	0	2	0	
	2012	11	1	0	1	0	
	2012	12	1	0	2	0	
	2012	13	1	0	1	0	
	2012	14	1	0	1	0	
	2012	15	2	0	1	0	
	2012	16	1	0	1	0	
	2013	10	1	0	1	0	
	2013	11	1	0	2	0	
	2013	12	1	0	1	0	
	2013	13	1	0	7	0	
	2013	14	1	1	3	0.3333333	
	2013	15	1	1	5	0.2	
	2013	16	1	0	3	0	
	2013	16	2	0	1	0	

