
	B.1.1.M HD Schlaganfall alle Formen (Alter >19), Mortalität // DP d’accident vasculaire cérébral, toutes les formes (âge >19), mortalité // DP colpo apoplettico, tutte le forme (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	5	1	0	13	0	
	1998	5	2	1	13	0.07692308	
	1998	6	1	1	23	0.04347826	
	1998	6	2	1	31	0.03225806	
	1998	7	1	2	32	0.0625	
	1998	7	2	0	34	0	
	1998	8	1	0	48	0	
	1998	8	2	1	37	0.02702703	
	1998	9	1	6	71	0.08450704	
	1998	9	2	6	82	0.07317073	
	1998	10	1	2	111	0.01801802	
	1998	10	2	5	73	0.06849315	
	1998	11	1	7	198	0.03535354	
	1998	11	2	8	143	0.05594406	
	1998	12	1	19	277	0.06859206	
	1998	12	2	9	145	0.06206897	
	1998	13	1	27	290	0.09310345	
	1998	13	2	24	222	0.1081081	
	1998	14	1	35	390	0.08974359	
	1998	14	2	29	270	0.1074074	
	1998	15	1	55	514	0.1070039	
	1998	15	2	49	394	0.1243655	
	1998	16	1	79	538	0.1468401	
	1998	16	2	89	544	0.1636029	
	1998	17	1	90	444	0.2027027	
	1998	17	2	103	564	0.1826241	
	1998	18	1	79	310	0.2548387	
	1998	18	2	105	518	0.2027027	
	1998	19	1	27	83	0.3253012	
	1998	19	2	59	183	0.3224044	
	1998	20	1	8	22	0.3636364	
	1998	20	2	9	31	0.2903226	
	1999	5	1	0	19	0	
	1999	5	2	0	10	0	
	1999	6	1	2	22	0.09090909	
	1999	6	2	0	24	0	
	1999	7	1	2	37	0.05405405	
	1999	7	2	2	42	0.04761905	
	1999	8	1	2	65	0.03076923	
	1999	8	2	2	51	0.03921569	
	1999	9	1	6	89	0.06741573	
	1999	9	2	4	66	0.06060606	
	1999	10	1	3	123	0.02439024	
	1999	10	2	5	92	0.05434783	
	1999	11	1	13	240	0.05416667	
	1999	11	2	15	166	0.09036145	
	1999	12	1	17	297	0.05723906	
	1999	12	2	15	149	0.1006711	
	1999	13	1	29	360	0.08055556	
	1999	13	2	17	220	0.07727273	
	1999	14	1	53	510	0.1039216	
	1999	14	2	34	317	0.1072555	
	1999	15	1	74	642	0.1152648	
	1999	15	2	48	488	0.09836066	
	1999	16	1	97	739	0.1312585	
	1999	16	2	117	709	0.1650212	
	1999	17	1	91	531	0.1713748	
	1999	17	2	137	738	0.1856369	
	1999	18	1	89	367	0.2425068	
	1999	18	2	131	640	0.2046875	
	1999	19	1	26	96	0.2708333	
	1999	19	2	60	249	0.2409639	
	1999	20	1	5	12	0.4166667	
	1999	20	2	16	48	0.3333333	
	2000	5	1	1	19	0.05263158	
	2000	5	2	2	19	0.1052632	
	2000	6	1	0	19	0	
	2000	6	2	0	24	0	
	2000	7	1	2	43	0.04651163	
	2000	7	2	2	42	0.04761905	
	2000	8	1	7	65	0.1076923	
	2000	8	2	4	70	0.05714286	
	2000	9	1	6	75	0.08	
	2000	9	2	5	80	0.0625	
	2000	10	1	6	154	0.03896104	
	2000	10	2	8	88	0.09090909	
	2000	11	1	21	231	0.09090909	
	2000	11	2	13	160	0.08125	
	2000	12	1	19	297	0.06397306	
	2000	12	2	18	193	0.09326425	
	2000	13	1	30	413	0.07263923	
	2000	13	2	19	221	0.08597285	
	2000	14	1	53	506	0.1047431	
	2000	14	2	34	375	0.09066667	
	2000	15	1	86	654	0.1314985	
	2000	15	2	77	507	0.1518738	
	2000	16	1	117	783	0.1494253	
	2000	16	2	127	785	0.1617834	
	2000	17	1	103	599	0.1719533	
	2000	17	2	162	805	0.2012422	
	2000	18	1	93	422	0.2203791	
	2000	18	2	148	633	0.2338073	
	2000	19	1	43	124	0.3467742	
	2000	19	2	64	288	0.2222222	
	2000	20	1	6	19	0.3157895	
	2000	20	2	12	47	0.2553191	
	2001	5	1	0	10	0	
	2001	5	2	0	13	0	
	2001	6	1	0	24	0	
	2001	6	2	1	25	0.04	
	2001	7	1	3	33	0.09090909	
	2001	7	2	3	46	0.06521739	
	2001	8	1	4	74	0.05405405	
	2001	8	2	2	60	0.03333333	
	2001	9	1	10	89	0.1123596	
	2001	9	2	6	81	0.07407407	
	2001	10	1	11	155	0.07096774	
	2001	10	2	8	133	0.06015038	
	2001	11	1	13	250	0.052	
	2001	11	2	14	179	0.07821229	
	2001	12	1	17	332	0.05120482	
	2001	12	2	20	207	0.09661836	
	2001	13	1	31	426	0.07276995	
	2001	13	2	20	257	0.07782101	
	2001	14	1	56	559	0.1001789	
	2001	14	2	32	377	0.08488064	
	2001	15	1	78	698	0.1117479	
	2001	15	2	69	541	0.1275416	
	2001	16	1	125	776	0.1610825	
	2001	16	2	118	847	0.1393152	
	2001	17	1	146	718	0.2033426	
	2001	17	2	168	876	0.1917808	
	2001	18	1	106	463	0.2289417	
	2001	18	2	164	771	0.2127108	
	2001	19	1	36	129	0.2790698	
	2001	19	2	87	337	0.2581602	
	2001	20	1	7	21	0.3333333	
	2001	20	2	21	58	0.362069	
	2002	5	1	1	18	0.05555556	
	2002	5	2	2	14	0.1428571	
	2002	6	1	0	15	0	
	2002	6	2	3	25	0.12	
	2002	7	1	3	49	0.06122449	
	2002	7	2	1	37	0.02702703	
	2002	8	1	7	81	0.08641975	
	2002	8	2	1	67	0.01492537	
	2002	9	1	13	141	0.09219858	
	2002	9	2	7	87	0.08045977	
	2002	10	1	9	157	0.05732484	
	2002	10	2	7	132	0.0530303	
	2002	11	1	17	270	0.06296296	
	2002	11	2	18	215	0.08372093	
	2002	12	1	26	411	0.06326034	
	2002	12	2	18	218	0.08256881	
	2002	13	1	24	432	0.05555556	
	2002	13	2	25	271	0.09225092	
	2002	14	1	47	575	0.08173913	
	2002	14	2	28	359	0.07799443	
	2002	15	1	92	747	0.1231593	
	2002	15	2	71	555	0.1279279	
	2002	16	1	109	774	0.1408269	
	2002	16	2	111	814	0.1363636	
	2002	17	1	143	728	0.1964286	
	2002	17	2	154	937	0.1643543	
	2002	18	1	103	420	0.2452381	
	2002	18	2	142	726	0.1955923	
	2002	19	1	43	146	0.2945205	
	2002	19	2	78	335	0.2328358	
	2002	20	1	11	30	0.3666667	
	2002	20	2	14	54	0.2592593	
	2003	5	1	2	14	0.1428571	
	2003	5	2	0	26	0	
	2003	6	1	0	21	0	
	2003	6	2	4	20	0.2	
	2003	7	1	0	30	0	
	2003	7	2	1	43	0.02325581	
	2003	8	1	4	80	0.05	
	2003	8	2	4	66	0.06060606	
	2003	9	1	5	102	0.04901961	
	2003	9	2	4	104	0.03846154	
	2003	10	1	11	165	0.06666667	
	2003	10	2	9	136	0.06617647	
	2003	11	1	23	269	0.08550186	
	2003	11	2	12	178	0.06741573	
	2003	12	1	21	373	0.05630027	
	2003	12	2	18	233	0.07725322	
	2003	13	1	29	468	0.06196581	
	2003	13	2	26	260	0.1	
	2003	14	1	42	566	0.07420495	
	2003	14	2	27	357	0.07563025	
	2003	15	1	80	791	0.1011378	
	2003	15	2	72	567	0.1269841	
	2003	16	1	113	816	0.1384804	
	2003	16	2	116	861	0.1347271	
	2003	17	1	154	801	0.1922597	
	2003	17	2	174	1006	0.1729622	
	2003	18	1	97	414	0.2342995	
	2003	18	2	158	751	0.2103862	
	2003	19	1	61	170	0.3588235	
	2003	19	2	93	337	0.2759644	
	2003	20	1	7	24	0.2916667	
	2003	20	2	23	57	0.4035088	
	2004	5	1	0	8	0	
	2004	5	2	1	23	0.04347826	
	2004	6	1	2	17	0.1176471	
	2004	6	2	1	20	0.05	
	2004	7	1	1	36	0.02777778	
	2004	7	2	3	48	0.0625	
	2004	8	1	6	66	0.09090909	
	2004	8	2	4	54	0.07407407	
	2004	9	1	8	117	0.06837607	
	2004	9	2	3	112	0.02678571	
	2004	10	1	10	200	0.05	
	2004	10	2	12	144	0.08333333	
	2004	11	1	11	263	0.0418251	
	2004	11	2	19	176	0.1079545	
	2004	12	1	27	429	0.06293706	
	2004	12	2	22	198	0.1111111	
	2004	13	1	44	466	0.0944206	
	2004	13	2	23	251	0.09163347	
	2004	14	1	50	595	0.08403361	
	2004	14	2	36	369	0.09756098	
	2004	15	1	92	734	0.1253406	
	2004	15	2	71	562	0.1263345	
	2004	16	1	106	782	0.1355499	
	2004	16	2	113	883	0.1279728	
	2004	17	1	137	801	0.1710362	
	2004	17	2	165	946	0.1744186	
	2004	18	1	103	421	0.2446556	
	2004	18	2	136	644	0.2111801	
	2004	19	1	42	178	0.2359551	
	2004	19	2	84	324	0.2592593	
	2004	20	1	3	7	0.4285714	
	2004	20	2	16	57	0.2807018	
	2005	5	1	4	24	0.1666667	
	2005	5	2	0	16	0	
	2005	6	1	2	26	0.07692308	
	2005	6	2	0	12	0	
	2005	7	1	3	43	0.06976744	
	2005	7	2	4	43	0.09302326	
	2005	8	1	5	79	0.06329114	
	2005	8	2	5	85	0.05882353	
	2005	9	1	8	113	0.07079646	
	2005	9	2	5	88	0.05681818	
	2005	10	1	9	193	0.04663212	
	2005	10	2	17	168	0.1011905	
	2005	11	1	20	295	0.06779661	
	2005	11	2	11	158	0.06962025	
	2005	12	1	21	405	0.05185185	
	2005	12	2	18	202	0.08910891	
	2005	13	1	41	480	0.08541667	
	2005	13	2	33	260	0.1269231	
	2005	14	1	48	652	0.07361963	
	2005	14	2	36	347	0.1037464	
	2005	15	1	78	700	0.1114286	
	2005	15	2	68	567	0.1199295	
	2005	16	1	111	845	0.1313609	
	2005	16	2	123	802	0.1533666	
	2005	17	1	133	741	0.1794872	
	2005	17	2	151	982	0.1537678	
	2005	18	1	94	416	0.2259615	
	2005	18	2	153	689	0.222061	
	2005	19	1	62	168	0.3690476	
