
	B.1.3.M HD Schlaganfall alle Formen, Alter 45-64, Mortalität // DP d’accident vasculaire cérébral, toutes les formes, âge 45-64, mortalité // DP colpo apoplettico, tutte le forme, età 45-64, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	10	1	2	111	0.01801802	
	1998	10	2	5	73	0.06849315	
	1998	11	1	7	198	0.03535354	
	1998	11	2	8	143	0.05594406	
	1998	12	1	19	277	0.06859206	
	1998	12	2	9	145	0.06206897	
	1998	13	1	27	290	0.09310345	
	1998	13	2	24	222	0.1081081	
	1999	10	1	3	123	0.02439024	
	1999	10	2	5	92	0.05434783	
	1999	11	1	13	240	0.05416667	
	1999	11	2	15	166	0.09036145	
	1999	12	1	17	297	0.05723906	
	1999	12	2	15	149	0.1006711	
	1999	13	1	29	360	0.08055556	
	1999	13	2	17	220	0.07727273	
	2000	10	1	6	154	0.03896104	
	2000	10	2	8	88	0.09090909	
	2000	11	1	21	231	0.09090909	
	2000	11	2	13	160	0.08125	
	2000	12	1	19	297	0.06397306	
	2000	12	2	18	193	0.09326425	
	2000	13	1	30	413	0.07263923	
	2000	13	2	19	221	0.08597285	
	2001	10	1	11	155	0.07096774	
	2001	10	2	8	133	0.06015038	
	2001	11	1	13	250	0.052	
	2001	11	2	14	179	0.07821229	
	2001	12	1	17	332	0.05120482	
	2001	12	2	20	207	0.09661836	
	2001	13	1	31	426	0.07276995	
	2001	13	2	20	257	0.07782101	
	2002	10	1	9	157	0.05732484	
	2002	10	2	7	132	0.0530303	
	2002	11	1	17	270	0.06296296	
	2002	11	2	18	215	0.08372093	
	2002	12	1	26	411	0.06326034	
	2002	12	2	18	218	0.08256881	
	2002	13	1	24	432	0.05555556	
	2002	13	2	25	271	0.09225092	
	2003	10	1	11	165	0.06666667	
	2003	10	2	9	136	0.06617647	
	2003	11	1	23	269	0.08550186	
	2003	11	2	12	178	0.06741573	
	2003	12	1	21	373	0.05630027	
	2003	12	2	18	233	0.07725322	
	2003	13	1	29	468	0.06196581	
	2003	13	2	26	260	0.1	
	2004	10	1	10	200	0.05	
	2004	10	2	12	144	0.08333333	
	2004	11	1	11	263	0.0418251	
	2004	11	2	19	176	0.1079545	
	2004	12	1	27	429	0.06293706	
	2004	12	2	22	198	0.1111111	
	2004	13	1	44	466	0.0944206	
	2004	13	2	23	251	0.09163347	
	2005	10	1	9	193	0.04663212	
	2005	10	2	17	168	0.1011905	
	2005	11	1	20	295	0.06779661	
	2005	11	2	11	158	0.06962025	
	2005	12	1	21	405	0.05185185	
	2005	12	2	18	202	0.08910891	
	2005	13	1	41	480	0.08541667	
	2005	13	2	33	260	0.1269231	
	2006	10	1	8	198	0.04040404	
	2006	10	2	15	145	0.1034483	
	2006	11	1	16	333	0.04804805	
	2006	11	2	17	194	0.08762887	
	2006	12	1	31	469	0.06609808	
	2006	12	2	18	236	0.07627119	
	2006	13	1	48	541	0.08872458	
	2006	13	2	26	296	0.08783784	
	2007	10	1	24	214	0.1121495	
	2007	10	2	8	140	0.05714286	
	2007	11	1	14	301	0.04651163	
	2007	11	2	16	209	0.07655502	
	2007	12	1	31	447	0.06935123	
	2007	12	2	18	259	0.06949807	
	2007	13	1	34	542	0.06273063	
	2007	13	2	29	317	0.09148265	
	2008	10	1	11	208	0.05288462	
	2008	10	2	13	185	0.07027027	
	2008	11	1	9	333	0.02702703	
	2008	11	2	13	220	0.05909091	
	2008	12	1	25	442	0.05656109	
	2008	12	2	23	221	0.1040724	
	2008	13	1	34	588	0.05782313	
	2008	13	2	29	320	0.090625	
	2009	10	1	9	243	0.03703704	
	2009	10	2	10	147	0.06802721	
	2009	11	1	13	347	0.03746398	
	2009	11	2	25	195	0.1282051	
	2009	12	1	29	465	0.06236559	
	2009	12	2	18	217	0.08294931	
	2009	13	1	31	618	0.05016181	
	2009	13	2	30	322	0.0931677	
	2010	10	1	12	250	0.048	
	2010	10	2	9	218	0.0412844	
	2010	11	1	19	426	0.04460094	
	2010	11	2	18	226	0.07964602	
	2010	12	1	25	520	0.04807692	
	2010	12	2	21	274	0.07664234	
	2010	13	1	47	687	0.06841339	
	2010	13	2	26	366	0.07103825	
	2011	10	1	10	310	0.03225806	
	2011	10	2	14	200	0.07	
	2011	11	1	15	390	0.03846154	
	2011	11	2	11	233	0.0472103	
	2011	12	1	25	585	0.04273504	
	2011	12	2	19	270	0.07037037	
	2011	13	1	43	700	0.06142857	
	2011	13	2	25	402	0.06218905	
	2012	10	1	12	349	0.03438395	
	2012	10	2	11	252	0.04365079	
	2012	11	1	14	423	0.03309693	
	2012	11	2	15	258	0.05813953	
	2012	12	1	16	602	0.02657807	
	2012	12	2	24	296	0.08108108	
	2012	13	1	41	708	0.0579096	
	2012	13	2	24	384	0.0625	
	2013	10	1	16	355	0.04507042	
	2013	10	2	12	174	0.06896552	
	2013	11	1	23	460	0.05	
	2013	11	2	18	292	0.06164384	
	2013	12	1	19	660	0.02878788	
	2013	12	2	27	259	0.1042471	
	2013	13	1	40	828	0.04830918	
	2013	13	2	27	407	0.06633907	

