
	B.1.5.M HD Schlaganfall alle Formen, Alter >84, Mortalität // DP d’accident vasculaire cérébral, toutes les formes, âge >84, mortalité // DP colpo apoplettico, tutte le forme, età >84, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	18	1	79	310	0.2548387	
	1998	18	2	105	518	0.2027027	
	1998	19	1	27	83	0.3253012	
	1998	19	2	59	183	0.3224044	
	1998	20	1	8	22	0.3636364	
	1998	20	2	9	31	0.2903226	
	1999	18	1	89	367	0.2425068	
	1999	18	2	131	640	0.2046875	
	1999	19	1	26	96	0.2708333	
	1999	19	2	60	249	0.2409639	
	1999	20	1	5	12	0.4166667	
	1999	20	2	16	48	0.3333333	
	2000	18	1	93	422	0.2203791	
	2000	18	2	148	633	0.2338073	
	2000	19	1	43	124	0.3467742	
	2000	19	2	64	288	0.2222222	
	2000	20	1	6	19	0.3157895	
	2000	20	2	12	47	0.2553191	
	2001	18	1	106	463	0.2289417	
	2001	18	2	164	771	0.2127108	
	2001	19	1	36	129	0.2790698	
	2001	19	2	87	337	0.2581602	
	2001	20	1	7	21	0.3333333	
	2001	20	2	21	58	0.362069	
	2002	18	1	103	420	0.2452381	
	2002	18	2	142	726	0.1955923	
	2002	19	1	43	146	0.2945205	
	2002	19	2	78	335	0.2328358	
	2002	20	1	11	30	0.3666667	
	2002	20	2	14	54	0.2592593	
	2003	18	1	97	414	0.2342995	
	2003	18	2	158	751	0.2103862	
	2003	19	1	61	170	0.3588235	
	2003	19	2	93	337	0.2759644	
	2003	20	1	7	24	0.2916667	
	2003	20	2	23	57	0.4035088	
	2004	18	1	103	421	0.2446556	
	2004	18	2	136	644	0.2111801	
	2004	19	1	42	178	0.2359551	
	2004	19	2	84	324	0.2592593	
	2004	20	1	3	7	0.4285714	
	2004	20	2	16	57	0.2807018	
	2005	18	1	94	416	0.2259615	
	2005	18	2	153	689	0.222061	
	2005	19	1	62	168	0.3690476	
	2005	19	2	85	333	0.2552553	
	2005	20	1	8	24	0.3333333	
	2005	20	2	20	62	0.3225806	
	2006	18	1	117	510	0.2294118	
	2006	18	2	187	799	0.2340426	
	2006	19	1	47	172	0.2732558	
	2006	19	2	76	356	0.2134831	
	2006	20	1	10	20	0.5	
	2006	20	2	21	70	0.3	
	2007	18	1	113	528	0.2140152	
	2007	18	2	170	835	0.2035928	
	2007	19	1	46	181	0.2541436	
	2007	19	2	95	380	0.25	
	2007	20	1	11	32	0.34375	
	2007	20	2	40	89	0.4494382	
	2008	18	1	128	559	0.2289803	
	2008	18	2	192	907	0.2116869	
	2008	19	1	60	207	0.2898551	
	2008	19	2	95	375	0.2533333	
	2008	20	1	13	31	0.4193548	
	2008	20	2	28	90	0.3111111	
	2009	18	1	118	581	0.2030981	
	2009	18	2	213	958	0.2223382	
	2009	19	1	55	189	0.2910053	
	2009	19	2	73	306	0.2385621	
	2009	20	1	10	26	0.3846154	
	2009	20	2	32	94	0.3404255	
	2010	18	1	146	698	0.2091691	
	2010	18	2	214	1072	0.1996269	
	2010	19	1	57	232	0.2456897	
	2010	19	2	113	406	0.2783251	
	2010	20	1	17	39	0.4358974	
	2010	20	2	34	106	0.3207547	
	2011	18	1	133	767	0.1734029	
	2011	18	2	189	1145	0.1650655	
	2011	19	1	63	267	0.2359551	
	2011	19	2	96	506	0.1897233	
	2011	20	1	12	49	0.244898	
	2011	20	2	35	118	0.2966102	
	2012	18	1	146	762	0.191601	
	2012	18	2	202	1207	0.1673571	
	2012	19	1	65	263	0.2471483	
	2012	19	2	137	567	0.2416226	
	2012	20	1	10	44	0.2272727	
	2012	20	2	30	129	0.2325581	
	2013	18	1	125	754	0.1657825	
	2013	18	2	228	1289	0.1768813	
	2013	19	1	69	273	0.2527473	
	2013	19	2	147	591	0.248731	
	2013	20	1	10	49	0.2040816	
	2013	20	2	33	129	0.255814	

