
	B.1.7.M Hirninfarkt (ICD­10 I63, Alter >19), Mortalität // Infarctus cérébral (CIM­10 I63, âge >19), mortalité // Infarto cerebrale (ICD­10 I63, età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	5	1	0	4	0	
	1998	5	2	0	3	0	
	1998	6	1	0	9	0	
	1998	6	2	0	11	0	
	1998	7	1	0	11	0	
	1998	7	2	0	15	0	
	1998	8	1	0	13	0	
	1998	8	2	0	10	0	
	1998	9	1	0	24	0	
	1998	9	2	0	28	0	
	1998	10	1	0	39	0	
	1998	10	2	1	10	0.1	
	1998	11	1	0	80	0	
	1998	11	2	1	42	0.02380952	
	1998	12	1	3	112	0.02678571	
	1998	12	2	2	48	0.04166667	
	1998	13	1	9	147	0.06122449	
	1998	13	2	6	77	0.07792208	
	1998	14	1	9	183	0.04918033	
	1998	14	2	8	115	0.06956522	
	1998	15	1	20	234	0.08547009	
	1998	15	2	16	171	0.09356725	
	1998	16	1	27	270	0.1	
	1998	16	2	23	246	0.09349593	
	1998	17	1	34	200	0.17	
	1998	17	2	36	263	0.1368821	
	1998	18	1	23	131	0.1755725	
	1998	18	2	44	239	0.1841004	
	1998	19	1	10	39	0.2564103	
	1998	19	2	21	75	0.28	
	1998	20	1	3	4	0.75	
	1998	20	2	0	8	0	
	1999	5	1	0	6	0	
	1999	5	2	0	4	0	
	1999	6	1	0	6	0	
	1999	6	2	0	6	0	
	1999	7	1	0	8	0	
	1999	7	2	0	7	0	
	1999	8	1	0	28	0	
	1999	8	2	0	16	0	
	1999	9	1	0	35	0	
	1999	9	2	0	18	0	
	1999	10	1	0	54	0	
	1999	10	2	0	32	0	
	1999	11	1	2	92	0.02173913	
	1999	11	2	2	49	0.04081633	
	1999	12	1	8	158	0.05063291	
	1999	12	2	2	44	0.04545455	
	1999	13	1	9	176	0.05113636	
	1999	13	2	5	86	0.05813953	
	1999	14	1	13	247	0.05263158	
	1999	14	2	12	141	0.08510638	
	1999	15	1	31	336	0.0922619	
	1999	15	2	14	248	0.05645161	
	1999	16	1	28	359	0.07799443	
	1999	16	2	29	328	0.08841463	
	1999	17	1	35	267	0.1310861	
	1999	17	2	48	362	0.1325967	
	1999	18	1	31	178	0.1741573	
	1999	18	2	52	321	0.1619938	
	1999	19	1	11	45	0.2444444	
	1999	19	2	20	99	0.2020202	
	1999	20	1	0	4	0	
	1999	20	2	4	18	0.2222222	
	2000	5	1	1	5	0.2	
	2000	5	2	1	13	0.07692308	
	2000	6	1	0	4	0	
	2000	6	2	0	5	0	
	2000	7	1	0	12	0	
	2000	7	2	0	13	0	
	2000	8	1	2	23	0.08695652	
	2000	8	2	0	22	0	
	2000	9	1	1	27	0.03703704	
	2000	9	2	0	28	0	
	2000	10	1	3	69	0.04347826	
	2000	10	2	1	28	0.03571429	
	2000	11	1	5	101	0.04950495	
	2000	11	2	1	54	0.01851852	
	2000	12	1	4	140	0.02857143	
	2000	12	2	7	83	0.08433735	
	2000	13	1	13	201	0.06467662	
	2000	13	2	3	98	0.03061224	
	2000	14	1	18	265	0.06792453	
	2000	14	2	11	154	0.07142857	
	2000	15	1	28	340	0.08235294	
	2000	15	2	18	223	0.08071749	
	2000	16	1	43	390	0.1102564	
	2000	16	2	46	382	0.1204188	
	2000	17	1	41	300	0.1366667	
	2000	17	2	36	365	0.09863014	
	2000	18	1	28	186	0.1505376	
	2000	18	2	48	292	0.1643836	
	2000	19	1	17	61	0.2786885	
	2000	19	2	26	128	0.203125	
	2000	20	1	3	8	0.375	
	2000	20	2	2	21	0.0952381	
	2001	5	1	0	2	0	
	2001	5	2	0	8	0	
	2001	6	1	0	10	0	
	2001	6	2	0	9	0	
	2001	7	1	1	15	0.06666667	
	2001	7	2	0	11	0	
	2001	8	1	0	26	0	
	2001	8	2	0	17	0	
	2001	9	1	2	37	0.05405405	
	2001	9	2	2	28	0.07142857	
	2001	10	1	1	53	0.01886792	
	2001	10	2	1	45	0.02222222	
	2001	11	1	4	138	0.02898551	
	2001	11	2	5	76	0.06578947	
	2001	12	1	1	191	0.005235602	
	2001	12	2	4	83	0.04819277	
	2001	13	1	7	242	0.02892562	
	2001	13	2	5	99	0.05050505	
	2001	14	1	15	294	0.05102041	
	2001	14	2	4	184	0.02173913	
	2001	15	1	29	401	0.0723192	
	2001	15	2	17	247	0.06882591	
	2001	16	1	45	430	0.1046512	
	2001	16	2	42	439	0.09567198	
	2001	17	1	49	364	0.1346154	
	2001	17	2	50	398	0.1256281	
	2001	18	1	41	256	0.1601562	
	2001	18	2	61	372	0.1639785	
	2001	19	1	12	54	0.2222222	
	2001	19	2	37	186	0.1989247	
	2001	20	1	3	9	0.3333333	
	2001	20	2	6	16	0.375	
	2002	5	1	0	8	0	
