
	B.1.7.M Hirninfarkt (ICD­10 I63, Alter >19), Mortalität // Infarctus cérébral (CIM­10 I63, âge >19), mortalité // Infarto cerebrale (ICD­10 I63, età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	DeathCH	CasesCH	pCH	
	1998	296	2861	10.34603	
	1999	356	3778	9.422975	
	2000	407	4041	10.07176	
	2001	444	4740	9.367089	
	2002	476	5032	9.459459	
	2003	488	5250	9.295238	
	2004	442	5071	8.71623	
	2005	490	5379	9.1095	
	2006	555	6193	8.961731	
	2007	550	6298	8.732931	
	2008	590	7053	8.365235	
	2009	617	7482	8.246458	
	2010	698	8755	7.972587	
	2011	641	9475	6.765172	
	2012	744	10568	7.040121	
	2013	785	11161	7.03342	

