
	B.1.8.M Hirninfarkt (ICD­10 I63, Alter >19), Direktaufnahmen, Mortalität // Infarctus cérébral (CIM­10 I63, âge >19), admissions directes, mortalité // Infarto cerebrale (ICD­10 I63, età >19), ammissioni dirette, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	5	1	0	4	0	
	1998	5	2	0	3	0	
	1998	6	1	0	6	0	
	1998	6	2	0	9	0	
	1998	7	1	0	10	0	
	1998	7	2	0	12	0	
	1998	8	1	0	10	0	
	1998	8	2	0	7	0	
	1998	9	1	0	19	0	
	1998	9	2	0	23	0	
	1998	10	1	0	34	0	
	1998	10	2	1	10	0.1	
	1998	11	1	0	70	0	
	1998	11	2	1	38	0.02631579	
	1998	12	1	3	103	0.02912621	
	1998	12	2	2	41	0.04878049	
	1998	13	1	5	130	0.03846154	
	1998	13	2	5	66	0.07575758	
	1998	14	1	9	161	0.05590062	
	1998	14	2	7	105	0.06666667	
	1998	15	1	19	219	0.08675799	
	1998	15	2	14	161	0.08695652	
	1998	16	1	26	257	0.1011673	
	1998	16	2	23	230	0.1	
	1998	17	1	32	190	0.1684211	
	1998	17	2	35	250	0.14	
	1998	18	1	21	125	0.168	
	1998	18	2	42	228	0.1842105	
	1998	19	1	10	38	0.2631579	
	1998	19	2	21	73	0.2876712	
	1998	20	1	3	4	0.75	
	1998	20	2	0	4	0	
	1999	5	1	0	4	0	
	1999	5	2	0	3	0	
	1999	6	1	0	5	0	
	1999	6	2	0	4	0	
	1999	7	1	0	8	0	
	1999	7	2	0	6	0	
	1999	8	1	0	22	0	
	1999	8	2	0	16	0	
	1999	9	1	0	28	0	
	1999	9	2	0	16	0	
	1999	10	1	0	48	0	
	1999	10	2	0	27	0	
	1999	11	1	2	86	0.02325581	
	1999	11	2	2	44	0.04545455	
	1999	12	1	6	133	0.04511278	
	1999	12	2	1	40	0.025	
	1999	13	1	8	164	0.04878049	
	1999	13	2	4	80	0.05	
	1999	14	1	11	219	0.05022831	
	1999	14	2	10	118	0.08474576	
	1999	15	1	27	309	0.08737864	
	1999	15	2	12	219	0.05479452	
	1999	16	1	27	332	0.0813253	
	1999	16	2	26	292	0.0890411	
	1999	17	1	31	243	0.127572	
	1999	17	2	45	322	0.1397516	
	1999	18	1	31	162	0.191358	
	1999	18	2	49	283	0.1731449	
	1999	19	1	10	41	0.2439024	
	1999	19	2	17	87	0.1954023	
	1999	20	1	0	4	0	
	1999	20	2	2	14	0.1428571	
	2000	5	1	0	1	0	
	2000	5	2	1	11	0.09090909	
	2000	6	1	0	4	0	
	2000	6	2	0	5	0	
	2000	7	1	0	10	0	
	2000	7	2	0	13	0	
	2000	8	1	2	19	0.1052632	
	2000	8	2	0	18	0	
	2000	9	1	1	22	0.04545455	
	2000	9	2	0	27	0	
	2000	10	1	3	62	0.0483871	
	2000	10	2	1	20	0.05	
	2000	11	1	4	88	0.04545455	
	2000	11	2	1	45	0.02222222	
	2000	12	1	4	124	0.03225806	
	2000	12	2	7	71	0.09859155	
	2000	13	1	12	176	0.06818182	
	2000	13	2	2	85	0.02352941	
	2000	14	1	14	234	0.05982906	
	2000	14	2	9	132	0.06818182	
	2000	15	1	23	306	0.0751634	
	2000	15	2	17	204	0.08333333	
	2000	16	1	39	358	0.1089385	
	2000	16	2	41	342	0.119883	
	2000	17	1	36	270	0.1333333	
	2000	17	2	33	330	0.1	
	2000	18	1	24	165	0.1454545	
	2000	18	2	45	270	0.1666667	
	2000	19	1	17	57	0.2982456	
	2000	19	2	23	115	0.2	
	2000	20	1	2	7	0.2857143	
	2000	20	2	2	17	0.1176471	
	2001	5	1	0	2	0	
	2001	5	2	0	7	0	
	2001	6	1	0	10	0	
	2001	6	2	0	9	0	
	2001	7	1	1	10	0.1	
	2001	7	2	0	11	0	
	2001	8	1	0	20	0	
	2001	8	2	0	16	0	
	2001	9	1	1	31	0.03225806	
	2001	9	2	1	26	0.03846154	
	2001	10	1	0	48	0	
	2001	10	2	1	39	0.02564103	
	2001	11	1	3	122	0.02459016	
	2001	11	2	3	63	0.04761905	
	2001	12	1	1	163	0.006134969	
	2001	12	2	3	74	0.04054054	
	2001	13	1	4	212	0.01886792	
	2001	13	2	5	88	0.05681818	
	2001	14	1	13	264	0.04924242	
	2001	14	2	2	161	0.01242236	
	2001	15	1	26	370	0.07027027	
	2001	15	2	15	220	0.06818182	
	2001	16	1	40	390	0.1025641	
	2001	16	2	37	400	0.0925	
	2001	17	1	45	334	0.1347305	
	2001	17	2	47	375	0.1253333	
	2001	18	1	38	231	0.1645022	
	2001	18	2	57	341	0.1671554	
	2001	19	1	9	50	0.18	
	2001	19	2	36	174	0.2068966	
	2001	20	1	3	9	0.3333333	
	2001	20	2	6	15	0.4	
	2002	5	1	0	7	0	
