
	B.1.8.M Hirninfarkt (ICD­10 I63, Alter >19), Direktaufnahmen, Mortalität // Infarctus cérébral (CIM­10 I63, âge >19), admissions directes, mortalité // Infarto cerebrale (ICD­10 I63, età >19), ammissioni dirette, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	DeathCH	CasesCH	pCH	
	1998	279	2640	10.56818	
	1999	321	3379	9.499852	
	2000	363	3608	10.06098	
	2001	397	4285	9.264877	
	2002	444	4618	9.614552	
	2003	452	4792	9.432387	
	2004	395	4624	8.542388	
	2005	437	4913	8.894769	
	2006	505	5649	8.939635	
	2007	499	5731	8.707032	
	2008	550	6442	8.537721	
	2009	534	6712	7.9559	
	2010	590	7195	8.200139	
	2011	514	7563	6.796245	
	2012	583	8447	6.901859	
	2013	631	9059	6.965449	

