
	B.1.9.M Hirninfarkt (ICD­10 I63, Alter >19) mit systemischer Thrombolyse, Mortalität // Infarctus cérébral (CIM­10 I63, âge >19) avec thrombolyse systémique, mortalité // Infarto cerebrale (ICD­10 I63, età >19) con trombolisi sistemica, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2012	5	2	0	4	0	
	2012	6	1	0	2	0	
	2012	6	2	0	1	0	
	2012	7	1	0	4	0	
	2012	7	2	0	1	0	
	2012	8	1	0	5	0	
	2012	8	2	0	3	0	
	2012	9	1	0	15	0	
	2012	9	2	0	7	0	
	2012	10	1	0	20	0	
	2012	10	2	0	19	0	
	2012	11	1	1	38	0.02631579	
	2012	11	2	0	11	0	
	2012	12	1	0	43	0	
	2012	12	2	1	20	0.05	
	2012	13	1	4	55	0.07272727	
	2012	13	2	1	19	0.05263158	
	2012	14	1	5	63	0.07936508	
	2012	14	2	1	34	0.02941176	
	2012	15	1	4	73	0.05479452	
	2012	15	2	5	46	0.1086957	
	2012	16	1	6	73	0.08219178	
	2012	16	2	6	78	0.07692308	
	2012	17	1	13	60	0.2166667	
	2012	17	2	7	88	0.07954545	
	2012	18	1	9	42	0.2142857	
	2012	18	2	6	58	0.1034483	
	2012	19	1	5	12	0.4166667	
	2012	19	2	5	22	0.2272727	
	2012	20	1	0	1	0	
	2012	20	2	1	5	0.2	
	2013	5	1	0	3	0	
	2013	5	2	0	1	0	
	2013	6	1	0	5	0	
	2013	7	1	0	4	0	
	2013	7	2	0	2	0	
	2013	8	1	0	6	0	
	2013	8	2	1	5	0.2	
	2013	9	1	1	10	0.1	
	2013	9	2	0	6	0	
	2013	10	1	0	20	0	
	2013	10	2	0	8	0	
	2013	11	1	0	30	0	
	2013	11	2	0	17	0	
	2013	12	1	0	49	0	
	2013	12	2	1	10	0.1	
	2013	13	1	5	76	0.06578947	
	2013	13	2	0	21	0	
	2013	14	1	3	87	0.03448276	
	2013	14	2	1	35	0.02857143	
	2013	15	1	4	66	0.06060606	
	2013	15	2	4	58	0.06896552	
	2013	16	1	7	75	0.09333333	
	2013	16	2	10	64	0.15625	
	2013	17	1	9	61	0.147541	
	2013	17	2	17	92	0.1847826	
	2013	18	1	10	38	0.2631579	
	2013	18	2	10	69	0.1449275	
	2013	19	1	2	10	0.2	
	2013	19	2	8	33	0.2424242	
	2013	20	1	0	2	0	
	2013	20	2	1	7	0.1428571	

