
	B.1.10.M Intrazerebrale Blutung (ICD­10 I61, Alter >19), Mortalität // Hémorragie intracérébrale (CIM­10 I61, âge >19), mortalité // Emorragia intracerebrale (ICD­10 I61, età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	5	1	0	2	0	
	1998	5	2	1	2	0.5	
	1998	6	1	0	7	0	
	1998	6	2	1	2	0.5	
	1998	7	1	1	14	0.07142857	
	1998	7	2	0	3	0	
	1998	8	1	0	14	0	
	1998	8	2	1	9	0.1111111	
	1998	9	1	4	24	0.1666667	
	1998	9	2	2	19	0.1052632	
	1998	10	1	2	21	0.0952381	
	1998	10	2	4	15	0.2666667	
	1998	11	1	5	45	0.1111111	
	1998	11	2	1	32	0.03125	
	1998	12	1	11	67	0.1641791	
	1998	12	2	4	23	0.173913	
	1998	13	1	8	44	0.1818182	
	1998	13	2	9	50	0.18	
	1998	14	1	17	74	0.2297297	
	1998	14	2	15	48	0.3125	
	1998	15	1	20	92	0.2173913	
	1998	15	2	25	81	0.308642	
	1998	16	1	32	89	0.3595506	
	1998	16	2	31	92	0.3369565	
	1998	17	1	19	57	0.3333333	
	1998	17	2	26	70	0.3714286	
	1998	18	1	18	43	0.4186047	
	1998	18	2	13	46	0.2826087	
	1998	19	1	4	5	0.8	
	1998	19	2	7	14	0.5	
	1998	20	1	0	2	0	
	1998	20	2	1	2	0.5	
	1999	5	1	0	7	0	
	1999	6	1	1	7	0.1428571	
	1999	6	2	0	2	0	
	1999	7	1	2	10	0.2	
	1999	7	2	0	10	0	
	1999	8	1	1	9	0.1111111	
	1999	8	2	1	7	0.1428571	
	1999	9	1	3	22	0.1363636	
	1999	9	2	1	11	0.09090909	
	1999	10	1	2	21	0.0952381	
	1999	10	2	3	9	0.3333333	
	1999	11	1	3	51	0.05882353	
	1999	11	2	4	39	0.1025641	
	1999	12	1	4	46	0.08695652	
	1999	12	2	7	34	0.2058824	
	1999	13	1	13	73	0.1780822	
	1999	13	2	6	37	0.1621622	
	1999	14	1	25	103	0.2427184	
	1999	14	2	10	53	0.1886792	
	1999	15	1	22	94	0.2340426	
	1999	15	2	17	74	0.2297297	
	1999	16	1	25	93	0.2688172	
	1999	16	2	41	116	0.3534483	
	1999	17	1	21	72	0.2916667	
	1999	17	2	41	83	0.4939759	
	1999	18	1	15	29	0.5172414	
	1999	18	2	23	53	0.4339623	
	1999	19	1	2	4	0.5	
	1999	19	2	7	14	0.5	
	1999	20	1	1	1	1	
	1999	20	2	3	3	1	
	2000	5	1	0	4	0	
	2000	5	2	1	3	0.3333333	
	2000	6	1	0	5	0	
	2000	6	2	0	1	0	
	2000	7	1	0	9	0	
	2000	7	2	0	5	0	
	2000	8	1	3	18	0.1666667	
	2000	8	2	2	12	0.1666667	
	2000	9	1	4	20	0.2	
	2000	9	2	2	14	0.1428571	
	2000	10	1	3	23	0.1304348	
	2000	10	2	4	14	0.2857143	
	2000	11	1	13	59	0.220339	
	2000	11	2	4	30	0.1333333	
	2000	12	1	10	59	0.1694915	
	2000	12	2	6	34	0.1764706	
	2000	13	1	12	80	0.15	
	2000	13	2	11	45	0.2444444	
	2000	14	1	21	94	0.2234043	
	2000	14	2	10	73	0.1369863	
	2000	15	1	37	128	0.2890625	
	2000	15	2	29	98	0.2959184	
	2000	16	1	34	119	0.2857143	
	2000	16	2	32	121	0.2644628	
	2000	17	1	26	77	0.3376623	
	2000	17	2	53	111	0.4774775	
	2000	18	1	21	54	0.3888889	
	2000	18	2	32	52	0.6153846	
	2000	19	1	3	5	0.6	
	2000	19	2	7	20	0.35	
	2000	20	2	1	1	1	
	2001	5	1	0	6	0	
	2001	5	2	0	1	0	
	2001	6	1	0	4	0	
	2001	6	2	1	5	0.2	
	2001	7	1	2	8	0.25	
	2001	7	2	2	13	0.1538462	
	2001	8	1	3	19	0.1578947	
	2001	8	2	2	6	0.3333333	
	2001	9	1	2	13	0.1538462	
	2001	9	2	0	9	0	
	2001	10	1	5	36	0.1388889	
	2001	10	2	2	17	0.1176471	
	2001	11	1	8	40	0.2	
