
	B.1.10.M Intrazerebrale Blutung (ICD­10 I61, Alter >19), Mortalität // Hémorragie intracérébrale (CIM­10 I61, âge >19), mortalité // Emorragia intracerebrale (ICD­10 I61, età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	DeathCH	CasesCH	pCH	
	1998	282	1108	25.45126	
	1999	304	1187	25.61078	
	2000	381	1388	27.44957	
	2001	448	1469	30.49694	
	2002	419	1498	27.97063	
	2003	423	1499	28.21881	
	2004	449	1499	29.9533	
	2005	440	1548	28.42377	
	2006	462	1602	28.83895	
	2007	508	1726	29.43221	
	2008	556	1767	31.46576	
	2009	513	1841	27.86529	
	2010	523	1997	26.18928	
	2011	522	2068	25.24178	
	2012	496	2061	24.06599	
	2013	546	2107	25.91362	

