
	B.1.11.M Subarachnoidalblutung (ICD­10 I60, Alter >19), Mortalität // Hémorragie sous­arachnoïdienne (CIM­10 I60, âge >19), mortalité // Emorragia subaracnoidea (ICD­10 I60, età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	5	1	0	4	0	
	1998	5	2	0	7	0	
	1998	6	1	1	7	0.1428571	
	1998	6	2	0	13	0	
	1998	7	1	1	4	0.25	
	1998	7	2	0	12	0	
	1998	8	1	0	13	0	
	1998	8	2	0	16	0	
	1998	9	1	2	20	0.1	
	1998	9	2	4	28	0.1428571	
	1998	10	1	0	28	0	
	1998	10	2	0	38	0	
	1998	11	1	2	42	0.04761905	
	1998	11	2	6	49	0.122449	
	1998	12	1	2	32	0.0625	
	1998	12	2	2	44	0.04545455	
	1998	13	1	5	27	0.1851852	
	1998	13	2	5	50	0.1	
	1998	14	1	5	24	0.2083333	
	1998	14	2	2	41	0.04878049	
	1998	15	1	5	26	0.1923077	
	1998	15	2	3	31	0.09677419	
	1998	16	1	3	10	0.3	
	1998	16	2	10	33	0.3030303	
	1998	17	1	2	5	0.4	
	1998	17	2	10	22	0.4545455	
	1998	18	1	1	5	0.2	
	1998	18	2	4	11	0.3636364	
	1998	19	1	1	1	1	
	1998	19	2	2	4	0.5	
	1999	5	1	0	6	0	
	1999	5	2	0	5	0	
	1999	6	1	1	8	0.125	
	1999	6	2	0	15	0	
	1999	7	1	0	18	0	
	1999	7	2	1	22	0.04545455	
	1999	8	1	1	19	0.05263158	
	1999	8	2	1	20	0.05	
	1999	9	1	3	22	0.1363636	
	1999	9	2	3	35	0.08571429	
	1999	10	1	1	36	0.02777778	
	1999	10	2	2	39	0.05128205	
	1999	11	1	5	47	0.106383	
	1999	11	2	9	59	0.1525424	
	1999	12	1	3	34	0.08823529	
	1999	12	2	5	48	0.1041667	
	1999	13	1	2	21	0.0952381	
	1999	13	2	2	50	0.04	
	1999	14	1	5	36	0.1388889	
	1999	14	2	6	35	0.1714286	
	1999	15	1	0	22	0	
	1999	15	2	5	31	0.1612903	
	1999	16	1	7	18	0.3888889	
	1999	16	2	5	15	0.3333333	
	1999	17	1	3	10	0.3	
	1999	17	2	6	16	0.375	
	1999	18	1	1	3	0.3333333	
	1999	18	2	2	7	0.2857143	
	1999	19	1	1	1	1	
	1999	19	2	0	2	0	
	1999	20	2	1	1	1	
	2000	5	1	0	9	0	
	2000	5	2	0	3	0	
	2000	6	1	0	10	0	
	2000	6	2	0	13	0	
	2000	7	1	2	20	0.1	
	2000	7	2	2	22	0.09090909	
	2000	8	1	2	21	0.0952381	
	2000	8	2	2	33	0.06060606	
	2000	9	1	1	22	0.04545455	
	2000	9	2	3	29	0.1034483	
	2000	10	1	0	43	0	
	2000	10	2	2	35	0.05714286	
	2000	11	1	2	36	0.05555556	
	2000	11	2	8	56	0.1428571	
	2000	12	1	4	36	0.1111111	
	2000	12	2	5	41	0.1219512	
	2000	13	1	2	32	0.0625	
	2000	13	2	3	37	0.08108108	
	2000	14	1	8	31	0.2580645	
	2000	14	2	8	64	0.125	
	2000	15	1	2	20	0.1	
	2000	15	2	8	33	0.2424242	
	2000	16	1	4	19	0.2105263	
	2000	16	2	11	37	0.2972973	
	2000	17	1	6	12	0.5	
	2000	17	2	8	15	0.5333333	
	2000	18	1	4	7	0.5714286	
	2000	18	2	2	7	0.2857143	
	2000	19	2	2	4	0.5	
	2001	5	1	0	2	0	
	2001	5	2	0	2	0	
	2001	6	1	0	9	0	
	2001	6	2	0	6	0	
	2001	7	1	0	10	0	
	2001	7	2	1	21	0.04761905	
	2001	8	1	1	19	0.05263158	
	2001	8	2	0	33	0	
	2001	9	1	5	22	0.2272727	
	2001	9	2	4	37	0.1081081	
	2001	10	1	5	45	0.1111111	
	2001	10	2	5	51	0.09803922	
	2001	11	1	1	40	0.025	
	2001	11	2	7	45	0.1555556	
	2001	12	1	4	23	0.173913	
	2001	12	2	6	59	0.1016949	
	2001	13	1	2	23	0.08695652	
	2001	13	2	7	59	0.1186441	
	2001	14	1	3	27	0.1111111	
	2001	14	2	8	40	0.2	
	2001	15	1	6	22	0.2727273	
	2001	15	2	8	41	0.195122	
	2001	16	1	3	9	0.3333333	
	2001	16	2	6	29	0.2068966	
	2001	17	1	5	8	0.625	
	2001	17	2	5	12	0.4166667	
	2001	18	1	3	6	0.5	
	2001	18	2	3	6	0.5	
	2001	19	1	0	2	0	
	2002	5	1	0	2	0	
	2002	5	2	1	7	0.1428571	
	2002	6	1	0	5	0	
	2002	6	2	2	7	0.2857143	
	2002	7	1	2	16	0.125	
	2002	7	2	1	16	0.0625	
	2002	8	1	4	23	0.173913	
	2002	8	2	0	31	0	
	2002	9	1	4	37	0.1081081	
	2002	9	2	5	43	0.1162791	
	2002	10	1	2	31	0.06451613	
	2002	10	2	2	47	0.04255319	
	2002	11	1	4	52	0.07692308	
	2002	11	2	8	69	0.115942	
	2002	12	1	4	43	0.09302326	
	2002	12	2	4	48	0.08333333	
	2002	13	1	0	27	0	
	2002	13	2	7	53	0.1320755	
	2002	14	1	2	18	0.1111111	
	2002	14	2	8	45	0.1777778	
	2002	15	1	3	10	0.3	
	2002	15	2	4	31	0.1290323	
	2002	16	1	2	14	0.1428571	
	2002	16	2	8	31	0.2580645	
	2002	17	1	3	8	0.375	
	2002	17	2	5	23	0.2173913	
	2002	18	1	0	8	0	
	2002	18	2	2	8	0.25	
	2002	19	2	1	4	0.25	
	2003	5	1	0	5	0	
	2003	5	2	0	8	0	
	2003	6	1	0	6	0	
	2003	6	2	2	3	0.6666667	
	2003	7	1	0	7	0	
	2003	7	2	0	11	0	
	2003	8	1	1	17	0.05882353	
	2003	8	2	1	26	0.03846154	
	2003	9	1	4	28	0.1428571	
	2003	9	2	2	34	0.05882353	
	2003	10	1	4	36	0.1111111	
	2003	10	2	4	41	0.09756098	
	2003	11	1	8	38	0.2105263	
	2003	11	2	7	65	0.1076923	
	2003	12	1	2	23	0.08695652	
	2003	12	2	6	63	0.0952381	
	2003	13	1	2	22	0.09090909	
	2003	13	2	5	41	0.1219512	
	2003	14	1	1	26	0.03846154	
	2003	14	2	8	60	0.1333333	
	2003	15	1	3	17	0.1764706	
	2003	15	2	9	44	0.2045455	
	2003	16	1	11	26	0.4230769	
	2003	16	2	8	28	0.2857143	
	2003	17	1	4	11	0.3636364	
	2003	17	2	5	24	0.2083333	
	2003	18	1	3	5	0.6	
	2003	18	2	5	7	0.7142857	
	2003	19	1	1	2	0.5	
	2003	19	2	6	6	1	
	2003	20	2	1	1	1	
	2004	5	1	0	2	0	
	2004	5	2	0	5	0	
	2004	6	1	1	8	0.125	
	2004	6	2	0	6	0	
	2004	7	1	1	8	0.125	
	2004	7	2	1	17	0.05882353	
	2004	8	1	4	29	0.137931	
	2004	8	2	3	16	0.1875	
	2004	9	1	2	34	0.05882353	
	2004	9	2	1	37	0.02702703	
	2004	10	1	0	35	0	
	2004	10	2	8	56	0.1428571	
	2004	11	1	3	34	0.08823529	
	2004	11	2	8	54	0.1481481	
	2004	12	1	10	61	0.1639344	
	2004	12	2	10	48	0.2083333	
	2004	13	1	6	22	0.2727273	
	2004	13	2	9	51	0.1764706	
	2004	14	1	6	21	0.2857143	
	2004	14	2	8	35	0.2285714	
	2004	15	1	4	25	0.16	
	2004	15	2	4	34	0.1176471	
	2004	16	1	2	9	0.2222222	
	2004	16	2	16	39	0.4102564	
	2004	17	1	4	18	0.2222222	
	2004	17	2	11	22	0.5	
	2004	18	1	2	5	0.4	
	2004	18	2	6	16	0.375	
