
	B.1.12.M Schlaganfall n.n.bez. (ICD­10 I64, Alter >19), Mortalität // Accident vasculaire cérébral, sans précision (CIM­10 I64, âge >19), mortalité // Colpo apoplettico, non altrimenti specificato (ICD­10 I64, età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	5	1	0	3	0	
	1998	5	2	0	1	0	
	1998	6	2	0	5	0	
	1998	7	1	0	3	0	
	1998	7	2	0	4	0	
	1998	8	1	0	8	0	
	1998	8	2	0	2	0	
	1998	9	1	0	3	0	
	1998	9	2	0	7	0	
	1998	10	1	0	23	0	
	1998	10	2	0	10	0	
	1998	11	1	0	31	0	
	1998	11	2	0	20	0	
	1998	12	1	3	66	0.04545455	
	1998	12	2	1	30	0.03333333	
	1998	13	1	5	72	0.06944444	
	1998	13	2	4	45	0.08888889	
	1998	14	1	4	109	0.03669725	
	1998	14	2	4	66	0.06060606	
	1998	15	1	10	162	0.0617284	
	1998	15	2	5	111	0.04504505	
	1998	16	1	17	169	0.1005917	
	1998	16	2	25	173	0.1445087	
	1998	17	1	35	182	0.1923077	
	1998	17	2	31	209	0.1483254	
	1998	18	1	37	131	0.2824427	
	1998	18	2	44	222	0.1981982	
	1998	19	1	12	38	0.3157895	
	1998	19	2	29	90	0.3222222	
	1998	20	1	5	16	0.3125	
	1998	20	2	8	21	0.3809524	
	1999	5	2	0	1	0	
	1999	6	1	0	1	0	
	1999	6	2	0	1	0	
	1999	7	1	0	1	0	
	1999	7	2	1	3	0.3333333	
	1999	8	1	0	9	0	
	1999	8	2	0	8	0	
	1999	9	1	0	10	0	
	1999	9	2	0	2	0	
	1999	10	1	0	12	0	
	1999	10	2	0	12	0	
	1999	11	1	3	50	0.06	
	1999	11	2	0	19	0	
	1999	12	1	2	59	0.03389831	
	1999	12	2	1	23	0.04347826	
	1999	13	1	5	90	0.05555556	
	1999	13	2	4	47	0.08510638	
	1999	14	1	10	124	0.08064516	
	1999	14	2	6	88	0.06818182	
	1999	15	1	21	190	0.1105263	
	1999	15	2	12	135	0.08888889	
	1999	16	1	37	269	0.1375465	
	1999	16	2	42	250	0.168	
	1999	17	1	32	182	0.1758242	
	1999	17	2	42	277	0.1516245	
	1999	18	1	42	157	0.2675159	
	1999	18	2	54	259	0.2084942	
	1999	19	1	12	46	0.2608696	
	1999	19	2	33	134	0.2462687	
	1999	20	1	4	7	0.5714286	
	1999	20	2	8	26	0.3076923	
	2000	5	1	0	1	0	
	2000	6	2	0	5	0	
	2000	7	1	0	2	0	
	2000	7	2	0	2	0	
	2000	8	1	0	3	0	
	2000	8	2	0	3	0	
	2000	9	1	0	6	0	
	2000	9	2	0	9	0	
	2000	10	1	0	19	0	
	2000	10	2	1	11	0.09090909	
	2000	11	1	1	35	0.02857143	
	2000	11	2	0	20	0	
	2000	12	1	1	62	0.01612903	
	2000	12	2	0	35	0	
	2000	13	1	3	100	0.03	
	2000	13	2	2	41	0.04878049	
	2000	14	1	6	116	0.05172414	
	2000	14	2	5	84	0.05952381	
	2000	15	1	19	166	0.1144578	
	2000	15	2	22	153	0.1437908	
	2000	16	1	36	255	0.1411765	
	2000	16	2	38	245	0.155102	
	2000	17	1	30	210	0.1428571	
	2000	17	2	65	314	0.2070064	
	2000	18	1	40	175	0.2285714	
	2000	18	2	66	282	0.2340426	
	2000	19	1	23	58	0.3965517	
	2000	19	2	29	136	0.2132353	
	2000	20	1	3	11	0.2727273	
	2000	20	2	9	25	0.36	
	2001	5	2	0	2	0	
	2001	6	1	0	1	0	
	2001	6	2	0	5	0	
	2001	7	2	0	1	0	
	2001	8	1	0	10	0	
	2001	8	2	0	4	0	
	2001	9	1	1	17	0.05882353	
	2001	9	2	0	7	0	
	2001	10	1	0	21	0	
	2001	10	2	0	20	0	
	2001	11	1	0	32	0	
	2001	11	2	0	29	0	
	2001	12	1	2	64	0.03125	
	2001	12	2	1	36	0.02777778	
	2001	13	1	5	88	0.05681818	
	2001	13	2	1	45	0.02222222	
	2001	14	1	12	131	0.09160305	
	2001	14	2	4	87	0.04597701	
	2001	15	1	17	184	0.0923913	
	2001	15	2	15	154	0.0974026	
	2001	16	1	31	212	0.1462264	
	2001	16	2	24	236	0.1016949	
	2001	17	1	42	232	0.1810345	
	2001	17	2	54	331	0.163142	
	2001	18	1	40	160	0.25	
	2001	18	2	62	309	0.2006472	
	2001	19	1	18	56	0.3214286	
	2001	19	2	40	127	0.3149606	
