
	B.1.12.P Anteil Schlaganfall n.n.bez. (ICD­10 I64, Alter >19) // Accident vasculaire cérébral, sans précision (CIM­10 I64, âge >19), pourcentage // Colpo apoplettico, non altrimenti specificato (ICD­10 I64, età >19), percentuale
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	CasesCH	CasesCHDen	pCH	
	1998	2032	6648	30.56558	
	1999	2492	8158	30.5467	
	2000	2584	8760	29.49772	
	2001	2648	9565	27.68427	
	2002	2553	9840	25.94512	
	2003	2626	10106	25.98456	
	2004	2609	9931	26.27127	
	2005	2272	10018	22.67918	
	2006	2150	10785	19.9351	
	2007	2092	10931	19.13823	
	2008	1794	11449	15.66949	
	2009	1634	11803	13.84394	
	2010	1598	13305	12.01052	
	2011	1390	13960	9.95702	
	2012	1184	14726	8.040201	
	2013	1148	15307	7.499837	

