
	B.1.13.M Hirninfarkt (ICD­10 I63, Alter >19), nur Zuverlegungen, Mortalität // Infarctus cérébral (CIM­10 I63, âge >19), admissions directes pas transféré, mortalité // Infarto cerebrale (ICD­10 I63, età >19), trasferito da un altro ospedale, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	6	1	0	3	0	
	1998	6	2	0	2	0	
	1998	7	1	0	1	0	
	1998	7	2	0	3	0	
	1998	8	1	0	3	0	
	1998	8	2	0	3	0	
	1998	9	1	0	5	0	
	1998	9	2	0	5	0	
	1998	10	1	0	5	0	
	1998	11	1	0	10	0	
	1998	11	2	0	4	0	
	1998	12	1	0	9	0	
	1998	12	2	0	7	0	
	1998	13	1	4	17	0.2352941	
	1998	13	2	1	11	0.09090909	
	1998	14	1	0	22	0	
	1998	14	2	1	10	0.1	
	1998	15	1	1	15	0.06666667	
	1998	15	2	2	10	0.2	
	1998	16	1	1	13	0.07692308	
	1998	16	2	0	16	0	
	1998	17	1	2	10	0.2	
	1998	17	2	1	13	0.07692308	
	1998	18	1	2	6	0.3333333	
	1998	18	2	2	11	0.1818182	
	1998	19	1	0	1	0	
	1998	19	2	0	2	0	
	1998	20	2	0	4	0	
	1999	5	1	0	2	0	
	1999	5	2	0	1	0	
	1999	6	1	0	1	0	
	1999	6	2	0	2	0	
	1999	7	2	0	1	0	
	1999	8	1	0	6	0	
	1999	9	1	0	7	0	
	1999	9	2	0	2	0	
	1999	10	1	0	6	0	
	1999	10	2	0	5	0	
	1999	11	1	0	6	0	
	1999	11	2	0	5	0	
	1999	12	1	2	25	0.08	
	1999	12	2	1	4	0.25	
	1999	13	1	1	12	0.08333333	
	1999	13	2	1	6	0.1666667	
	1999	14	1	2	28	0.07142857	
	1999	14	2	2	23	0.08695652	
	1999	15	1	4	27	0.1481481	
	1999	15	2	2	29	0.06896552	
	1999	16	1	1	27	0.03703704	
	1999	16	2	3	36	0.08333333	
	1999	17	1	4	24	0.1666667	
	1999	17	2	3	40	0.075	
	1999	18	1	0	16	0	
	1999	18	2	3	38	0.07894737	
	1999	19	1	1	4	0.25	
	1999	19	2	3	12	0.25	
	1999	20	2	2	4	0.5	
	2000	5	1	1	4	0.25	
	2000	5	2	0	2	0	
	2000	7	1	0	2	0	
	2000	8	1	0	4	0	
	2000	8	2	0	4	0	
	2000	9	1	0	5	0	
	2000	9	2	0	1	0	
	2000	10	1	0	7	0	
	2000	10	2	0	8	0	
	2000	11	1	1	13	0.07692308	
	2000	11	2	0	9	0	
	2000	12	1	0	16	0	
	2000	12	2	0	12	0	
	2000	13	1	1	25	0.04	
	2000	13	2	1	13	0.07692308	
	2000	14	1	4	31	0.1290323	
	2000	14	2	2	22	0.09090909	
	2000	15	1	5	34	0.1470588	
	2000	15	2	1	19	0.05263158	
	2000	16	1	4	32	0.125	
	2000	16	2	5	40	0.125	
	2000	17	1	5	30	0.1666667	
	2000	17	2	3	35	0.08571429	
	2000	18	1	4	21	0.1904762	
	2000	18	2	3	22	0.1363636	
	2000	19	1	0	4	0	
	2000	19	2	3	13	0.2307692	
	2000	20	1	1	1	1	
	2000	20	2	0	4	0	
	2001	5	2	0	1	0	
	2001	7	1	0	5	0	
	2001	8	1	0	6	0	
	2001	8	2	0	1	0	
	2001	9	1	1	6	0.1666667	
	2001	9	2	1	2	0.5	
	2001	10	1	1	5	0.2	
	2001	10	2	0	6	0	
	2001	11	1	1	16	0.0625	
	2001	11	2	2	13	0.1538462	
	2001	12	1	0	28	0	
	2001	12	2	1	9	0.1111111	
	2001	13	1	3	30	0.1	
	2001	13	2	0	11	0	
	2001	14	1	2	30	0.06666667	
	2001	14	2	2	23	0.08695652	
