
	B.2.1.M TIA, Mortalität // AIT, mortalité // TIA, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	1	2	0	1	0	
	1998	2	1	0	1	0	
	1998	4	1	0	5	0	
	1998	4	2	0	1	0	
	1998	5	1	0	1	0	
	1998	5	2	0	3	0	
	1998	6	1	0	1	0	
	1998	6	2	0	1	0	
	1998	7	1	0	11	0	
	1998	7	2	0	6	0	
	1998	8	1	0	8	0	
	1998	8	2	0	9	0	
	1998	9	1	0	16	0	
	1998	9	2	0	15	0	
	1998	10	1	0	19	0	
	1998	10	2	0	13	0	
	1998	11	1	0	41	0	
	1998	11	2	0	16	0	
	1998	12	1	0	51	0	
	1998	12	2	0	43	0	
	1998	13	1	0	73	0	
	1998	13	2	0	54	0	
	1998	14	1	3	107	0.02803738	
	1998	14	2	0	78	0	
	1998	15	1	0	119	0	
	1998	15	2	0	93	0	
	1998	16	1	7	135	0.05185185	
	1998	16	2	1	148	0.006756757	
	1998	17	1	2	115	0.0173913	
	1998	17	2	0	154	0	
	1998	18	1	0	62	0	
	1998	18	2	0	117	0	
	1998	19	1	0	26	0	
	1998	19	2	1	65	0.01538462	
	1998	20	1	0	4	0	
	1998	20	2	0	6	0	
	1999	4	1	0	1	0	
	1999	4	2	0	1	0	
	1999	5	1	0	1	0	
	1999	5	2	0	1	0	
	1999	6	2	0	4	0	
	1999	7	1	0	5	0	
	1999	7	2	0	4	0	
	1999	8	1	0	8	0	
	1999	8	2	0	8	0	
	1999	9	1	0	13	0	
	1999	9	2	0	6	0	
	1999	10	1	0	25	0	
	1999	10	2	0	11	0	
	1999	11	1	0	38	0	
	1999	11	2	0	23	0	
	1999	12	1	0	64	0	
	1999	12	2	0	32	0	
	1999	13	1	0	94	0	
	1999	13	2	0	47	0	
	1999	14	1	0	112	0	
	1999	14	2	0	87	0	
	1999	15	1	0	148	0	
	1999	15	2	1	127	0.007874016	
	1999	16	1	2	151	0.01324503	
	1999	16	2	0	196	0	
	1999	17	1	0	129	0	
	1999	17	2	3	181	0.01657459	
	1999	18	1	2	90	0.02222222	
	1999	18	2	2	166	0.01204819	
	1999	19	1	0	36	0	
	1999	19	2	0	57	0	
	1999	20	1	0	2	0	
	1999	20	2	0	11	0	
	2000	1	1	0	1	0	
	2000	2	1	0	1	0	
	2000	3	1	0	1	0	
	2000	5	1	0	1	0	
	2000	5	2	0	3	0	
	2000	6	1	0	1	0	
	2000	6	2	0	1	0	
	2000	7	1	0	4	0	
	2000	7	2	0	3	0	
	2000	8	1	0	4	0	
	2000	8	2	0	11	0	
	2000	9	1	0	14	0	
	2000	9	2	0	9	0	
	2000	10	1	0	35	0	
	2000	10	2	0	21	0	
	2000	11	1	0	52	0	
	2000	11	2	0	26	0	
	2000	12	1	1	75	0.01333333	
	2000	12	2	0	44	0	
	2000	13	1	0	87	0	
	2000	13	2	0	70	0	
	2000	14	1	0	112	0	
	2000	14	2	0	114	0	
	2000	15	1	0	131	0	
	2000	15	2	1	144	0.006944444	
	2000	16	1	0	192	0	
	2000	16	2	2	208	0.009615385	
	2000	17	1	4	129	0.03100775	
	2000	17	2	2	218	0.009174312	
	2000	18	1	2	105	0.01904762	
	2000	18	2	3	200	0.015	
	2000	19	1	0	34	0	
	2000	19	2	0	58	0	
	2000	20	1	0	4	0	
	2000	20	2	1	18	0.05555556	
	2001	1	2	0	1	0	
	2001	3	2	0	1	0	
	2001	4	1	0	2	0	
	2001	5	1	0	3	0	
	2001	5	2	0	1	0	
	2001	6	1	0	3	0	
	2001	6	2	0	1	0	
	2001	7	1	0	1	0	
	2001	7	2	0	3	0	
	2001	8	1	0	13	0	
	2001	8	2	0	6	0	
	2001	9	1	0	16	0	
	2001	9	2	0	21	0	
	2001	10	1	0	26	0	
	2001	10	2	0	23	0	
	2001	11	1	0	55	0	
	2001	11	2	0	34	0	
	2001	12	1	0	100	0	
	2001	12	2	0	51	0	
	2001	13	1	0	115	0	
	2001	13	2	0	77	0	
	2001	14	1	1	154	0.006493506	
	2001	14	2	1	104	0.009615385	
	2001	15	1	0	174	0	
	2001	15	2	0	151	0	
	2001	16	1	1	214	0.004672897	
	2001	16	2	2	235	0.008510638	
	2001	17	1	7	162	0.04320988	
	2001	17	2	2	239	0.008368201	
	2001	18	1	2	90	0.02222222	
	2001	18	2	3	181	0.01657459	
	2001	19	1	4	47	0.08510638	
	2001	19	2	2	80	0.025	
	2001	20	1	0	8	0	
	2001	20	2	0	17	0	
	2002	1	1	0	1	0	
	2002	1	2	0	1	0	
	2002	4	1	0	4	0	
	2002	5	1	0	3	0	
	2002	5	2	0	3	0	
	2002	6	1	0	1	0	
	2002	7	1	0	3	0	
	2002	7	2	0	8	0	
	2002	8	1	0	15	0	
	2002	8	2	0	8	0	
	2002	9	1	0	19	0	
	2002	9	2	0	16	0	
	2002	10	1	0	47	0	
	2002	10	2	0	23	0	
	2002	11	1	0	51	0	
	2002	11	2	0	26	0	
	2002	12	1	0	94	0	
	2002	12	2	1	66	0.01515152	
	2002	13	1	0	122	0	
	2002	13	2	0	72	0	
	2002	14	1	1	172	0.005813953	
	2002	14	2	1	126	0.007936508	
	2002	15	1	0	204	0	
	2002	15	2	1	177	0.005649718	
	2002	16	1	1	250	0.004	
	2002	16	2	3	253	0.01185771	
	2002	17	1	3	206	0.01456311	
	2002	17	2	1	279	0.003584229	
	2002	18	1	4	121	0.03305785	
	2002	18	2	5	203	0.02463054	
	2002	19	1	0	32	0	
	2002	19	2	3	86	0.03488372	
