
	B.2.1.M TIA, Mortalität // AIT, mortalité // TIA, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	DeathCH	CasesCH	pCH	
	1998	14	1618	0.8652658	
	1999	10	1879	0.532198	
	2000	16	2131	0.7508212	
	2001	25	2409	1.037775	
	2002	25	2712	0.9218289	
	2003	12	2608	0.4601227	
	2004	21	3035	0.6919275	
	2005	19	2852	0.6661992	
	2006	8	3103	0.257815	
	2007	9	3276	0.2747253	
	2008	12	3504	0.3424658	
	2009	4	3369	0.1187296	
	2010	10	3699	0.2703433	
	2011	14	3617	0.3870611	
	2012	12	3746	0.3203417	
	2013	14	3965	0.3530895	

