
	D.1.1.M HD Pneumonie, Mortalität // DP de pneumonie, mortalité // DP polmonite, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	1	1	1	487	0.002053388	
	1998	1	2	0	372	0	
	1998	2	1	0	160	0	
	1998	2	2	0	144	0	
	1998	3	1	0	62	0	
	1998	3	2	0	49	0	
	1998	4	1	1	39	0.02564103	
	1998	4	2	0	32	0	
	1998	5	1	0	54	0	
	1998	5	2	0	37	0	
	1998	6	1	1	63	0.01587302	
	1998	6	2	0	59	0	
	1998	7	1	0	115	0	
	1998	7	2	1	90	0.01111111	
	1998	8	1	2	117	0.01709402	
	1998	8	2	0	94	0	
	1998	9	1	2	129	0.01550388	
	1998	9	2	1	74	0.01351351	
	1998	10	1	3	137	0.02189781	
	1998	10	2	5	101	0.04950495	
	1998	11	1	11	186	0.05913978	
	1998	11	2	1	111	0.009009009	
	1998	12	1	10	214	0.04672897	
	1998	12	2	1	127	0.007874016	
	1998	13	1	14	275	0.05090909	
	1998	13	2	4	173	0.02312139	
	1998	14	1	16	362	0.0441989	
	1998	14	2	5	206	0.02427184	
	1998	15	1	37	498	0.07429719	
	1998	15	2	13	317	0.04100946	
	1998	16	1	56	618	0.09061489	
	1998	16	2	29	394	0.07360406	
	1998	17	1	49	544	0.09007353	
	1998	17	2	44	501	0.08782435	
	1998	18	1	68	459	0.1481481	
	1998	18	2	51	459	0.1111111	
	1998	19	1	26	161	0.1614907	
	1998	19	2	29	207	0.1400966	
	1998	20	1	3	19	0.1578947	
	1998	20	2	8	59	0.1355932	
	1999	1	1	1	467	0.002141328	
	1999	1	2	1	381	0.002624672	
	1999	2	1	0	193	0	
	1999	2	2	0	138	0	
	1999	3	1	0	82	0	
	1999	3	2	0	61	0	
	1999	4	1	0	75	0	
	1999	4	2	0	62	0	
	1999	5	1	0	89	0	
	1999	5	2	1	68	0.01470588	
	1999	6	1	0	94	0	
	1999	6	2	1	89	0.01123596	
	1999	7	1	0	138	0	
	1999	7	2	1	139	0.007194245	
	1999	8	1	3	185	0.01621622	
	1999	8	2	1	170	0.005882353	
	1999	9	1	3	167	0.01796407	
	1999	9	2	3	147	0.02040816	
	1999	10	1	4	196	0.02040816	
	1999	10	2	3	115	0.02608696	
	1999	11	1	7	239	0.0292887	
	1999	11	2	1	168	0.005952381	
	1999	12	1	15	284	0.0528169	
	1999	12	2	4	180	0.02222222	
	1999	13	1	17	369	0.04607046	
	1999	13	2	8	202	0.03960396	
	1999	14	1	21	519	0.04046243	
	1999	14	2	11	314	0.03503185	
	1999	15	1	45	644	0.06987578	
	1999	15	2	14	375	0.03733333	
	1999	16	1	90	838	0.1073986	
	1999	16	2	33	544	0.06066176	
	1999	17	1	95	767	0.1238592	
	1999	17	2	47	602	0.07807309	
	1999	18	1	96	588	0.1632653	
	1999	18	2	84	624	0.1346154	
	1999	19	1	41	253	0.1620553	
	1999	19	2	32	298	0.1073826	
	1999	20	1	14	46	0.3043478	
	1999	20	2	11	65	0.1692308	
	2000	1	1	0	510	0	
	2000	1	2	0	430	0	
	2000	2	1	0	159	0	
	2000	2	2	0	131	0	
	2000	3	1	0	71	0	
	2000	3	2	0	53	0	
	2000	4	1	0	62	0	
	2000	4	2	0	28	0	
	2000	5	1	0	65	0	
	2000	5	2	0	51	0	
	2000	6	1	0	93	0	
	2000	6	2	0	71	0	
	2000	7	1	3	115	0.02608696	
	2000	7	2	1	128	0.0078125	
	2000	8	1	5	198	0.02525253	
	2000	8	2	1	145	0.006896552	
	2000	9	1	3	191	0.01570681	
	2000	9	2	4	116	0.03448276	
	2000	10	1	5	184	0.02717391	
	2000	10	2	2	135	0.01481481	
	2000	11	1	8	241	0.03319502	
	2000	11	2	5	160	0.03125	
	2000	12	1	16	297	0.05387205	
	2000	12	2	4	192	0.02083333	
	2000	13	1	20	387	0.05167959	
	2000	13	2	11	252	0.04365079	
	2000	14	1	30	565	0.05309735	
	2000	14	2	16	347	0.04610951	
	2000	15	1	53	755	0.07019868	
	2000	15	2	19	412	0.0461165	
	2000	16	1	91	942	0.09660297	
	2000	16	2	47	632	0.07436709	
	2000	17	1	113	849	0.1330978	
	2000	17	2	57	655	0.0870229	
	2000	18	1	89	668	0.1332335	
	2000	18	2	64	685	0.09343066	
	2000	19	1	40	226	0.1769912	
	2000	19	2	47	337	0.1394659	
	2000	20	1	6	36	0.1666667	
	2000	20	2	15	74	0.2027027	
	2001	1	1	0	526	0	
	2001	1	2	1	412	0.002427184	
	2001	2	1	0	215	0	
	2001	2	2	0	192	0	
	2001	3	1	1	73	0.01369863	
	2001	3	2	0	68	0	
	2001	4	1	0	56	0	
	2001	4	2	0	51	0	
	2001	5	1	0	82	0	
	2001	5	2	0	64	0	
	2001	6	1	0	83	0	
	2001	6	2	3	73	0.04109589	
	2001	7	1	3	126	0.02380952	
	2001	7	2	2	133	0.01503759	
	2001	8	1	5	208	0.02403846	
	2001	8	2	3	148	0.02027027	
	2001	9	1	2	204	0.009803922	
	2001	9	2	2	123	0.01626016	
	2001	10	1	3	210	0.01428571	
	2001	10	2	2	121	0.01652893	
	2001	11	1	8	286	0.02797203	
	2001	11	2	0	146	0	
	2001	12	1	19	287	0.06620209	
	2001	12	2	7	231	0.03030303	
	2001	13	1	16	379	0.04221636	
	2001	13	2	9	250	0.036	
	2001	14	1	43	511	0.08414873	
	2001	14	2	14	319	0.04388715	
	2001	15	1	53	715	0.07412587	
	2001	15	2	23	433	0.05311778	
	2001	16	1	88	925	0.09513514	
	2001	16	2	41	568	0.0721831	
	2001	17	1	106	801	0.1323346	
	2001	17	2	56	609	0.09195402	
	2001	18	1	101	623	0.1621188	
	2001	18	2	69	610	0.1131148	
	2001	19	1	64	281	0.227758	
	2001	19	2	43	319	0.1347962	
	2001	20	1	7	42	0.1666667	
	2001	20	2	15	66	0.2272727	
	2002	1	1	1	609	0.001642036	
	2002	1	2	0	438	0	
	2002	2	1	0	208	0	
	2002	2	2	0	173	0	
	2002	3	1	0	66	0	
	2002	3	2	2	77	0.02597403	
	2002	4	1	1	58	0.01724138	
	2002	4	2	2	49	0.04081633	
	2002	5	1	1	80	0.0125	
	2002	5	2	1	57	0.01754386	
	2002	6	1	1	98	0.01020408	
	2002	6	2	1	81	0.01234568	
	2002	7	1	1	130	0.007692308	
	2002	7	2	1	128	0.0078125	
	2002	8	1	1	190	0.005263158	
	2002	8	2	5	165	0.03030303	
	2002	9	1	5	207	0.02415459	
	2002	9	2	3	132	0.02272727	
	2002	10	1	10	243	0.04115226	
	2002	10	2	1	138	0.007246377	
	2002	11	1	11	249	0.04417671	
	2002	11	2	10	194	0.05154639	
	2002	12	1	15	373	0.04021448	
	2002	12	2	9	274	0.03284672	
	2002	13	1	31	457	0.0678337	
	2002	13	2	10	299	0.03344482	
	2002	14	1	41	609	0.06732348	
	2002	14	2	13	378	0.03439153	
	2002	15	1	75	870	0.0862069	
	2002	15	2	20	493	0.04056795	
	2002	16	1	101	993	0.101712	
	2002	16	2	50	651	0.07680492	
	2002	17	1	117	954	0.1226415	
	2002	17	2	68	715	0.0951049	
	2002	18	1	116	701	0.1654779	
	2002	18	2	90	672	0.1339286	
	2002	19	1	54	309	0.1747573	
	2002	19	2	46	400	0.115	
	2002	20	1	22	68	0.3235294	
	2002	20	2	15	102	0.1470588	
	2003	1	1	0	546	0	
	2003	1	2	0	447	0	
	2003	2	1	1	189	0.005291005	
	2003	2	2	0	172	0	
	2003	3	1	1	88	0.01136364	
	2003	3	2	1	87	0.01149425	
	2003	4	1	0	93	0	
	2003	4	2	0	54	0	
	2003	5	1	0	96	0	
	2003	5	2	0	60	0	
	2003	6	1	2	93	0.02150538	
	2003	6	2	2	76	0.02631579	
	2003	7	1	2	144	0.01388889	
	2003	7	2	1	123	0.008130081	
	2003	8	1	0	197	0	
	2003	8	2	2	162	0.01234568	
	2003	9	1	1	204	0.004901961	
	2003	9	2	1	170	0.005882353	
	2003	10	1	10	230	0.04347826	
	2003	10	2	4	150	0.02666667	
	2003	11	1	10	303	0.0330033	
	2003	11	2	9	196	0.04591837	
	2003	12	1	17	431	0.03944316	
	2003	12	2	4	252	0.01587302	
	2003	13	1	34	490	0.06938776	
	2003	13	2	3	292	0.01027397	
	2003	14	1	47	623	0.07544141	
	2003	14	2	14	370	0.03783784	
	2003	15	1	66	825	0.08	
	2003	15	2	32	522	0.06130268	
	2003	16	1	127	1057	0.1201514	
	2003	16	2	58	656	0.08841463	
	2003	17	1	132	972	0.1358025	
	2003	17	2	77	835	0.09221557	
	2003	18	1	118	745	0.1583893	
	2003	18	2	92	674	0.1364985	
	2003	19	1	62	377	0.1644562	
	2003	19	2	57	387	0.1472868	
	2003	20	1	9	55	0.1636364	
	2003	20	2	21	100	0.21	
	2004	1	1	2	594	0.003367003	
	2004	1	2	1	484	0.002066116	
	2004	2	1	0	167	0	
	2004	2	2	0	160	0	
	2004	3	1	0	87	0	
	2004	3	2	2	64	0.03125	
	2004	4	1	1	59	0.01694915	
	2004	4	2	0	49	0	
	2004	5	1	0	72	0	
	2004	5	2	1	50	0.02	
	2004	6	1	1	75	0.01333333	
	2004	6	2	2	65	0.03076923	
	2004	7	1	2	162	0.01234568	
	2004	7	2	1	115	0.008695652	
	2004	8	1	1	222	0.004504505	
	2004	8	2	1	162	0.00617284	
	2004	9	1	3	217	0.01382488	
	2004	9	2	2	166	0.01204819	
	2004	10	1	4	258	0.01550388	
	2004	10	2	6	152	0.03947368	
	2004	11	1	9	264	0.03409091	
	2004	11	2	2	179	0.01117318	
	2004	12	1	19	398	0.04773869	
	2004	12	2	9	264	0.03409091	
	2004	13	1	24	492	0.04878049	
	2004	13	2	9	336	0.02678571	
	2004	14	1	51	646	0.07894737	
	2004	14	2	26	408	0.06372549	
	2004	15	1	78	879	0.0887372	
	2004	15	2	24	500	0.048	
