
	D.1.1.M HD Pneumonie, Mortalität // DP de pneumonie, mortalité // DP polmonite, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	DeathCH	CasesCH	pCH	
	1998	492	8305	5.924142	
	1999	708	10975	6.451025	
	2000	775	11648	6.653503	
	2001	809	11569	6.992826	
	2002	951	13088	7.266198	
	2003	1017	13543	7.509414	
	2004	957	13768	6.950901	
	2005	933	15406	6.056082	
	2006	839	14426	5.815888	
	2007	914	15406	5.932753	
	2008	997	16022	6.222694	
	2009	1028	17472	5.8837	
	2010	910	17814	5.108342	
	2011	1021	18327	5.571015	
	2012	995	18325	5.429741	
	2013	964	18837	5.117588	

