
	D.1.2.M HD Pneumonie, Alter <20, Mortalität // DP de pneumonie, âge <20, mortalité // DP polmonite, età <20, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	1	1	1	487	0.002053388	
	1998	1	2	0	372	0	
	1998	2	1	0	160	0	
	1998	2	2	0	144	0	
	1998	3	1	0	62	0	
	1998	3	2	0	49	0	
	1998	4	1	1	39	0.02564103	
	1998	4	2	0	32	0	
	1999	1	1	1	467	0.002141328	
	1999	1	2	1	381	0.002624672	
	1999	2	1	0	193	0	
	1999	2	2	0	138	0	
	1999	3	1	0	82	0	
	1999	3	2	0	61	0	
	1999	4	1	0	75	0	
	1999	4	2	0	62	0	
	2000	1	1	0	510	0	
	2000	1	2	0	430	0	
	2000	2	1	0	159	0	
	2000	2	2	0	131	0	
	2000	3	1	0	71	0	
	2000	3	2	0	53	0	
	2000	4	1	0	62	0	
	2000	4	2	0	28	0	
	2001	1	1	0	526	0	
	2001	1	2	1	412	0.002427184	
	2001	2	1	0	215	0	
	2001	2	2	0	192	0	
	2001	3	1	1	73	0.01369863	
	2001	3	2	0	68	0	
	2001	4	1	0	56	0	
	2001	4	2	0	51	0	
	2002	1	1	1	609	0.001642036	
	2002	1	2	0	438	0	
	2002	2	1	0	208	0	
	2002	2	2	0	173	0	
	2002	3	1	0	66	0	
	2002	3	2	2	77	0.02597403	
	2002	4	1	1	58	0.01724138	
	2002	4	2	2	49	0.04081633	
	2003	1	1	0	546	0	
	2003	1	2	0	447	0	
	2003	2	1	1	189	0.005291005	
	2003	2	2	0	172	0	
	2003	3	1	1	88	0.01136364	
	2003	3	2	1	87	0.01149425	
	2003	4	1	0	93	0	
	2003	4	2	0	54	0	
	2004	1	1	2	594	0.003367003	
	2004	1	2	1	484	0.002066116	
	2004	2	1	0	167	0	
	2004	2	2	0	160	0	
	2004	3	1	0	87	0	
	2004	3	2	2	64	0.03125	
	2004	4	1	1	59	0.01694915	
	2004	4	2	0	49	0	
	2005	1	1	1	653	0.001531394	
	2005	1	2	0	516	0	
	2005	2	1	1	271	0.003690037	
	2005	2	2	1	211	0.004739336	
	2005	3	1	0	104	0	
	2005	3	2	1	115	0.008695652	
	2005	4	1	1	94	0.0106383	
	2005	4	2	0	76	0	
	2006	1	1	0	651	0	
	2006	1	2	0	540	0	
	2006	2	1	0	245	0	
	2006	2	2	0	190	0	
	2006	3	1	0	94	0	
	2006	3	2	1	90	0.01111111	
	2006	4	1	0	93	0	
	2006	4	2	2	76	0.02631579	
	2007	1	1	0	625	0	
	2007	1	2	0	506	0	
	2007	2	1	0	244	0	
	2007	2	2	0	208	0	
	2007	3	1	0	90	0	
	2007	3	2	1	91	0.01098901	
	2007	4	1	2	91	0.02197802	
	2007	4	2	0	79	0	
	2008	1	1	0	644	0	
	2008	1	2	0	500	0	
	2008	2	1	1	221	0.004524887	
	2008	2	2	0	180	0	
	2008	3	1	0	68	0	
	2008	3	2	1	51	0.01960784	
	2008	4	1	2	60	0.03333333	
	2008	4	2	0	72	0	
	2009	1	1	0	645	0	
	2009	1	2	0	482	0	
	2009	2	1	2	247	0.008097166	
	2009	2	2	1	219	0.00456621	
	2009	3	1	1	109	0.009174312	
	2009	3	2	1	83	0.01204819	
	2009	4	1	0	114	0	
	2009	4	2	2	97	0.02061856	
	2010	1	1	0	730	0	
	2010	1	2	2	665	0.003007519	
	2010	2	1	2	260	0.007692308	
	2010	2	2	0	211	0	
	2010	3	1	0	109	0	
	2010	3	2	1	88	0.01136364	
	2010	4	1	0	103	0	
	2010	4	2	0	90	0	
	2011	1	1	2	652	0.003067485	
	2011	1	2	1	542	0.001845018	
	2011	2	1	0	221	0	
	2011	2	2	0	218	0	
	2011	3	1	0	84	0	
	2011	3	2	1	86	0.01162791	
	2011	4	1	2	114	0.01754386	
	2011	4	2	1	77	0.01298701	
	2012	1	1	0	627	0	
	2012	1	2	0	543	0	
	2012	2	1	0	218	0	
	2012	2	2	0	174	0	
	2012	3	1	1	73	0.01369863	
	2012	3	2	0	67	0	
	2012	4	1	2	81	0.02469136	
	2012	4	2	0	66	0	
	2013	1	1	3	583	0.005145798	
	2013	1	2	0	531	0	
	2013	2	1	0	191	0	
	2013	2	2	1	170	0.005882353	
	2013	3	1	0	69	0	
	2013	3	2	0	52	0	
	2013	4	1	1	67	0.01492537	
	2013	4	2	0	44	0	

