
	D.1.2.M HD Pneumonie, Alter <20, Mortalität // DP de pneumonie, âge <20, mortalité // DP polmonite, età <20, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	DeathCH	CasesCH	pCH	
	1998	2	1345	0.1486989	
	1999	2	1459	0.1370802	
	2000	NA	1444	NA	
	2001	2	1593	0.1255493	
	2002	6	1678	0.3575685	
	2003	3	1676	0.1789976	
	2004	6	1664	0.3605769	
	2005	5	2040	0.245098	
	2006	3	1979	0.1515917	
	2007	3	1934	0.1551189	
	2008	4	1796	0.2227171	
	2009	7	1996	0.3507014	
	2010	5	2256	0.2216312	
	2011	7	1994	0.3510532	
	2012	3	1849	0.1622499	
	2013	5	1707	0.2929115	

