
	D.1.3.M HD Pneumonie, Alter 20-44, Mortalität // DP de pneumonie, âge 20-44, mortalité // DP polmonite, età 20-44, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	5	1	0	54	0	
	1998	5	2	0	37	0	
	1998	6	1	1	63	0.01587302	
	1998	6	2	0	59	0	
	1998	7	1	0	115	0	
	1998	7	2	1	90	0.01111111	
	1998	8	1	2	117	0.01709402	
	1998	8	2	0	94	0	
	1998	9	1	2	129	0.01550388	
	1998	9	2	1	74	0.01351351	
	1999	5	1	0	89	0	
	1999	5	2	1	68	0.01470588	
	1999	6	1	0	94	0	
	1999	6	2	1	89	0.01123596	
	1999	7	1	0	138	0	
	1999	7	2	1	139	0.007194245	
	1999	8	1	3	185	0.01621622	
	1999	8	2	1	170	0.005882353	
	1999	9	1	3	167	0.01796407	
	1999	9	2	3	147	0.02040816	
	2000	5	1	0	65	0	
	2000	5	2	0	51	0	
	2000	6	1	0	93	0	
	2000	6	2	0	71	0	
	2000	7	1	3	115	0.02608696	
	2000	7	2	1	128	0.0078125	
	2000	8	1	5	198	0.02525253	
	2000	8	2	1	145	0.006896552	
	2000	9	1	3	191	0.01570681	
	2000	9	2	4	116	0.03448276	
	2001	5	1	0	82	0	
	2001	5	2	0	64	0	
	2001	6	1	0	83	0	
	2001	6	2	3	73	0.04109589	
	2001	7	1	3	126	0.02380952	
	2001	7	2	2	133	0.01503759	
	2001	8	1	5	208	0.02403846	
	2001	8	2	3	148	0.02027027	
	2001	9	1	2	204	0.009803922	
	2001	9	2	2	123	0.01626016	
	2002	5	1	1	80	0.0125	
	2002	5	2	1	57	0.01754386	
	2002	6	1	1	98	0.01020408	
	2002	6	2	1	81	0.01234568	
	2002	7	1	1	130	0.007692308	
	2002	7	2	1	128	0.0078125	
	2002	8	1	1	190	0.005263158	
	2002	8	2	5	165	0.03030303	
	2002	9	1	5	207	0.02415459	
	2002	9	2	3	132	0.02272727	
	2003	5	1	0	96	0	
	2003	5	2	0	60	0	
	2003	6	1	2	93	0.02150538	
	2003	6	2	2	76	0.02631579	
	2003	7	1	2	144	0.01388889	
	2003	7	2	1	123	0.008130081	
	2003	8	1	0	197	0	
	2003	8	2	2	162	0.01234568	
	2003	9	1	1	204	0.004901961	
	2003	9	2	1	170	0.005882353	
	2004	5	1	0	72	0	
	2004	5	2	1	50	0.02	
	2004	6	1	1	75	0.01333333	
	2004	6	2	2	65	0.03076923	
	2004	7	1	2	162	0.01234568	
	2004	7	2	1	115	0.008695652	
	2004	8	1	1	222	0.004504505	
	2004	8	2	1	162	0.00617284	
	2004	9	1	3	217	0.01382488	
	2004	9	2	2	166	0.01204819	
	2005	5	1	2	101	0.01980198	
	2005	5	2	1	64	0.015625	
	2005	6	1	1	110	0.009090909	
