
	D.1.3.M HD Pneumonie, Alter 20-44, Mortalität // DP de pneumonie, âge 20-44, mortalité // DP polmonite, età 20-44, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	DeathCH	CasesCH	pCH	
	1998	7	832	0.8413462	
	1999	13	1286	1.010886	
	2000	17	1173	1.449275	
	2001	20	1244	1.607717	
	2002	20	1268	1.577287	
	2003	11	1325	0.8301887	
	2004	14	1306	1.071975	
	2005	22	1586	1.387137	
	2006	8	1363	0.5869406	
	2007	12	1385	0.866426	
	2008	14	1334	1.049475	
	2009	10	1521	0.6574622	
	2010	10	1461	0.6844627	
	2011	7	1518	0.4611331	
	2012	10	1268	0.7886435	
	2013	11	1234	0.89141	

