
	D.1.6.M HD Pneumonie, Alter >84, Mortalität // DP de pneumonie, âge >84, mortalité // DP polmonite, età >84, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	18	1	68	459	0.1481481	
	1998	18	2	51	459	0.1111111	
	1998	19	1	26	161	0.1614907	
	1998	19	2	29	207	0.1400966	
	1998	20	1	3	19	0.1578947	
	1998	20	2	8	59	0.1355932	
	1999	18	1	96	588	0.1632653	
	1999	18	2	84	624	0.1346154	
	1999	19	1	41	253	0.1620553	
	1999	19	2	32	298	0.1073826	
	1999	20	1	14	46	0.3043478	
	1999	20	2	11	65	0.1692308	
	2000	18	1	89	668	0.1332335	
	2000	18	2	64	685	0.09343066	
	2000	19	1	40	226	0.1769912	
	2000	19	2	47	337	0.1394659	
	2000	20	1	6	36	0.1666667	
	2000	20	2	15	74	0.2027027	
	2001	18	1	101	623	0.1621188	
	2001	18	2	69	610	0.1131148	
	2001	19	1	64	281	0.227758	
	2001	19	2	43	319	0.1347962	
	2001	20	1	7	42	0.1666667	
	2001	20	2	15	66	0.2272727	
	2002	18	1	116	701	0.1654779	
	2002	18	2	90	672	0.1339286	
	2002	19	1	54	309	0.1747573	
	2002	19	2	46	400	0.115	
	2002	20	1	22	68	0.3235294	
	2002	20	2	15	102	0.1470588	
	2003	18	1	118	745	0.1583893	
	2003	18	2	92	674	0.1364985	
	2003	19	1	62	377	0.1644562	
	2003	19	2	57	387	0.1472868	
	2003	20	1	9	55	0.1636364	
	2003	20	2	21	100	0.21	
	2004	18	1	102	720	0.1416667	
	2004	18	2	77	687	0.1120815	
	2004	19	1	50	335	0.1492537	
	2004	19	2	57	407	0.1400491	
	2004	20	1	14	67	0.2089552	
	2004	20	2	25	112	0.2232143	
	2005	18	1	103	813	0.1266913	
	2005	18	2	77	752	0.1023936	
	2005	19	1	62	381	0.1627297	
	2005	19	2	65	448	0.1450893	
	2005	20	1	14	86	0.1627907	
	2005	20	2	21	110	0.1909091	
	2006	18	1	104	791	0.1314791	
	2006	18	2	57	673	0.08469539	
	2006	19	1	49	380	0.1289474	
	2006	19	2	42	422	0.09952607	
	2006	20	1	13	77	0.1688312	
	2006	20	2	14	113	0.1238938	
	2007	18	1	93	890	0.1044944	
	2007	18	2	75	809	0.09270705	
	2007	19	1	46	389	0.1182519	
	2007	19	2	46	457	0.1006565	
	2007	20	1	12	72	0.1666667	
	2007	20	2	16	124	0.1290323	
	2008	18	1	134	1015	0.1320197	
	2008	18	2	70	834	0.08393285	
	2008	19	1	65	397	0.163728	
	2008	19	2	53	409	0.1295844	
	2008	20	1	9	101	0.08910891	
	2008	20	2	26	142	0.1830986	
	2009	18	1	128	1106	0.1157324	
	2009	18	2	81	863	0.09385863	
	2009	19	1	71	421	0.1686461	
	2009	19	2	61	497	0.1227364	
	2009	20	1	16	112	0.1428571	
	2009	20	2	24	148	0.1621622	
	2010	18	1	120	1072	0.1119403	
	2010	18	2	80	1029	0.07774538	
	2010	19	1	61	482	0.126556	
	2010	19	2	54	482	0.1120332	
	2010	20	1	24	129	0.1860465	
	2010	20	2	23	153	0.1503268	
	2011	18	1	127	1127	0.1126886	
	2011	18	2	101	1031	0.09796314	
	2011	19	1	61	513	0.1189084	
	2011	19	2	60	548	0.1094891	
	2011	20	1	24	108	0.2222222	
	2011	20	2	29	192	0.1510417	
	2012	18	1	129	1181	0.1092295	
	2012	18	2	96	1123	0.08548531	
	2012	19	1	73	606	0.120462	
	2012	19	2	52	616	0.08441558	
	2012	20	1	19	130	0.1461538	
	2012	20	2	30	186	0.1612903	
	2013	18	1	112	1285	0.08715953	
	2013	18	2	80	1219	0.06562756	
	2013	19	1	64	629	0.1017488	
	2013	19	2	70	737	0.09497965	
	2013	20	1	18	128	0.140625	
	2013	20	2	23	201	0.1144279	

