
	D.1.6.M HD Pneumonie, Alter >84, Mortalität // DP de pneumonie, âge >84, mortalité // DP polmonite, età >84, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	DeathCH	CasesCH	pCH	
	1998	185	1364	13.56305	
	1999	278	1874	14.83458	
	2000	261	2026	12.88253	
	2001	299	1941	15.40443	
	2002	343	2252	15.23091	
	2003	359	2338	15.355	
	2004	325	2328	13.96048	
	2005	342	2590	13.20463	
	2006	279	2456	11.35993	
	2007	288	2741	10.50711	
	2008	357	2898	12.31884	
	2009	381	3147	12.10677	
	2010	362	3347	10.81566	
	2011	402	3519	11.4237	
	2012	399	3842	10.38522	
	2013	367	4199	8.740176	

