
	D.1.7.M HD Pneumonie, Alter 1-19, ohne Tumor oder Mukoviszidose, Direktaufnahmen, Mortalität // DP de pneumonie, âge 1-19, sans tumeur ni mucoviscidose, admissions directes, mortalité // DP polmonite, età 1-19, senza tumore o mucoviscidosi, ammissioni dirette, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	1	1	1	316	0.003164557	
	1998	1	2	0	261	0	
	1998	2	1	0	158	0	
	1998	2	2	0	141	0	
	1998	3	1	0	62	0	
	1998	3	2	0	45	0	
	1998	4	1	1	38	0.02631579	
	1998	4	2	0	31	0	
	1999	1	1	0	315	0	
	1999	1	2	1	268	0.003731343	
	1999	2	1	0	185	0	
	1999	2	2	0	134	0	
	1999	3	1	0	78	0	
	1999	3	2	0	59	0	
	1999	4	1	0	68	0	
	1999	4	2	0	60	0	
	2000	1	1	0	365	0	
	2000	1	2	0	322	0	
	2000	2	1	0	158	0	
	2000	2	2	0	125	0	
	2000	3	1	0	69	0	
	2000	3	2	0	50	0	
	2000	4	1	0	57	0	
	2000	4	2	0	24	0	
	2001	1	1	0	371	0	
	2001	1	2	1	319	0.003134796	
	2001	2	1	0	206	0	
	2001	2	2	0	185	0	
	2001	3	1	1	70	0.01428571	
	2001	3	2	0	65	0	
	2001	4	1	0	51	0	
	2001	4	2	0	49	0	
	2002	1	1	1	428	0.002336449	
	2002	1	2	0	323	0	
	2002	2	1	0	206	0	
	2002	2	2	0	171	0	
	2002	3	1	0	61	0	
	2002	3	2	2	71	0.02816901	
	2002	4	1	1	55	0.01818182	
	2002	4	2	2	44	0.04545455	
	2003	1	1	0	428	0	
	2003	1	2	0	357	0	
	2003	2	1	0	185	0	
	2003	2	2	0	166	0	
	2003	3	1	0	83	0	
	2003	3	2	1	79	0.01265823	
	2003	4	1	0	89	0	
	2003	4	2	0	50	0	
	2004	1	1	0	440	0	
	2004	1	2	0	388	0	
	2004	2	1	0	162	0	
	2004	2	2	0	157	0	
	2004	3	1	0	81	0	
	2004	3	2	1	60	0.01666667	
	2004	4	1	1	56	0.01785714	
	2004	4	2	0	46	0	
	2005	1	1	0	505	0	
	2005	1	2	0	408	0	
	2005	2	1	1	263	0.003802281	
	2005	2	2	1	202	0.004950495	
	2005	3	1	0	98	0	
	2005	3	2	1	111	0.009009009	
	2005	4	1	1	84	0.01190476	
	2005	4	2	0	75	0	
	2006	1	1	0	508	0	
	2006	1	2	0	430	0	
	2006	2	1	0	236	0	
	2006	2	2	0	181	0	
	2006	3	1	0	91	0	
	2006	3	2	1	86	0.01162791	
	2006	4	1	0	84	0	
	2006	4	2	2	74	0.02702703	
	2007	1	1	0	494	0	
	2007	1	2	0	411	0	
	2007	2	1	0	236	0	
	2007	2	2	0	200	0	
	2007	3	1	0	82	0	
	2007	3	2	1	85	0.01176471	
	2007	4	1	0	88	0	
	2007	4	2	0	72	0	
	2008	1	1	0	479	0	
	2008	1	2	0	409	0	
	2008	2	1	1	206	0.004854369	
	2008	2	2	0	176	0	
	2008	3	1	0	65	0	
	2008	3	2	1	46	0.02173913	
	2008	4	1	2	56	0.03571429	
	2008	4	2	0	65	0	
	2009	1	1	0	492	0	
	2009	1	2	0	386	0	
	2009	2	1	2	240	0.008333333	
	2009	2	2	1	212	0.004716981	
	2009	3	1	1	102	0.009803922	
	2009	3	2	1	79	0.01265823	
	2009	4	1	0	107	0	
	2009	4	2	1	79	0.01265823	
	2010	1	1	0	562	0	
	2010	1	2	2	543	0.003683241	
	2010	2	1	2	251	0.007968127	
	2010	2	2	0	206	0	
	2010	3	1	0	99	0	
	2010	3	2	1	86	0.01162791	
	2010	4	1	0	99	0	
	2010	4	2	0	88	0	
	2011	1	1	2	497	0.004024145	
	2011	1	2	1	423	0.002364066	
	2011	2	1	0	214	0	
	2011	2	2	0	206	0	
	2011	3	1	0	76	0	
	2011	3	2	1	82	0.01219512	
	2011	4	1	2	100	0.02	
	2011	4	2	1	71	0.01408451	
	2012	1	1	0	452	0	
	2012	1	2	0	443	0	
	2012	2	1	0	205	0	
	2012	2	2	0	164	0	
	2012	3	1	1	64	0.015625	
	2012	3	2	0	62	0	
	2012	4	1	2	74	0.02702703	
	2012	4	2	0	61	0	
	2013	1	1	2	410	0.004878049	
	2013	1	2	0	402	0	
	2013	2	1	0	182	0	
	2013	2	2	1	156	0.006410256	
	2013	3	1	0	62	0	
	2013	3	2	0	48	0	
	2013	4	1	1	60	0.01666667	
	2013	4	2	0	39	0	

