
	D.1.8.M HD Pneumonie, Alter >19, ohne Tumor oder Mukoviszidose, Direktaufnahmen, Mortalität // DP de pneumonie, âge >19, sans tumeur ni mucoviscidose, admissions directes, mortalité // DP polmonite, età >19, senza tumore o mucoviscidosi, ammissioni dirette, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	5	1	0	50	0	
	1998	5	2	0	35	0	
	1998	6	1	0	59	0	
	1998	6	2	0	56	0	
	1998	7	1	0	108	0	
	1998	7	2	1	84	0.01190476	
	1998	8	1	1	108	0.009259259	
	1998	8	2	0	90	0	
	1998	9	1	1	122	0.008196721	
	1998	9	2	1	69	0.01449275	
	1998	10	1	2	131	0.01526718	
	1998	10	2	3	92	0.0326087	
	1998	11	1	5	161	0.0310559	
	1998	11	2	0	99	0	
	1998	12	1	5	180	0.02777778	
	1998	12	2	1	112	0.008928571	
	1998	13	1	11	230	0.04782609	
	1998	13	2	3	157	0.01910828	
	1998	14	1	10	295	0.03389831	
	1998	14	2	3	182	0.01648352	
	1998	15	1	27	415	0.06506024	
	1998	15	2	9	278	0.0323741	
	1998	16	1	39	511	0.07632094	
	1998	16	2	26	357	0.07282913	
	1998	17	1	40	459	0.08714597	
	1998	17	2	37	447	0.08277405	
	1998	18	1	55	400	0.1375	
	1998	18	2	49	417	0.117506	
	1998	19	1	19	139	0.1366906	
	1998	19	2	26	187	0.1390374	
	1998	20	1	3	16	0.1875	
	1998	20	2	7	56	0.125	
	1999	5	1	0	83	0	
	1999	5	2	1	63	0.01587302	
	1999	6	1	0	93	0	
	1999	6	2	1	87	0.01149425	
	1999	7	1	0	130	0	
	1999	7	2	1	129	0.007751938	
	1999	8	1	3	166	0.01807229	
	1999	8	2	0	157	0	
	1999	9	1	3	153	0.01960784	
	1999	9	2	3	140	0.02142857	
	1999	10	1	1	168	0.005952381	
	1999	10	2	2	104	0.01923077	
	1999	11	1	5	212	0.02358491	
