
	D.2.1.M COPD ohne Tumor (Alter >19), Mortalität // BPCO sans tumeur (âge >19), mortalité // BPCO senza tumore (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	1998	5	1	0	3	0	
	1998	6	1	0	2	0	
	1998	6	2	0	1	0	
	1998	7	1	0	3	0	
	1998	7	2	0	1	0	
	1998	8	1	0	8	0	
	1998	8	2	0	9	0	
	1998	9	1	0	12	0	
	1998	9	2	0	12	0	
	1998	10	1	0	29	0	
	1998	10	2	0	24	0	
	1998	11	1	0	70	0	
	1998	11	2	0	47	0	
	1998	12	1	5	105	0.04761905	
	1998	12	2	2	77	0.02597403	
	1998	13	1	8	224	0.03571429	
	1998	13	2	1	94	0.0106383	
	1998	14	1	14	317	0.04416404	
	1998	14	2	10	186	0.05376344	
	1998	15	1	31	450	0.06888889	
	1998	15	2	16	248	0.06451613	
	1998	16	1	40	448	0.08928571	
	1998	16	2	18	231	0.07792208	
	1998	17	1	33	307	0.1074919	
	1998	17	2	12	191	0.06282723	
	1998	18	1	18	163	0.1104294	
	1998	18	2	6	105	0.05714286	
	1998	19	1	4	47	0.08510638	
	1998	19	2	3	31	0.09677419	
	1998	20	1	0	5	0	
	1998	20	2	1	8	0.125	
	1999	5	1	0	3	0	
	1999	5	2	0	2	0	
	1999	6	1	0	2	0	
	1999	6	2	0	3	0	
	1999	7	1	0	2	0	
	1999	7	2	0	8	0	
	1999	8	1	0	9	0	
	1999	8	2	0	4	0	
	1999	9	1	0	22	0	
	1999	9	2	0	26	0	
	1999	10	1	0	35	0	
	1999	10	2	0	41	0	
	1999	11	1	0	105	0	
	1999	11	2	1	98	0.01020408	
	1999	12	1	2	160	0.0125	
	1999	12	2	2	141	0.0141844	
	1999	13	1	14	298	0.04697987	
	1999	13	2	7	152	0.04605263	
	1999	14	1	19	502	0.03784861	
	1999	14	2	5	215	0.02325581	
	1999	15	1	40	580	0.06896552	
