
	D.2.1.M COPD ohne Tumor (Alter >19), Mortalität // BPCO sans tumeur (âge >19), mortalité // BPCO senza tumore (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	DeathCH	CasesCH	pCH	
	1998	222	3458	6.419896	
	1999	252	4971	5.069403	
	2000	271	4914	5.514856	
	2001	264	4809	5.489707	
	2002	296	5220	5.670498	
	2003	274	5480	5	
	2004	277	5504	5.032703	
	2005	338	6380	5.297806	
	2006	260	6060	4.290429	
	2007	298	6773	4.399823	
	2008	231	5914	3.905986	
	2009	232	6042	3.839788	
	2010	208	6330	3.28594	
	2011	228	6579	3.465572	
	2012	308	7429	4.145915	
	2013	326	8178	3.986305	

