
	D.2.2.M COPD ohne Tumor mit FEV1 <35% (Alter >19), Mortalität // BPCO sans tumeur avec VEF1 <35 % (âge >19), mortalité // BPCO senza tumore con VEMS1 <35 % (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2009	5	1	0	1	0	
	2009	5	2	0	1	0	
	2009	7	2	0	1	0	
	2009	8	1	1	2	0.5	
	2009	8	2	0	1	0	
	2009	9	1	0	6	0	
	2009	9	2	0	3	0	
	2009	10	1	0	3	0	
	2009	10	2	0	8	0	
	2009	11	1	0	11	0	
	2009	11	2	1	10	0.1	
	2009	12	1	0	32	0	
	2009	12	2	1	35	0.02857143	
	2009	13	1	5	83	0.06024096	
	2009	13	2	0	47	0	
	2009	14	1	4	93	0.04301075	
	2009	14	2	5	50	0.1	
	2009	15	1	9	88	0.1022727	
	2009	15	2	3	32	0.09375	
	2009	16	1	10	76	0.1315789	
	2009	16	2	4	39	0.1025641	
	2009	17	1	2	46	0.04347826	
	2009	17	2	3	22	0.1363636	
	2009	18	1	3	28	0.1071429	
	2009	18	2	1	15	0.06666667	
	2009	19	1	0	3	0	
	2009	19	2	1	5	0.2	
	2010	5	1	0	4	0	
	2010	8	1	0	4	0	
	2010	8	2	0	1	0	
	2010	9	1	0	9	0	
	2010	9	2	0	4	0	
	2010	10	1	0	10	0	
	2010	10	2	0	18	0	
	2010	11	1	0	25	0	
	2010	11	2	0	37	0	
	2010	12	1	1	58	0.01724138	
	2010	12	2	1	61	0.01639344	
	2010	13	1	4	113	0.03539823	
	2010	13	2	1	87	0.01149425	
	2010	14	1	9	157	0.05732484	
	2010	14	2	4	92	0.04347826	
	2010	15	1	10	124	0.08064516	
	2010	15	2	7	67	0.1044776	
	2010	16	1	12	133	0.09022556	
	2010	16	2	5	53	0.09433962	
	2010	17	1	5	68	0.07352941	
	2010	17	2	6	54	0.1111111	
	2010	18	1	2	22	0.09090909	
	2010	18	2	2	15	0.1333333	
	2010	19	1	0	5	0	
	2011	5	1	0	1	0	
	2011	7	1	0	1	0	
	2011	8	1	0	4	0	
	2011	8	2	0	1	0	
	2011	9	1	0	7	0	
	2011	9	2	0	3	0	
	2011	10	1	0	24	0	
	2011	10	2	0	27	0	
	2011	11	1	0	34	0	
	2011	11	2	1	39	0.02564103	
	2011	12	1	1	75	0.01333333	
	2011	12	2	1	68	0.01470588	
	2011	13	1	1	134	0.007462687	
	2011	13	2	2	101	0.01980198	
	2011	14	1	11	184	0.05978261	
	2011	14	2	6	128	0.046875	
	2011	15	1	8	162	0.04938272	
	2011	15	2	6	71	0.08450704	
	2011	16	1	19	155	0.1225806	
	2011	16	2	4	65	0.06153846	
	2011	17	1	11	79	0.1392405	
	2011	17	2	5	42	0.1190476	
	2011	18	1	3	35	0.08571429	
	2011	18	2	4	16	0.25	
	2011	19	1	1	7	0.1428571	
	2011	19	2	2	6	0.3333333	
	2011	20	1	1	1	1	
	2012	5	2	0	1	0	
	2012	7	1	0	3	0	
	2012	7	2	0	1	0	
	2012	8	1	0	2	0	
	2012	9	1	0	9	0	
	2012	9	2	0	6	0	
	2012	10	1	1	14	0.07142857	
	2012	10	2	0	39	0	
	2012	11	1	1	49	0.02040816	
	2012	11	2	1	46	0.02173913	
	2012	12	1	0	106	0	
	2012	12	2	0	89	0	
	2012	13	1	5	155	0.03225806	
	2012	13	2	13	138	0.0942029	
	2012	14	1	12	247	0.048583	
	2012	14	2	16	186	0.08602151	
	2012	15	1	20	215	0.09302326	
	2012	15	2	8	129	0.0620155	
	2012	16	1	18	183	0.09836066	
	2012	16	2	11	82	0.1341463	
	2012	17	1	17	114	0.1491228	
	2012	17	2	7	62	0.1129032	
	2012	18	1	8	62	0.1290323	
	2012	18	2	4	25	0.16	
	2012	19	1	4	9	0.4444444	
	2012	19	2	0	6	0	
	2012	20	1	0	4	0	
	2013	5	2	0	1	0	
	2013	8	1	1	1	1	
	2013	9	1	1	17	0.05882353	
	2013	9	2	0	3	0	
	2013	10	1	1	24	0.04166667	
	2013	10	2	0	38	0	
	2013	11	1	1	59	0.01694915	
	2013	11	2	2	60	0.03333333	
	2013	12	1	3	123	0.02439024	
	2013	12	2	4	128	0.03125	
	2013	13	1	5	184	0.02717391	
	2013	13	2	6	155	0.03870968	
	2013	14	1	19	285	0.06666667	
	2013	14	2	14	218	0.06422018	
	2013	15	1	17	249	0.06827309	
	2013	15	2	7	177	0.03954802	
	2013	16	1	17	178	0.09550562	
	2013	16	2	6	112	0.05357143	
	2013	17	1	15	114	0.1315789	
	2013	17	2	9	77	0.1168831	
	2013	18	1	7	61	0.1147541	
	2013	18	2	5	28	0.1785714	
	2013	19	1	1	6	0.1666667	
	2013	19	2	3	8	0.375	
	2013	20	2	0	1	0	

