
	D.2.3.M COPD ohne Tumor mit FEV1 35-49% (Alter >19), Mortalität // BPCO sans tumeur avec VEF1 35-49 % (âge >19), mortalité // BPCO senza tumore con VEMS1 35-49 % (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V4.0 - Daten 2013 - 27. Juli 2015

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2009	7	2	0	2	0	
	2009	8	1	0	1	0	
	2009	9	1	0	4	0	
	2009	9	2	0	3	0	
	2009	10	1	0	6	0	
	2009	10	2	0	5	0	
	2009	11	1	0	11	0	
	2009	11	2	0	10	0	
	2009	12	1	0	22	0	
	2009	12	2	0	25	0	
	2009	13	1	0	33	0	
	2009	13	2	1	39	0.02564103	
	2009	14	1	1	53	0.01886792	
	2009	14	2	1	37	0.02702703	
	2009	15	1	0	63	0	
	2009	15	2	2	37	0.05405405	
	2009	16	1	2	81	0.02469136	
	2009	16	2	1	48	0.02083333	
	2009	17	1	3	45	0.06666667	
	2009	17	2	2	42	0.04761905	
	2009	18	1	1	31	0.03225806	
	2009	18	2	1	20	0.05	
	2009	19	1	0	3	0	
	2009	19	2	0	2	0	
	2009	20	1	0	1	0	
	2009	20	2	0	1	0	
	2010	5	1	0	1	0	
	2010	7	1	0	1	0	
	2010	8	1	0	1	0	
	2010	8	2	0	1	0	
	2010	9	1	0	9	0	
	2010	9	2	0	1	0	
	2010	10	1	0	7	0	
	2010	10	2	0	11	0	
	2010	11	1	0	37	0	
	2010	11	2	0	20	0	
	2010	12	1	0	45	0	
	2010	12	2	0	42	0	
	2010	13	1	1	55	0.01818182	
	2010	13	2	0	85	0	
	2010	14	1	2	120	0.01666667	
	2010	14	2	0	80	0	
	2010	15	1	2	100	0.02	
	2010	15	2	1	67	0.01492537	
	2010	16	1	3	141	0.0212766	
	2010	16	2	2	94	0.0212766	
	2010	17	1	1	118	0.008474576	
	2010	17	2	1	60	0.01666667	
	2010	18	1	3	36	0.08333333	
	2010	18	2	2	21	0.0952381	
	2010	19	1	1	17	0.05882353	
	2010	19	2	1	8	0.125	
	2010	20	1	0	1	0	
	2011	5	2	0	2	0	
	2011	6	2	0	1	0	
	2011	8	1	0	1	0	
	2011	8	2	0	2	0	
	2011	9	1	0	4	0	
	2011	9	2	0	3	0	
	2011	10	1	0	12	0	
	2011	10	2	0	8	0	
	2011	11	1	0	25	0	
	2011	11	2	1	24	0.04166667	
	2011	12	1	0	48	0	
	2011	12	2	1	43	0.02325581	
	2011	13	1	1	78	0.01282051	
	2011	13	2	0	68	0	
	2011	14	1	2	114	0.01754386	
	2011	14	2	5	114	0.04385965	
	2011	15	1	1	129	0.007751938	
	2011	15	2	1	89	0.01123596	
	2011	16	1	5	141	0.03546099	
	2011	16	2	5	114	0.04385965	
	2011	17	1	7	127	0.05511811	
	2011	17	2	4	83	0.04819277	
	2011	18	1	4	60	0.06666667	
	2011	18	2	1	36	0.02777778	
	2011	19	1	1	7	0.1428571	
	2011	19	2	0	4	0	
	2011	20	1	0	1	0	
	2011	20	2	0	1	0	
	2012	7	2	0	1	0	
	2012	8	1	0	4	0	
	2012	9	1	0	6	0	
	2012	9	2	0	7	0	
	2012	10	1	0	17	0	
	2012	10	2	0	11	0	
	2012	11	1	0	34	0	
	2012	11	2	0	34	0	
	2012	12	1	1	61	0.01639344	
	2012	12	2	0	68	0	
	2012	13	1	3	101	0.02970297	
	2012	13	2	1	86	0.01162791	
	2012	14	1	2	159	0.01257862	
	2012	14	2	1	135	0.007407407	
	2012	15	1	5	182	0.02747253	
	2012	15	2	6	122	0.04918033	
	2012	16	1	6	177	0.03389831	
	2012	16	2	8	140	0.05714286	
	2012	17	1	5	148	0.03378378	
	2012	17	2	5	92	0.05434783	
	2012	18	1	6	72	0.08333333	
	2012	18	2	2	33	0.06060606	
	2012	19	1	0	15	0	
	2012	19	2	0	5	0	
	2012	20	2	1	2	0.5	
	2013	5	2	0	2	0	
	2013	6	2	0	1	0	
	2013	8	1	0	2	0	
	2013	9	1	0	5	0	
	2013	9	2	0	5	0	
	2013	10	1	0	11	0	
	2013	10	2	0	9	0	
	2013	11	1	0	57	0	
	2013	11	2	1	44	0.02272727	
	2013	12	1	0	89	0	
	2013	12	2	0	86	0	
	2013	13	1	1	108	0.009259259	
	2013	13	2	0	104	0	
	2013	14	1	5	137	0.03649635	
	2013	14	2	1	133	0.007518797	
	2013	15	1	7	197	0.03553299	
	2013	15	2	3	160	0.01875	
	2013	16	1	11	197	0.05583756	
	2013	16	2	3	171	0.01754386	
	2013	17	1	13	201	0.06467662	
	2013	17	2	4	106	0.03773585	
	2013	18	1	4	72	0.05555556	
	2013	18	2	2	49	0.04081633	
	2013	19	1	1	17	0.05882353	
	2013	19	2	2	7	0.2857143	
	2013	20	1	0	3	0	
	2013	20	2	0	1	0	

